l_russian:
 HERITAGE_FULL_TOOLTIP:0 "#T $NAME$#!\n$EFFECT$\n\n#TF $DESC$#!"
 armenian_heritage_desc:0 "Царство Великая Армения было основано много сотен лет назад и сохраняло верность своему наследию в течение нескольких поколений. Даже при Ахеменидах и Александре Македонском оно не изменило своим традициям управления государством и ведения войны."
 epirote_heritage:0 "Эпирское наследие"
 epirote_heritage_desc:0 "Зелёные земли Эпира долгое время были разделены между различными государствами, но со временем молоссы силой объединили их, часто — действуя в союзе с Аргеадами из соседней Македонии."
 thrace_heritage:0 "Наследие Лисимаха"
 thrace_heritage_desc:0 "Один из сподвижников и телохранителей Александра Македонского, Лисимах всегда был умелым полководцем. Однако во Фракии он прославился как основатель государства и дипломат, сумевший, несмотря на скудные ресурсы, извлечь всю возможную выгоду из побед над другими диадохами."
 rhodian_heritage:0 "Родосское наследие"
 rhodian_heritage_desc:0 "Флот Родоса вновь стал одной из важнейших сил Эгейского моря. Кроме того, этот древний полис славится прекрасными мастерскими и мастерами осадных дел. Родос по праву гордится тем, что смог противостоять тяжёлой осаде Деметрия Полиоркета, который не смог прорвать укрепления города, хотя и привёз под его стены самую совершенную осадную технику в мире."
 athenian_heritage:0 "Афинское наследие"
 athenian_heritage_desc:0 "Пусть пик афинского влияния уже позади, но Афины до сих пор остаются одним из самых важных городов эллинского мира: теперь этот город знаменит в первую очередь Платоновой Академией. Время от времени город попадает под власть гнусных иноземных тиранов вроде Деметрия Фалерского, но всё ещё хранит традиции демократии."
 etruscan_heritage:0 "Этрусское наследие"
 etruscan_heritage_desc:0 "Будучи одним из старейших народов Апеннинского полуострова, этруски могут гордиться своим долгим славным наследием. Они создали необычные государственные институты и основали немало городов."
 syracusan_heritage:0 "Сиракузское наследие"
 syracusan_heritage_desc:0 "Сиракузы — одна из старейших греческих колоний на западе. Она не раз соперничала на равных с другими италийскими, финикийскими и греческими городами-государствами. С ростом мощи Рима, Этрурии и Карфагена городу пришлось адаптироваться к ещё более агрессивному окружению."
 icenian_heritage:0 "Иценское наследие"
 icenian_heritage_desc:0 "Ицены — гордый, независимый народ, о котором мало что доподлинно известно."
 arvernia_heritage:0 "Арвернское наследие"
 arvernia_heritage_desc:0 "Арверны — галльское племя, обладавшее едва ли не наибольшим дипломатическим влиянием в Южной Галлии. Арверны также славятся своими изделиями из металла."
 atropatenian_heritage:0 "Наследие Атропата"
 atropatenian_heritage_desc:0 "Один из немногих персидских правителей, оставшихся у власти после завоеваний Александра Македонского и войн диадохов, Атропат основал царство Атропатена и — в некотором отношении — стал последним хранителем культуры Ахеменидов."
 tarentine_heritage:0 "Тарентское наследие"
 tarentine_heritage_desc:0 "Тарент был основан как колония Спарты в Великой Греции, и друзей по соседству у него было немного. Однако со временем он прославился своей умелой лёгкой конницей и добился существенного влияния в регионе."
 argive_heritage:0 "Аргосское наследие"
 argive_heritage_desc:0 "После Пелопоннесской войны удача отвернулась от Аргоса, регионального центра Пелопонесса и вечного соперника Спарты. Однако когда Спарта ослабла, аргосцы приобрели друзей среди диадохов-победителей и начали восстанавливать своё наследие, стремясь вернуть былое военное могущество."
 theban_heritage:0 "Фиванское наследие"
 theban_heritage_desc:0 "Фивы, некогда бывшие ведущей силой материковой Греции, были полностью уничтожены Александром Македонским. Однако Кассандр Македонский отстроил город, пригласив фиванских изгнанников вновь обосноваться в своих старых домах в Беотии. Теперь фиванцы мечтают вернуть наследие Эпаминонда и снова заявить о себе."
 pontic_heritage:0 "Понтийское наследие"
 pontic_heritage_desc:0 "Задолго до того как Александр направил войска на восток, ещё с тех пор, как греческие колонии усеяли побережье Анатолии, Понт был перекрестком культур: персидской, анатолийской и греческой."
 iberian_heritage:0 "Иберийское наследие"
 iberian_heritage_desc:0 "Собрав под своим началом разрозненные племена, иберийцы могут выставить огромное войско — если сумеют удержать его под контролем."
 massalian_heritage:0 "Массилийское наследие"
 massalian_heritage_desc:0 "Массилия была главной колонией ионийского города Фокея, жители которого предпочли бросить свои дома, но не покориться персам. Беженцы поселились здесь и в ряде других колоний, и обособленный порт превратился в один из величайших торговых центров западного Средиземноморья, породивший множество собственных колоний. При этом городу приходится постоянно отражать нападения варваров..."
 minoan_heritage:0 "Минойское наследие"
 minoan_heritage_desc:0 "Минойцы правили Критом, а некогда — и всем греческим народом. После разрушительного извержения вулкана на острове Фера их цивилизация была разорена и забыта."
 kushite_heritage:0 "Наследие кушитов"
 kushite_heritage_desc:0 "Много веков Верхний Нил был нашим домом, а кушиты некогда владели не только Египтом, но и Иудеей. И теперь, когда низовья Нила в руках греков, мы остаёмся хранителями исконных традиций Древнего Египта, как и наших собственных обычаев."
 kalingan_heritage:0 "Калингское наследие"
 kalingan_heritage_desc:0 "Говорят, в далёком прошлом калинги были братскими племенами. Эта связь крепка и по сей день — сильнее, чем у большинства племён в джунглях, окружающих наше береговое царство. Возможно, именно поэтому мы до сих пор держимся за большинство племенных обычаев. Жестокое правление Нанды в наших краях закончилось, и мы по праву возвращаем себе власть, однако наши богатства весьма привлекательны для молодых и жадных держав."
 nabatean_heritage:0 "Набатейское наследие"
 nabatean_heritage_desc:0 "Мы — потомки бедуинов, и нет в пустыне торговцев могущественнее нас. Именно мы даём внешнему миру то, что иначе скрылось бы от них в бескрайних песках. Благодаря торговле мы создали огромные города, великие памятники и сильную армию, привыкшую к войне в пустыне."
 helot_heritage:0 "Наследие илотов"
 helot_heritage_desc:0 "Когда фиванцы Эпаминонда разгромили спартанцев, он основал город Мессену и отдал его илотам. Мы всегда были основным населением и Лаконии, и Мессении, но много веков провели под гнётом Спарты. И вот мы обрели свободу и можем сами пожинать плоды своих трудов. И как свободный народ мы никогда не забудем спартанское иго и никому не позволим поработить нас вновь."
 heraclea_pontican_heritage:0 "Гераклейское наследие"
 heraclea_pontican_heritage_desc:0 "Жители Гераклеи Понтийской являются потомками граждан Мегары, расселившихся на побережье Вифинии. Город получил своё название в честь Геракла, спустившегося в царство Аида как раз в этой местности. Полис, сам в прошлом колония, основал множество городов на черноморском побережье, став значимой силой после падения Персидской империи."
 hellenistic_heritage:0 "Эллинистическое наследие"
 hellenistic_heritage_desc:0 "Хотя греческие поселенцы путешествовали на восток за много поколений до Александра Македонского, именно завоевание Ахеменидской Персии привело к возникновению греческих государств на востоке. Слияние персидской и греческой культур, которое Александр поощрял всеми силами, теперь стало неотъемлемой частью эллинистического наследия."
 arsacid_dahae_heritage:0 "Наследие дахов"
 arsacid_dahae_heritage_desc:0 "Наш народ гордится искусством верховой езды и коневодства. Все дахи — и знать, и простой народ — едва ли не рождаются в седле, и потому сильнейшие из империй содрогаются от поступи нашей конницы. Но бескрайние пастбища приучают к вольной жизни — и наши вожди собираются вместе лишь по очень серьёзным причинам."
 seafaring_heritage:0 "Наследие мореходов"
 seafaring_heritage_desc:0 "Наследие этого народа связано со многими поколениями мореплавания. Предки одних прибыли сюда из далёких стран, другие — радушно принимали у себя моряков, стремившихся в их порты."
 pirate_heritage:0 "Наследие пиратов"
 pirate_heritage_desc:0 "Кто-то скажет, что предками этого народа были пираты и грабители, всегда готовые нажиться на несчастьях других. Всё, однако, зависит от точки зрения. Этих людей объединяет страсть к приключениям и любовь к открытому морю."
 coastal_heritage:0 "Прибрежное наследие"
 coastal_heritage_desc:0 "Пусть они не стали великими мореходами, но богатство и процветание этого народа всегда зависело от милости моря. Традиции торговли и обмена лежат в основе их культуры."
 river_plain_heritage:0 "Наследие заливных равнин"
 river_plain_heritage_desc:0 "За многие века эти плодородные равнины вокруг великих рек породили не одну цивилизацию. Этот народ традиционно обрабатывает заливные земли около реки."
 steppe_heritage:0 "Наследие степей"
 steppe_heritage_desc:0 "Бескрайние степи севера многие века служили домом для этого народа, а суровые условия в значительной мере определили его наследие и образ жизни."
 rural_heritage:0 "Наследие сельской местности"
 rural_heritage_desc:0 "Жизнь на равнинах, полях и пастбищах создала неповторимый облик этого народа. Со временем земледельцы и пастухи построили города, дороги и мосты, но в душе они всё ещё ценят жизнь в сельской местности."
 montane_heritage:0 "Наследие гор"
 montane_heritage_desc:0 "Горные ландшафты, среди которых сложился этот народ, сформировали его стремление к абсолютной независимости. Кто-то может сказать, что эти люди видят врагов даже среди друзей, но подобная склонность к чрезмерной защите уже не раз сослужила им хорошую службу."
 desert_heritage:0 "Наследие пустынь"
 desert_heritage_desc:0 "Предки этого народа многие поколения пересекали открытые пространства пустынь и со временем пришли к почти инстинктивному пониманию того, как выжить и процветать среди дюн. Какой бы ни была конечная цель — построить в песках империю или пересечь пустыню в поисках нового дома, — мало кто справится с этим заданием легче, чем хранители этого наследия."
 jungle_heritage:0 "Наследие джунглей"
 jungle_heritage_desc:0 "За многие века этот народ научился использовать природу для защиты. Сами джунгли и создания, здесь обитающие, являются одновременно, союзниками, врагами и основой, вокруг которой этот народ строит свою оборону."
 forest_heritage:0 "Наследие лесов"
 forest_heritage_desc:0 "В лесах своей родины этот народ научился умело владеть луком, а также поддерживать единство между разрозненными племенами, населяющими обширные пущи."
 marshland_heritage:0 "Наследие болот"
 marshland_heritage_desc:0 "Это государство создали люди, привыкшие жить среди болот. Они умеют сражаться малыми силами против огромных войск противника и превращать непригодные для жизни топи в цветущие сады."
 highland_heritage:0 "Наследие нагорий"
 highland_heritage_desc:0 "Наследие этого народа зародилось среди нагорий. Каменные здания и укрепления, выстроенные представителями этого народа, по-прежнему не имеют равных. Зато к открытому морю они испытывают истинное отвращение."
 religious_enclave_heritage:0 "Религиозное государство"
 religious_enclave_heritage_desc:0 "Это государство основали жрецы великого храма. И по сей день здесь придерживаются древних традиций, хотя некоторые говорят, что с тех пор внимание жрецов занято (по большей части) делами мирскими."
 default_heritage:0 "Непримечательное наследие"
 default_heritage_desc:0 "Почти каждому народу есть чем гордиться — только не гражданам этой державы. Давно забытые внешним миром, они продолжают мирную, но ничем не примечательную жизнь и не имеют никаких ярких надежд или устремлений."
 epikrateia_heritage:0 "Эпикратийское наследие"
 epikrateia_heritage_desc:0 "Карфаген издавна защищал обитателей Сицилии от греков-сиракузцев. Теперь же они наконец образовали полноценное государство вместо хрупкого оборонительного союза из нескольких полисов."
 corinthian_heritage:0 "Коринфское наследие"
 corinthian_heritage_desc:0 "До недавнего времени Коринф был одним из крупнейших городов-государств Греции и играл важную роль благодаря стратегическому положению между богатыми государствами Аттики и Пелопоннеса и мощной крепости. После македонского завоевания Коринф утратил независимость, превратившись в обычное укрепление для македонских войск."
 decapolian_heritage:0 "Декапольское наследие"
 decapolian_heritage_desc:0 "Десять великих городов Декаполя часто вступали в союзы друг с другом, чтобы защититься с юга от нападений иудеев, и теперь эти города наконец объединились в лигу."
