l_russian:
 tutorial.1.t:0 "Слава Рима"
 tutorial_unrest_modifier_tooltip:0 "Народ #Y сабинян#! не сможет бунтовать в течение #Y 10#! лет."
 tutorial.10.t:0 "Сабиняне"
 tutorial.10.desc:0 "Отлично! Вы усмирили сабинян и завоевали их земли.\n\nВ ведении войны есть много других тонкостей, которые вы узнаете по ходу игры. Многие аспекты (например, расположение подразделения и тактику боя) применять не обязательно. Подробнее см. в окне выбора подразделения."
 tutorial.10.a:0 "Вперед!"
 tutorial.11.t:0 "Получено нововведение"
 tutorial.11.desc:0 "Теперь ваша страна стала ещё сильнее. По мере роста ваших технологий в списке изобретений будут появляться новые возможности. Со временем там может оказаться что-то исключительно интересное!\n\nВозможно, вы заметили, что в игре время от времени происходят разные события. В них вам часто предстоит делать различный выбор. Эти события нередко могут влиять на персонажей вашей державы, а также на саму державу. К примеру, награда за это задание увеличит значение параметра «Воинское искусство» вашего правителя."
 tutorial.11.a:0 "Отлично!"
 tutorial_unrest_modifier_tooltip_2:0 "Страна, которую вы недавно завоевали, не сможет восстать против вас в течение #Y 10#! лет."
 tutorial.12.t:0 "Долой самнитов!"
 tutorial.12.desc:0 "Самниты разбиты, Рим победил. Наверное, основные принципы войны вы уже усвоили.\n\nВойны могут получать неожиданное развитие, в них могут ввязываться новые участники. Прежде чем объявить врагу войну, учитывайте, с кем он состоит в союзе!"
 tutorial.12.a:0 "Друзьям мы всегда рады."
 tutorial.13.t:0 "Задание выполнено"
 tutorial.13.desc:0 "Сипонт получил достаточную помощь Рима, и теперь у вас появится либо новый друг, либо новый город в составе Республики.\n\nВ дни войны союзники бесценны. Вы не сможете командовать их армиями, но они, как правило, постараются помочь вам, если только не отвлекутся на личные цели.\n\nСледующие учебные задания направлены на дальнейшее завоевание Италии. Если вы считаете, что хорошо усвоили основы, возможно, вам стоит вернуться в меню и начать игру вне режима обучения. Если же желаете продолжить, сделайте так, чтобы Рим вами гордился!"
 tutorial.13.a:0 "Вперед, к славе!"
 tutorial.14.t:0 "Этрурия повержена"
 tutorial.14.desc:0 "Вы положили конец этрусской угрозе — и это немалое достижение!\n\nТеперь вам стоит объединить всю Южную Италию под знаменами Рима. Для этого, скорее всего, потребуется несколько войн. Не забывайте перед началом каждой войны убедиться, что у вас хватает людей и достаточно денег в казне.\n\nОстерегайтесь греческих городов-государств — некоторые из них состоят в оборонительных союзах: если объявите войну одному из участников такого союза, за него сразу вступятся другие."
 tutorial.14.a:0 "Интересно."
 tutorial.15.t:0 "Roma Invicta!"
 tutorial.15.desc:0 "Под вашим умелым управлением Рим начал свой путь к уготованной ему славной судьбе.\n\nПоследнее испытание — положить конец греческому влиянию в Италии. Нападите на город-государство Сиракузы: докажите, что Рим больше не нуждается в эллинском покровительстве!"
 tutorial.15.a:0 "На войну!"
 tutorial.16.t:0 "Обучение пройдено!"
 tutorial.16.desc:0 "Поздравляем! Вы прошли обучение в игре Imperator: Rome.\n\nЕсли вы хотите получше познакомиться с обстановкой — или просто продолжить игру, — учтите, что в обучающих заданиях уровень сложности был специально изменён. Чтобы получить представление о типичной реакции других держав на ваши действия, лучше начать обычную игру."
 tutorial.16.b:0 "Продолжить в режиме обучения."
 tutorial_increase_stability:0 "Достичь стабильности в Риме"
 tutorial_increase_stability_desc:0 "#W Принесите жертву богам.#!\n\nЧтобы повысить стабильность, откройте окно #Y Религия#! и выберите пункт #Y Жертва богам#!.\n\nПри создании обучающих заданий ни один боров не пострадал."
 build_30_heavy_infantry:0 "Собрать армию в 30 подразд."
 build_30_heavy_infantry_desc:0 "#W Создавайте когорты, пока численность вашей армии не достигнет хотя бы 30 000 человек.#!\n\nГотовить когорты можно на любой своей территории. Подготовка начинается одним из следующих способов:\n\n- Воспользуйтесь #Y макростроителем#!, который находится в левой верхней части экрана.\n\n- Выберите территорию и нажмите кнопку #Y Вербовать когорты#!.\n\n- Выберите армию и нажмите кнопку #Y Вербовать в подразделение#!.\n\nЗавербуйте не менее 30 когорт."
 build_20_triremes:0 "Иметь 20 кораблей"
 build_20_triremes_desc:0 "#W Стройте корабли, пока размер флота не составит как минимум 20 кораблей.#!\n\nСтроительство кораблей почти не отличается от найма армий, но строить их можно только на территории, где есть #Y порт#!.\n\nНаведение курсора на это задание подсветит все ваши территории с #Y портами#!."
 build_4_barracks:0 "Построить 8 тренир. лагерей"
 build_4_barracks_desc:0 "#W У вас должно быть не менее 8 разных территорий с тренировочными лагерями.#!\n\n#Y Свободные люди#! и #Y представители племён#! составляют основу ваших людских ресурсов. На территории, где есть хотя бы один #Y тренировочный лагерь#!, прирост людских ресурсов от #Y свободных людей#! и #Y племён#! увеличится.\n\nЧтобы быстрее пополнять людские ресурсы, постройте #Y тренировочные лагеря#! не менее чем на #Y 8#! своих территориях.\n\nДля этого щелкните по территории на карте и выберите #Y тренировочный лагерь#!. С правой стороны шкалы прогресса находится значок строительства."
 acquire_fish_for_rome:0 "Импортировать рыбу в Лаций"
 acquire_fish_for_rome_desc:0 "#W Импортируйте рыбу в Лаций.#!\n\nЧтобы уберечь территории от голода, необходимо снабжать их достаточным количеством пищи для роста.\n\nСейчас Риму не грозит голод, но импорт #Y рыбы#! в #Y Лаций#! увеличит прирост населения!\n\n#Y Лаций#! — это #Y провинция#!, в которой находится город Рим. Щёлкнув по Риму мышью, вы увидите в правом верхнем углу окна провинции кнопку #Y Торговый путь#!.\n\nНажмите её и выберите #Y Рыба#!. Вы увидите, в каких провинциях этого ресурса так много, что его готовы продавать. Справа будет показана страна — владелец ресурса. Страны, чьи кнопки окрашены серым, #R не согласятся#! на торговлю, пока вы не улучшите отношения с ними.\n\nСейчас мы советуем запросить #Y рыбу#! у первой державы в списке. После этого начнётся импорт рыбы в #Y Лаций#!."
 tutorial_conquer_sabinia:0 "Завоевать сабинян"
 tutorial_conquer_sabinia_desc:0 "#W Присоедините к себе земли, принадлежащие сабинянам.#!\n\nК северу от вас, в холмах проживает племя сабинян. Предъявите претензию на их земли, открыв окно дипломатии и выбрав пункт #Y Предъявить претензию#!. Предъявлять претензию на обе их провинции не надо, достаточно какой-нибудь одной.\n\nПредъявите претензию, убедитесь, что ваши войска удобно расположены, и объявите войну!\n\nЧтобы объявить войну, откройте окно дипломатии и выберите пункт «Объявить войну». После этого останется выбрать #Y повод к войне#!. Выбрав пункт #Y Показать превосходство#! или #Y Показать превосходство на море#!, вы получите штраф к стабильности!\n\nСабиняне попробуют сопротивляться, но римской армии они не ровня."
 tutorial_destroy_etruria:0 "Уничтожить Этрурию!"
 tutorial_destroy_etruria_desc:0 "#W Присоедините выделенные территории этрусков.#!\n\nУ этрусков есть всё необходимое, чтобы угрожать Риму. Надо устранить эту угрозу, завоевав провинцию Этрурия.\n\nЕсли у вас мало людских ресурсов или низкая стабильность, попытайтесь провести ещё какое-то время в мире, прежде чем снова объявлять войну!\n\nЕсли не получается завоевать все необходимые земли за одну кампанию, попробуйте договориться о мире, переключитесь на другие цели, а когда истечёт срок перемирия, снова вернитесь к войне!"
 tutorial_finish_off_samnium:0 "Разделаться с самнитами"
 tutorial_finish_off_samnium_desc:0 "#W Присоедините выделенные территории.#!\n\nЕщё со времён Первой Самнитской войны Рим и Самний ненавидят друг друга.\n\nСфабрикуйте претензию и сокрушите самнитские войска!"
 tutorial_make_friends_with_sipontum:0 "Отношения с Сипонтом"
 tutorial_make_friends_with_sipontum_desc:0 "#W Уровень мнения Сипонта о Риме должен достигнуть 100.#!\n\nИногда дипломатией можно достичь большего, чем войной. Попробуйте улучшить отношения с Сипонтом.\n\nСделать это можно разными способами. Откройте окно дипломатических отношений с этим городом и ознакомьтесь с доступными вариантами. Мы советуем сначала использовать вариант #Y Улучшить отношения#!.\n\nУлучшению отношений способствуют и другие варианты, например, #Y Сделать подношение#! и #Y Предложить союз#!.\n\nЕсли Сипонт не пойдет вам навстречу, придется его завоевать!"
 tutorial_buy_an_invention:0 "Приобрести нововведение"
 tutorial_buy_an_invention_desc:0 "#W Приобретите любое нововведение.#!\n\nЧтобы выполнить это задание, откройте окно #Y Технология#!. Справа в нём будут перечислены нововведения.\n\nНововведения можно покупать за #Y золото#! (@gold!).\n\n#Y Технология#! показана в левой стороне окна. Скорость освоения технологий определяется долей граждан в вашем обществе и навыками персонажа, отвечающего за каждую отдельную #Y технологию#!.\n\nА теперь приобретите нововведение — вам предоставлен богатый выбор, так что выберите вариант, лучше всего подходящий для вашей ситуации. Если не можете решить, не беспокойтесь! Все нововведения так или иначе идут на пользу державе."
 invention_purchased_tutorial_tooltip:0 "Приобретено любое нововведение"
 tutorial_call_down_an_omen:0 "Призвать знамение"
 tutorial_call_down_an_omen_desc:0 "#W Призовите любое знамение.#!\n\nВ игре Imperator: Rome предзнаменования чрезвычайно важны. Откройте окно #Y Религия#!, чтобы увидеть список доступных предзнаменований.\n\nВажно учитывать, что активным может только одно предзнаменование за раз и что уже активное знамение отозвать уже не получится. Когда срок предзнаменования истечет, можно будет выбрать новое.\n\nВ данном случае мы советуем вам воспользоваться знамением #Y Благословение Фортуны#!, но вы можете выбрать и что-нибудь другое!"
 tutorial_conquer_southern_italy:0 "Завоевать Южную Италию"
 tutorial_conquer_southern_italy_desc:0 "#W Присоедините выделенные территории Южной Италии.#!\n\nТеперь, когда мы показали вам основы, пришло время для настоящего испытания. Завоюйте остальную Южную Италию и покажите всему миру, что с вами нужно считаться!\n\nНе забывайте пополнять войска и воюйте только с теми, с кем (как вам кажется) сможете совладать. Чтобы выполнить это задание, вам придётся объявить несколько разных войн. Если #Y знамение#! за это время перестанет действовать, не забудьте его обновить!"
 tutorial_conquer_syracuse:0 "Завоевать Сиракузы"
 tutorial_conquer_syracuse_desc:0 "#W Присоедините выделенные территории в Сицилии.#!\n\nЧтобы завершить обучение, одолейте могущественные Сиракузы, последний оплот греческого влияния. Вам придётся перебрасывать войска через #Y пролив#!, и вражеский флот может заблокировать их, так что сперва разместите свой собственный флот в морской провинции между #Y Регием#! и #Y Мессаной#!.\n\nЕсли выяснится, что вам нужно осадить #Y Мелиту#!, вы можете переместить войска на корабли и отправить их к точке назначения.\n\nКогда под вашей властью окажутся выделенные территории в провинции #Y Сикелия#!, вы будете объявлены победителем!"
 tutorial_syracuse_tt:0 "#G Обучение пройдено!#!"
