l_russian:
 move_capital_title_tt:0 "#T Переместить столицу#!"
 patron_of_arts_button_desc_tt:0 "#TF [SCOPE.GetRootScope.GetCountry.GetPrimaryCulture.GetName] культура определяла развитие нашей державы многие века. Давайте познакомим с этими идеалами всех, кто находится в нашем царстве.#!"
 assemble_raiding_party_button_modifier:0 "Отряды налётчиков собраны"
 desc_assemble_raiding_party_button_modifier:0 "Наш народ принял наш призыв к оружию, соблазнившись обещаниями богатства и военной добычи."
 assemble_raiding_party_button_title_tt:0 "#T Собрать отряды налётчиков#!"
 assemble_raiding_party_button_desc_tt:0 "#TF Стремления к военной добыче и богатству достаточно, чтобы придать решимости даже самым малодушным.#!"
 pops_in_province_decentralize_tt:0 "@trigger_no! Хотя бы на #Y 1#! своей территории есть #Y 5#! племён, чьей культурой является #Y [SCOPE.GetRootScope.GetCountry.GetPrimaryCulture.GetName]#!, а религией — #Y [SCOPE.GetRootScope.GetCountry.GetReligion.GetName]#!."
 decentralize_realm_tooltip_effect:0 "#Y 5#! племён #R перебираются#! из провинции [SCOPE.GetRootScope.GetCountry.GetDescriptiveName]."
 5_pops_moving_decentralization_button:0 "#R 5#! @tribesmen! переселились."
 migration_encouraged:0 "Поощрение переселения"
 desc_migration_encouraged:0 "Желая вернуться к обычаям наших предков, мы поощряем наших людей к переселению на более плодородные земли."
 decentralize_realm_button_title_tt:0 "#T Поощрить переселение племён#!"
 decentralize_realm_button_desc_tt:0 "#TF Наши люди становятся слишком оседлыми, что не идёт им на пользу. Хотя мы и можем потерять некоторых из наших собратьев в ближайшее время, нам нужно подтолкнуть все народы, чьей культурой является [SCOPE.GetRootScope.GetCountry.GetPrimaryCulture.GetName], к свободным странствиям, чтобы мы когда-нибудь вернулись к старым обычаям.#!"
 hold_games_button_title_tt:0 "#T Провести игры#!"
 hold_games_button_desc_tt:0 "#TF Даже [SCOPE.GetRootScope.GetCountry.GetRuler.GetPraenomen] не может занять в сердцах простых людей то же место, что гладиаторские бои, гонки на колесницах и состязания атлетов. По счастью, [SCOPE.GetRootScope.GetCountry.GetRuler.GetPraenomen] это прекрасно знает.#!"
 move_capital_title_confirm_t:0 "Переместить столицу"
 move_capital_title_confirm_desc:0 "Вы хотите переместить столицу державы [ROOT.GetProvince.GetOwner.GetName] в город #Y [ROOT.GetProvince.GetName]#!?\n[ROOT.GetProvince.GetOwner.GetName] потеряет #R -[SCOPE.ScriptValue('move_capital_pop_difference_cost')]#! политического влияния @political_influence!"
 move_provincial_capital_title_confirm_t:0 "Переместить столицу провинции"
 move_provincial_capital_title_confirm_desc:0 "Вы хотите переместить столицу провинции #Y [ROOT.GetProvince.GetState.GetShortName]#! в город #Y [ROOT.GetProvince.GetName]#!?\n[ROOT.GetProvince.GetOwner.GetName] теряет #R [SCOPE.ScriptValue('subtract_influence_large')]#! политического влияния @political_influence!"
 invest_mil_t:0 "Назначить прокураторов провинции"
 invest_mil_desc:0 "Вы действительно хотите улучшить такой объект, как #Y [ROOT.GetState.GetName]#!?"
 invest_civ_t:0 "Поддержать расходы на инфраструктуру"
 invest_civ_desc:0 "Вы действительно хотите улучшить такой объект, как #Y [ROOT.GetState.GetName]#!?"
 invest_ora_t:0 "Поощрить вложения в коммерцию"
 invest_ora_desc:0 "Вы действительно хотите улучшить такой объект, как #Y [ROOT.GetState.GetName]#!?"
 invest_rel_t:0 "Религиозные пожертвования"
 invest_rel_desc:0 "Вы действительно хотите улучшить такой объект, как #Y [ROOT.GetState.GetName]#!?"
 local_civilization_pmod_stack:0 "Развитие города"
 desc_local_civilization_pmod_stack:0 "В этом городе идёт слаженная работа, связанная с городским планированием."
 urban_development_in_progress:0 "Городское планирование"
 desc_urban_development_in_progress:0 "В этом городе ведётся разработка основной инфраструктуры."
 city_output_reduced_tt:0 "Производительность в провинции #Y [SCOPE.GetRootScope.GetProvince.GetName]#! будет #R снижена#! на #Y 2#! года, пока согласовывается развитие города.\n\nЧерез #Y 2#! года:\n\n"
 increase_civilization_cap_button_title_tt:0 "#T Согласовать развитие города#!"
 reduce_investments_by_1:0 "[SCOPE.sC('player').GetName] тратит #R 1#! бесплатное вложение в провинцию (осталось: #Y [SCOPE.ScriptValue('free_investments_svalue')|/0]#!)\n\n"
 STATE_FREE_INVESTMENTS_TOOLTIP:0 "#T Бесплатные государственные вложения#!\n#TF Некоторые действия могут дать вам бесплатные вложения в провинцию, которые можно использовать вместо @military_icon! @civic_icon! @oratory_icon! или @religious_icon!, чтобы внести улучшения в любую из ваших провинций."
 gain_1_free_investment_tt:0 "#Y [SCOPE.GetRootScope.GetCountry.GetName]#! получает #Y 1#! бесплатное вложение в провинцию."
 gain_2_free_investment_tt:0 "#Y [SCOPE.GetRootScope.GetCountry.GetName]#! получает #Y 2#! бесплатных вложения в провинцию."
 gain_3_free_investment_tt:0 "#Y [SCOPE.GetRootScope.GetCountry.GetName]#! получает #Y 3#! бесплатных вложения в провинцию."
 gain_4_free_investment_tt:0 "#Y [SCOPE.GetRootScope.GetCountry.GetName]#! получает #Y 4#! бесплатных вложения в провинцию."
 gain_5_free_investment_tt:0 "#Y [SCOPE.GetRootScope.GetCountry.GetName]#! получает #Y 5#! бесплатных вложений в провинцию."
 not_capital_state_tt_subject:0 "@trigger_no! Город #Y [THIS.GetState.GetName]#! НЕ является столицей провинции."
 increase_civ_cap_t:0 "Согласовать развитие города"
 increase_civ_cap_desc:0 "Вы действительно хотите улучшить город #Y [ROOT.GetProvince.GetName]#!?"
 found_city_button_confirm_t:0 "Основать город"
 found_city_button_confirm_desc:0 "Вы действительно хотите основать город на территории #Y [ROOT.GetProvince.GetName]#!?\nПри строительстве будут разрушены все существующие здания, и их стоимость не будет возмещена."
 found_city_button_title_tt:0 "#T Основать город#!\nПоселения можно улучшать до городов, что повышает максимум населения и позволяет строить новые здания."
 founding_city_in_progress_tt:0 "Все здания на территории будут снесены при строительстве города."
 found_metropolis_button_confirm_t:0 "Основать метрополию"
 found_metropolis_button_confirm_desc:0 "Вы действительно хотите превратить город #Y [ROOT.GetProvince.GetName]#! в метрополию?"
 found_metropolis_button_title_tt:0 "#T Основать метрополию#!\nКрупные города можно улучшать до метрополий, делая их гораздо более привлекательными для населения и повышая максимум населения."
 founding_metropolis_in_progress_tt:0 "Улучшение города до метрополии не уничтожит существующие здания."
 revoke_city_status_button_confirm_t:0 "Отнять статус города"
 revoke_city_status_button_confirm_desc:0 "Вы точно хотите отнять статус города у территории #Y [ROOT.GetProvince.GetName]#!? Это вновь превратит её в поселение."
 revoke_city_status_button_title_tt:0 "#T Отнять статус города#!\nОтняв статус города у города или метрополии, вы превращаете их в обычное поселение. Это существенно снижает максимум населения и провоцирует недовольство."
 revoke_city_status_button:0 "Отнять статус города"
 price_revoke_city_status:0 "Стоимость отъёма статуса города"
 price_revoke_metropolis_status:0 "Стоимость отъёма статуса метрополии"
 assembly.1.t:0 "Куриатные комиции"
 summon_curiate_assembly:0 "Созвать куриатные комиции"
 assemble_curiate_assembly_title_tt:0 "#T Созвать куриатные комиции#!"
 assemble_curiate_assembly_desc_tt:0 "#TF Созывает наиболее уважаемых патрициев, чтобы придать законность назначениям Сената. Это действие может повысить способности назначенных вами губернаторов, но его можно использовать лишь раз в 10 лет."
 not_summoned_curiate_assembly_recently_tt:0 "Вы не можете снова созвать #Y Куриатные комиции#! до [SCOPE.GetRootScope.GetCountry.GetVariableExpiry('summoned_curiate_assembly')|Y]."
 any_non_ruler_governor_character:0 "@trigger_no! Любой персонаж является #Y губернатором#!, но не является #Y правителем#!."
 curiate_assembly_para_1_1:0 "В относительно комфортных условиях внутри городских стен привилегированные граждане державы [SCOPE.GetRootScope.GetCountry.GetName] собираются, чтобы проголосовать за или против назначенных магистратов."
 curiate_assembly_para_1_campus_martius:0 "Куриатные комиции в этом году собираются на Марсовом поле: количество участников слишком велико, чтобы проводить собрание в стенах Рима.\n\nЕщё не растаял утренний иней, а вереница сонных патрициев уже подтягивается — все горят желанием прославить свой вклад в дело Республики."
 curiate_assembly_para_2_three_possible_candidates:0 "\n\nКомицию в этом году попросили поддержать кандидатуру одного из уважаемых губернаторов: [SCOPE.sChar('magistrate_1').GetName], [SCOPE.sChar('magistrate_1').Custom('get_council_1_descriptor')], [SCOPE.sChar('magistrate_2').GetName], [SCOPE.sChar('magistrate_2').Custom('get_council_2_descriptor')], и [SCOPE.sChar('magistrate_3').GetName], [SCOPE.sChar('magistrate_3').Custom('get_council_3_descriptor')]."
 curiate_assembly_para_2_one_and_two:0 "\n\nНа этот раз комиции представлены два кандидата, ищущие одобрения и помощи на своей должности. [SCOPE.sChar('magistrate_1').GetName], [SCOPE.sChar('magistrate_1').Custom('get_council_1_descriptor')], и [SCOPE.sChar('magistrate_2').GetName], [SCOPE.sChar('magistrate_2').Custom('get_council_2_descriptor')], терпеливо сидят и ждут неизбежного одобрения патрициями."
 curiate_assembly_para_2_one_and_three:0 "\n\n[SCOPE.sChar('magistrate_1').GetName], [SCOPE.sChar('magistrate_1').Custom('get_council_1_descriptor')], и [SCOPE.sChar('magistrate_3').GetName], [SCOPE.sChar('magistrate_3').Custom('get_council_3_descriptor')], с тревогой посматривают на собирающихся патрициев, и каждый из кандидатов надеется, что именно его взятки и услуги изменят баланс сил."
 curiate_assembly_para_2_two_and_three:0 "\n\n[SCOPE.sChar('magistrate_2').GetName], [SCOPE.sChar('magistrate_2').Custom('get_council_3_descriptor')], и [SCOPE.sChar('magistrate_3').GetName], [SCOPE.sChar('magistrate_3').Custom('get_council_1_descriptor')], отправили посланцев из своих провинций, уверенные, что их вклад в дело державы [SCOPE.GetRootScope.GetCountry.GetName] обеспечит им утверждение."
 curiate_assembly_para_2_only_one:0 "\n\nВ этом году только один кандидат, [SCOPE.sChar('magistrate_1').GetName], представлен на утверждение. Хоть это и не совсем обычно, комиция всё же согласилась собраться и рассмотреть, достоин ли кандидат [SCOPE.sChar('magistrate_1').GetPraenomen] поддержки."
 assembly.1.a:0 "Пусть [SCOPE.sChar('magistrate_1').GetPraenomen] получит нашу поддержку."
 assembly.1.b:0 "Возможно, [SCOPE.sChar('magistrate_2').GetPraenomen] воспользуется нашей поддержкой."
 assembly.1.c:0 "Попробуем натолкнуть комицию на мысль, что [SCOPE.sChar('magistrate_3').GetPraenomen] — наилучший кандидат."
 assembly.option.tooltip:0 "#G Хитроумие#! и #R продажность#! нашего правителя дают нам #Y [SCOPE.ScriptValue('curiate_endorsement_chance_svalue')]%#! шанс на успех."
 assembly.1.d:0 "Мы надеемся, что комиция сделает мудрый выбор."
 assembly.option.tooltip_deal_magistrate_1:0 "При выборе этого варианта шанс успеха увеличится до #Y [SCOPE.ScriptValue('curiate_endorsement_result_chance_svalue_magistrate_1')]%#!"
 assembly.option.total_magistrate_1:0 "При выборе этого варианта шанс успеха составит #Y [SCOPE.ScriptValue('curiate_endorsement_already_endorsed_chance_svalue_magistrate_1')]%#!"
 assembly.option.tooltip_already_endorsed_1:0 "Поскольку этот кандидат уже был утверждён однажды, шанс #R снижен#! до #Y [SCOPE.ScriptValue('curiate_endorsement_already_endorsed_chance_svalue_magistrate_1')]%#!"
 assembly.option.tooltip_deal_magistrate_2:0 "При выборе этого варианта шанс успеха увеличится до #Y [SCOPE.ScriptValue('curiate_endorsement_result_chance_svalue_magistrate_2')]%#!"
 assembly.option.tooltip_already_endorsed_2:0 "Поскольку этот кандидат уже был утверждён однажды, шанс #R снижен#! до #Y [SCOPE.ScriptValue('curiate_endorsement_already_endorsed_chance_svalue_magistrate_2')]%#!"
 assembly.option.tooltip_deal_magistrate_3:0 "При выборе этого варианта шанс успеха увеличится до #Y [SCOPE.ScriptValue('curiate_endorsement_result_chance_svalue_magistrate_3')]%#!"
 assembly.option.tooltip_already_endorsed_3:0 "Поскольку этот кандидат уже был утверждён однажды, шанс #R снижен#! до #Y [SCOPE.ScriptValue('curiate_endorsement_already_endorsed_chance_svalue_magistrate_3')]%#!"
 magistrate_1_picked_for_consideration:0 "\n#Y [SCOPE.sChar('magistrate_1').GetName]#! станет кандидатом на утверждение."
 magistrate_2_picked_for_consideration:0 "\n#Y [SCOPE.sChar('magistrate_2').GetName]#! станет кандидатом на утверждение."
 magistrate_3_picked_for_consideration:0 "\n#Y [SCOPE.sChar('magistrate_3').GetName]#! станет кандидатом на утверждение."
 random_magistrate_picked:0 "Комиция сама выберет, кого из губернаторов утвердить.\nШанс успеха меняется в зависимости от выбранного губернатора."
 potential_endorsement_rewards:0 "Результаты утверждения могут принести @military_icon! @civic_icon! @oratory_icon! @religious_icon! или @gold!\n\n"
 assembly.1.e:0 "Не будем вмешиваться: комиция примет правильное решение."
 assembly.2.t:0 "[SCOPE.sChar('selected_candidate').GetPraenomen] получает одобрение"
 assembly.3.t:0 "Комиция отказывает в утверждении"
 assembly.2.desc:0 "Под взрыв аплодисментов оратор куриатных комиций соглашается с тем, что назначение получит [SCOPE.sChar('selected_candidate').GetName], [Select_CString(selected_candidate.IsFemale, 'видная', 'видный' )] [SCOPE.sChar('selected_candidate').GetTitleName].\n\nПосле этого комиция собирается одобрить кандидатуры на несколько малых должностей: на этих людей [SCOPE.sChar('selected_candidate').GetPraenomen] будет опираться при исполнении обязанностей. К счастью, у нас есть несколько вариантов, и нам остаётся решить, кто лучше подходит для каких ролей."
 assembly.2.a:0 "Ряд военных советников."
 assembly.2.b:0 "Несколько младших магистратов."
 assembly.2.c:0 "Жрец в качестве советника."
 assembly.2.d:0 "Известный оратор."
 assembly.2.e:0 "Несомненно, [SCOPE.sChar('selected_candidate').GetPraenomen] сумеет распорядиться золотом?"
 assembly.2.f:0 "Мягкая игрушка."
 multiple_endorsements_corruption:0 "\nПоскольку этот кандидат уже утверждался ранее:\n"
 traits.2.b:0 "Призовите величайшие умы державы!"
 enables_unusual_event_options:0 "Черта характера #Y Безумие#! открывает некоторые весьма неожиданные варианты."
 assembly.3.desc:0 "Суровые куриатные комиции совещаются под полуденным зноем, обмениваясь неодобрительными взглядами. Наконец, оратор встаёт и жёстко осуждает наших кандидатов.\n\nПохоже, в этом году мы не получим одобрения."
 assembly.3.a:0 "Проклятье!"
 assembly.3.b:0 "[SCOPE.sChar('selected_candidate').GetPraenomen], мы всё компенсируем."
 assembly.3.c:0 "Быть по сему. Немедленно распустить комиции."
