l_russian:
 dhe_pharos_tooltip:0 "Начинается строительство маяка."
 dhe_pharos_lighthouse.4.c:0 "Значит, маяк будет строиться дольше."
 dhe_pharos_lighthouse.4.c.tt:0 "Работы над Фаросским маяком замедлились из-за нехватки рабочих."
 dhe_pharos_lighthouse.5.t:0 "Осложнения из-за землетрясения"
 dhe_pharos_lighthouse.5.desc:0 "Фаросский маяк пострадал от небольшого землетрясения. Все рабочие, находившиеся внутри, получили мелкие травмы; испорчена работа последних нескольких месяцев.\n\nЧтобы строительство продолжалось без задержек, следует выделить большие средства на расчистку маяка и восстановление обрушенных участков."
 dhe_pharos_lighthouse.5.a:0 "Мы все исправим, чтобы можно было продолжать строительство."
 dhe_pharos_lighthouse.5.b:0 "У нас нет на это денег."
 dhe_pharos_lighthouse.5.b.tt:0 "Работы над Фаросским маяком замедлились из-за урона, нанесенного землетрясением."
 dhe_pharos_lighthouse.6.t:0 "Качественные стройматериалы"
 dhe_pharos_lighthouse.6.desc:0 "Возведение Фаросского маяка продолжается, и мы получили дополнительную партию стройматериалов, которая оказалась более качественной, чем мы рассчитывали. Можно использовать эти материалы, чтобы сделать маяк лучше, чем планировалось, а можно продать их и придерживаться изначального плана, и вырученные деньги приберечь на случай непредвиденных расходов."
 dhe_pharos_lighthouse.6.a:0 "Сделаем больше и лучше!"
 dhe_pharos_lighthouse.6.a.tt:0 "Работы над Фаросским маяком зашли дальше, чем мы изначально планировали."
 dhe_pharos_lighthouse.6.b:0 "Продадим их и сбережем вырученное на всякий случай."
 dhe_pharos_lighthouse.10.t:0 "Фаросский маяк"
 dhe_pharos_lighthouse.10.desc:0 "Мы разослали повсюду людей за рабочими, которые помогут возводить Фаросский маяк. Маяк будет самым высоким зданием из всех, что известны человечеству, и, как мы надеемся, станет символом цивилизованного мира.\n\nВсего через несколько недель будущий маяк уже станет вполне заметен. Конечно, строительство не обойдется без осложнений, но будем надеяться, что достаточно скоро маяк будет готов."
 dhe_pharos_lighthouse.10.a:0 "Фонарь маяка станет нашей путеводной звездой."
 dhe_pharos_lighthouse.11.t:0 "Фаросский маяк"
 dhe_pharos_lighthouse.11.desc:0 "Строительство Фаросского маяка наконец-то завершено. Этот маяк — символ нашего правления, нашей мощи и нашего влияния. Теперь долгие годы он будет показывать кораблям путь в Александрию, один из величайших городов мира.\n\nХоть маяк и не вполне соответствует нашим изначальным ожиданиям и планам, он все равно потрясает воображение. Мы воздвигли ни с чем не сравнимый монумент, и больше никто не усомнится в величии нашего города и нашей державы. "
 dhe_pharos_lighthouse.11.a:0 "И все же мы надеялись на нечто большее..."
 dhe_pharos_lighthouse.12.t:0 "Фаросский маяк"
 dhe_pharos_lighthouse.12.desc:0 "Строительство Фаросского маяка наконец-то завершено. Этот маяк — символ нашего правления, нашей мощи и нашего влияния. Теперь долгие годы он будет показывать кораблям путь в Александрию, один из величайших городов мира.\n\nМногие критиковали наши амбициозные и трудноосуществимые планы, но маяк стоит и вполне соответствует изначальным ожиданиям. Мы воздвигли ни с чем не сравнимый монумент, и больше никто не усомнится в величии нашего города и нашей державы."
 dhe_pharos_lighthouse.12.a:0 "Этот маяк — чудо строительной мысли."
 dhe_pharos_lighthouse.13.t:0 "Фаросский маяк"
 dhe_pharos_lighthouse.13.desc:0 "Строительство Фаросского маяка наконец-то завершено. Этот маяк — символ нашего правления, нашей мощи и нашего влияния. Теперь долгие годы он будет показывать кораблям путь в Александрию, один из величайших городов мира.\n\nГигантский монумент намного превзошел наши ожидания, он пронзил небеса и возвысился над облаками. Никогда еще руки людей не возводили ничего подобного, и ходят слухи, будто нам в работе помогали сами боги.\n\nФаросский маяк будет вечно стоять памятником мощи нашей державы."
 dhe_pharos_lighthouse.13.a:0 "И это правильно."
 dhe_museion_tooltip:0 "Начинается строительство мусейона."
 dhe_museion.2.t:0 "Требуются ученые"
 dhe_museion.2.desc:0 "Продолжается строительство мусейона, а мы тем временем начали искать тех, кто будет трудиться в его залах. Нам уже предложили свои услуги несколько малоизвестных местных ученых, но [SCOPE.sCharacter('random_advisor').GetName] предлагает поискать чужеземных мудрецов, чтобы у нас был представлен и их взгляд на природу вещей.\n\nПосле долгих изысканий нам были предложены три кандидатуры: [SCOPE.sCharacter('scholar_character').GetName] из державы [SCOPE.sCharacter('scholar_character').GetEmployer.GetName], [SCOPE.sCharacter('scholar_character_2').GetName] из державы [SCOPE.sCharacter('scholar_character_2').GetEmployer.GetName] и [SCOPE.sCharacter('scholar_character_3').GetName] из державы [SCOPE.sCharacter('scholar_character_3').GetEmployer.GetName]."
 dhe_museion.2.a:0 "Пожалуй, [SCOPE.sCharacter('scholar_character').GetName] — удачный вариант."
 dhe_museion.2.b:0 "[SCOPE.sCharacter('scholar_character_2').GetName] представляется самой достойной кандидатурой."
 dhe_museion.2.c:0 "Единственный разумный вариант — это [SCOPE.sCharacter('scholar_character_3').GetName]."
 dhe_museion.3.t:0 "Свитки для музы"
 dhe_museion.3.desc:0 "Мы разослали посланников по всему известному миру, чтобы собрать все возможные свитки, тексты и таблички для строящегося мусейона. Наши ученые нашли особенно интересную копию текста [ROOT.GetCountry.Custom('get_random_ancient_text')] в державе [SCOPE.sCountry('randomized_country').GetName], но подобный свиток обойдется нам очень дорого.\n\nУченые убеждают нас, что этот текст необходим, чтобы завершить коллекцию и что он сильно продвинет нашу науку."
 dhe_museion.3.a:0 "Еще больше текстов? Это уже перебор."
 dhe_museion.3.b:0 "Ради музы не жалко ничего."
 dhe_museion.4.t:0 "Поэтическая муза для мусейона"
 dhe_museion.4.desc:0 "Чего стоит храм муз, если в нем нет поэтов? Уже многие малоизвестные поэты и писатели участвуют в превращении мусейона в храм знаний, но нам по-прежнему недостает знаменитых творцов.\n\nПосле долгих поисков мы нашли двух достойных кандидатов — [SCOPE.sCharacter('poet_character').GetName] из державы [SCOPE.sCharacter('poet_character').GetEmployer.GetName] и [SCOPE.sCharacter('poet_character_2').GetName] из державы [SCOPE.sCharacter('poet_character_2').GetEmployer.GetName]. Мусейон, образно говоря, слишком тесен для них двоих: давайте выберем кого-нибудь одного."
 dhe_museion.4.a:0 "[SCOPE.sCharacter('poet_character').GetName] — интересный вариант."
 dhe_museion.4.b:0 "Мы слышали, что [SCOPE.sCharacter('poet_character_2').GetName] — превосходный поэт."
 dhe_museion.5.t:0 "Музы и мистики"
 dhe_museion.5.desc:0 "Один из ученых, которого мы отправили на поиски текстов и свитков для наших библиотек, нашел истинное сокровище: это [ROOT.GetCountry.Custom('get_random_ancient_text_keyword')], [ROOT.GetCountry.Custom('get_random_ancient_text')]. Текст обошелся нам в немалую сумму, но он, без сомнения, заметно продвинет нашу науку в ближайшие годы."
 dhe_museion.5.a:0 "Отличные новости!"
 dhe_museion.10.t:0 "Мусейон начинает работать"
 dhe_museion.10.desc:0 "Мы отправили повсюду ученых и посланников, чтобы те искали тексты, записи и кодексы для великого мусейона. Мусейон станет собранием всех наших знаний, центром эллинистической культуры.\n\nМы докажем раз и навсегда, что Александрия — один из величайших городов мира в любом отношении: и в культуре, и в инженерном деле, и в науках. Наступил момент, когда [ROOT.GetCountry.GetName] становится одной из великих мировых держав."
 dhe_museion.10.a:0 "Этот храм запомнят надолго."
 dhe_museion.11.t:0 "Мусейон"
 dhe_museion.11.desc:0 "Работа над мусейоном наконец-то завершена, и потомки навсегда запомнят это величественное здание, как и эпоху нашего правления. Ученые, поэты, писатели и музыканты со всего мира собрались у врат Александрии, чтобы поделиться своими знаниями и талантами, возвеличив тем самым наш народ.\n\nСобрав под своим крылом столько талантов, Александрия воистину стала жемчужиной нашей державы. Остается лишь найти применение такому большому потенциалу."
 dhe_museion.11.a:0 "[ROOT.GetCountry.GetAdjective]ая изобретательность во всей своей красе!"
 dhe_museion.12.t:0 "Мусейон уничтожен"
 dhe_museion.12.desc:0 "Александрия в осаде, ночное небо освещено всполохами чудовищного пожара. Мусейон горит, а с ним и все постройки, свитки, тексты и прочие ценности. Времени предотвратить эту трагедию не было: теперь здание мусейона не спасти — не говоря уже о его содержимом.\n\nЭто величайшая трагедия [ROOT.GetCountry.GetAdjective]ого народа, от нашего храма науки и культуры осталась лишь память."
 dhe_museion.12.a:0 "Как такое могло случиться?"
 dhe_museion.20.t:0 "Заполнение библиотеки"
 dhe_museion.20.desc:0 "Мы стараемся всегда снабжать мусейон новыми трудами и недавно обнаружили пару текстов, которые могут представлять интерес.\n\nОдин из них — копия труда [ROOT.GetCountry.Custom('get_random_ancient_text')], который мы давно разыскивали. Другой — текст [ROOT.GetCountry.Custom('get_random_ancient_text_keyword')] [ROOT.GetCountry.Custom('get_random_ancient_text')], редкий и ценный документ."
 dhe_museion.20.a:0 "В этом случае лучше придерживаться изначальной цели."
 dhe_museion.20.b:0 "Чем более редок текст, тем лучше. Для редкостей и создали мусейон."
 dhe_museion.20.c:0 "Сейчас мы не можем себе позволить ни то, ни другое."
 dhe_museion.21.t:0 "Возможные варианты"
 dhe_museion.21.desc:0 "Мы можем принять на службу в мусейон еще нескольких ученых и уже начали поиски. У нас есть пара интересных вариантов, следует сделать выбор."
 dhe_museion.21.a:0 "Мне кажется, [SCOPE.sCharacter('random_character').GetName] нам отлично подойдет."
 dhe_museion.21.b:0 "Известно, что [SCOPE.sCharacter('random_character_2').GetName] — человек многих талантов."
 dhe_museion.21.c:0 "[SCOPE.sCharacter('random_character_3').GetName] — интересный вариант."
 dhe_museion.21.d:0 "Никто из них не годится для мусейона."
 dhe_museion.22.t:0 "Содержание мусейона"
 dhe_museion.22.desc:0 "Строительство мусейона, несомненно, полезно для державы [ROOT.GetCountry.GetName], но оно обошлось нам в немалую сумму. Расходы на содержание здания, хранение всех записей и жалование служащим мусейона со временем становятся все более заметны."
 dhe_museion.22.a:0 "Да, содержать ученых и творцов недешево."
 dhe_colossus_tooltip:0 "Начинается строительство Колосса."
 dhe_colossus_of_rhodes.2.t:0 "Утонувшие стройматериалы"
 dhe_colossus_of_rhodes.2.desc:0 "Нам сообщили, что один из кораблей со стройматериалами для Колосса потоплен пиратами у берегов державы [SCOPE.sP('randomized_country_province').GetName]. Теперь материалов для строительства не хватает: придется заказать новую партию, либо сделать статую ниже, чем планировалось."
 dhe_colossus_of_rhodes.2.a:0 "Мы оплатим новую партию стройматериалов."
 dhe_colossus_of_rhodes.2.a.tt:0 "Работы над Колоссом Родосским продолжаются в прежнем темпе."
 dhe_colossus_of_rhodes.2.b:0 "Мы просто сделаем статую чуточку ниже."
 dhe_colossus_of_rhodes.2.b.tt:0 "Работы над Колоссом Родосским замедлились из-за нехватки материалов."
 dhe_colossus_of_rhodes.3.t:0 "У рабочих пропала мотивация"
 dhe_colossus_of_rhodes.3.desc:0 "Немалую часть работ над Колоссом народ Родоса выполнял по своей доброй воле, но сейчас многие из рабочих потеряли былое рвение, поскольку строительство идет не так быстро, как они надеялись.\n\nМы можем оплатить доставку на Родос новых рабочих, которые доделают работу, попробовать вдохновить тех рабочих, которые уже есть, или изменить планы, чтобы снизить нагрузку на имеющихся рабочих."
 dhe_colossus_of_rhodes.3.a:0 "Наймем новых рабочих, они все доделают."
 dhe_colossus_of_rhodes.3.b:0 "Нужно произнести перед нашими рабочими вдохновляющую речь."
 dhe_colossus_of_rhodes.3.c:0 "Поступимся размерами статуи ради общего блага."
 dhe_colossus_of_rhodes.3.c.tt:0 "Работы над Колоссом Родосским замедлились из-за низкой мотивации рабочих."
 dhe_colossus_of_rhodes.4.t:0 "Саботаж работы над Колоссом"
 dhe_colossus_of_rhodes.4.desc:0 "Работе над Колоссом стали мешать постоянные кражи и саботаж — страны-завистники отправляют своих шпионов, чтобы те всячески препятствовали строительству шедевра. Пока что вредителям ничего серьезного сделать не удалось, но мы опасаемся, что вскоре это изменится.\n\n[SCOPE.sCharacter('random_advisor').GetName] советует выставлять в караул у Колосса солдат. Можно также выделить средства на замену разрушенных частей монумента или вовсе проигнорировать происходящее."
 dhe_colossus_of_rhodes.4.a:0 "Мы будем восстанавливать то, что разрушат вредители."
 dhe_colossus_of_rhodes.4.b:0 "Наши солдаты будут охранять монумент."
 dhe_colossus_of_rhodes.4.c:0 "Это небольшая проблема. Пожалуй, беспокоиться не о чем."
 dhe_colossus_of_rhodes.4.c.tt:0 "Работы над Колоссом Родосским замедлились из-за диверсий и краж."
 dhe_colossus_of_rhodes.10.t:0 "Колоссальные начинания"
 dhe_colossus_of_rhodes.10.desc:0 "Ресурсы, снаряжение и материалы, оставленные армией Деметрия, позволят нам начать возведение собственной огромной статуи во славу Гелиоса. Чтобы добыть остальные ресурсы, разошлем послов в главные державы Средиземноморья.\n\nНа этот масштабнейший проект уйдет много времени, но такова цена, которую приходится платить за милость богов. Благодаря помощи жителей Родоса строительство началось."
 dhe_colossus_of_rhodes.10.a:0 "Этого следовало ожидать."
 dhe_colossus_of_rhodes.11.t:0 "Колосс Родосский"
 dhe_colossus_of_rhodes.11.desc:0 "Статуя Колосса Родосского завершена, и теперь она будет вечно защищать остров Родос от врагов. Уникальная огромная статуя, покрытая листами чистой бронзы — поистине шедевр во славу бога Гелиоса, покровителя Родоса.\n\nСтатуя возведена почти именно такой, как мы и планировали. Этот монумент увековечит наше правление на Родосе. Мы надеемся, что Гелиос и дальше будет с гордостью глядеть на Родос и оберегать наш полис."
 dhe_colossus_of_rhodes.11.a:0 "Немалое достижение."
 dhe_colossus_of_rhodes.12.t:0 "Колосс Родосский"
 dhe_colossus_of_rhodes.12.desc:0 "Статуя Колосса Родосского завершена, и теперь она будет вечно защищать остров Родос от врагов. Уникальная огромная статуя, покрытая листами чистой бронзы — поистине шедевр во славу бога Гелиоса, покровителя Родоса.\n\nВ результате наших упорных трудов монумент стал даже больше и роскошнее, чем могли себе представить архитекторы. Теперь Гелиос непременно будет глядеть на Родос с гордостью, простирая над нашим полисом свою длань."
 dhe_colossus_of_rhodes.12.a:0 "Колоссальное достижение."
 dhe_colossus_of_rhodes.13.t:0 "Сломанный колосс"
 dhe_colossus_of_rhodes.13.desc:0 "Великий Колосс Родосский видел немало сражений, но в итоге он пал после того, как город взяли войска неприятеля. В хаосе осады было непонятно, что именно произошло, но теперь огромная статуя разбита, ее части разбросаны по всей гавани и в порту.\n\nКолосса уже не восстановить, и моральному духу наших людей нанесен огромный удар."
 dhe_colossus_of_rhodes.13.a:0 "Какая беда!"
 dhe_earthquake.1.t:0 "Землетрясения в провинции [SCOPE.sP('randomized_country_province').GetName]"
 dhe_earthquake.1.desc:0 "В провинции [SCOPE.sP('randomized_country_province').GetName] произошло сильнейшее землетрясение, приведшее к жертвам и значительным разрушениям в городе. Также пострадали и ближайшие города и земли, но больше всего горя выпало на долю провинции [SCOPE.sP('randomized_country_province').GetName].\n\nНарод ждет, что мы выделим средства из собственной казны на помощь пострадавшим."
 dhe_earthquake.1.a:0 "Надо помочь нашим собратьям в провинции [SCOPE.sP('randomized_country_province').GetName]!"
 dhe_earthquake.1.b:0 "Со временем все уладится само."
 dhe_earthquake.2.t:0 "Землетрясения в провинции [SCOPE.sP('randomized_country_province').GetName]"
 dhe_earthquake.2.desc:0 "В провинции [SCOPE.sP('randomized_country_province').GetOwner.GetName] произошло сильнейшее землетрясение с эпицентром в городе [SCOPE.sP('randomized_country_province').GetName]. Большинство наших городов в тех землях почти не пострадали, если не считать города [SCOPE.sP('randomized_earthquake_province').GetName].\n\nЖители области [SCOPE.sP('randomized_earthquake_province').GetName] ждут, что мы поможем им отстроиться заново."
 dhe_earthquake.2.a:0 "Мы выделим им средства."
 dhe_earthquake.2.b:0 "Со временем все уладится само."
 dhe_earthquake.3.t:0 "Разрушение провинции [SCOPE.sP('randomized_country_province').GetName]!"
 dhe_earthquake.3.desc:0 "Сама земля разверзлась и поглотила провинцию [SCOPE.sP('randomized_country_province').GetName], вызвав множество разрушений и жертв. Подземные толчки разошлись в разные стороны, повсюду оставив за собой лишь хаос и смерть. Наш народ ждет, что мы не оставим его в столь тяжелый час, и требует разрешения критической ситуации.\n\nЕсли мы не покажем себя надежными правителями в этот беспокойный период, нам не миновать народных волнений. Кто еще спасет наших подданных, если не мы?"
 dhe_earthquake.3.a:0 "Мы должны помочь пострадавшим."
 dhe_earthquake.3.b:0 "С этим кризисом никак не справиться."
 dhe_earthquake.4.t:0 "Разрушение провинции [SCOPE.sP('randomized_country_province').GetName]!"
 dhe_earthquake.4.desc:0 "Земля разверзлась и поглотила целиком весь город [SCOPE.sP('randomized_country_province').GetName], что в провинции [SCOPE.sP('randomized_country_province').GetOwner.GetName]. Большая часть разрушений произошла вне наших границ, однако провинция [SCOPE.sP('randomized_earthquake_province').GetName], которая находится неподалёку от эпицентра, всё-таки пострадала от стихии — там есть и разрушения, и жертвы.\n\nНаш народ ждёт от нас умелого руководства в эти трудные времена, хотя трудности испытывает, по сути, лишь небольшая область нашей страны."
 dhe_earthquake.4.a:0 "Мы поможем жителям провинции [SCOPE.sP('randomized_country_province').GetName]."
 dhe_earthquake.4.b:0 "Люди справятся со своими проблемами сами."
 dhe_earthquake.6.t:0 "Память о землетрясении"
 dhe_earthquake.6.desc:0 "Прошло несколько лет с тех пор, как мощное землетрясение разрушило немалую часть провинции [SCOPE.sP('randomized_country_province').GetName] и заставило горевать наш народ. Многие отчаялись бы после такого несчастья и впали бы в уныние, но жители державы [ROOT.GetCountry.GetName] собрались с духом и сообща выстроили новое будущее. Народ по-прежнему помнит, как мы уверенно правили страной в тяжелые времена, и мало кто сегодня сомневается в законности нашей власти."
 dhe_earthquake.6.a:0 "Будем надеяться, что больше ничего подобного не случится."
 dhe_earthquake.7.t:0 "Память о землетрясении"
 dhe_earthquake.7.desc:0 "Прошло несколько лет с тех пор, как мощное землетрясение разрушило немалую часть провинции [SCOPE.sP('randomized_country_province').GetName] и оставило нашу страну в руинах. Мрачная память о тех днях крепко засела в нашей памяти — даже сегодня в разговорах о политике всплывает эта катастрофа и влияние, которое она оказала на нас. Когда же мы забудем ее окончательно?"
 dhe_earthquake.7.a:0 "Какая ужасная трагедия..."
 earthquake_historical.tt:0 "До #Y 80%#! населения города #Y [THIS.GetProvince.GetName]#! убито землетрясением."
 earthquake_major.tt:0 "До #Y 40%#! населения города #Y [THIS.GetProvince.GetName]#! убито землетрясением."
 earthquake_medium.tt:0 "До #Y 20%#! населения города #Y [THIS.GetProvince.GetName]#! убито землетрясением."
 earthquake_minor.tt:0 "До #Y 10%#! населения города #Y [THIS.GetProvince.GetName]#! убито землетрясением."
 dhe_volcano.1.t:0 "Разрушительный вулкан"
 dhe_volcano.1.desc:0 "Громкий грохот оказался предупреждением об извержении вулкана [ROOT.GetCountry.Custom('get_nearby_volcano')]. [SCOPE.sP('volcano_city').GetName] и все ближайшие провинции оказались покрыты пеплом и лавой. У многих жителей этих земель почти не было времени подготовиться к опасности, и теперь там повсюду разрушения и жертвы.\n\nГород [SCOPE.sP('volcano_city').GetName] полностью погребен под пеплом вулкана [ROOT.GetCountry.Custom('get_nearby_volcano')]: жить там теперь едва ли возможно. Кое-кто начинает думать, что это кара богов, которых мы как-то ухитрились оскорбить?"
 dhe_volcano.1.a:0 "Надо позаботиться о тех немногих, кто пережил катастрофу."
 dhe_volcano.2.t:0 "Разрушительный вулкан"
 dhe_volcano.2.desc:0 "Как оказалось, оглушительный грохот предвещал извержение вулкана [ROOT.GetCountry.Custom('get_nearby_volcano')]. Вулкан выбросил на ближайший город [SCOPE.sP('volcano_city').GetName] в провинции [SCOPE.sP('volcano_city').GetOwner.GetName] тучи лавы и пепла. Несколько наших городов неподалёку разрушены извержением, нам докладывают, что там очень много погибших.\n\nТеперь, когда город [SCOPE.sP('volcano_city').GetName] почти полностью погребён под пеплом и лавой, кое-кто начал задаваться вопросом: может быть, сами боги решили покарать город [SCOPE.sP('volcano_city').GetOwner.GetName]?"
 dhe_volcano.2.a:0 "Мы должны помочь выжившим."
 volcano_historical.tt:0 "#Y [THIS.GetProvince.GetName]#! теряет до #Y 80%#! населения из-за извержения вулкана."
 volcano_major.tt:0 "#Y [THIS.GetProvince.GetName]#! теряет до #Y 40%#! населения из-за извержения вулкана."
 volcano_medium.tt:0 "#Y [THIS.GetProvince.GetName]#! теряет до #Y 20%#! населения из-за извержения вулкана."
 volcano_minor.tt:0 "#Y [THIS.GetProvince.GetName]#! теряет до #Y 10%#! населения из-за извержения вулкана."
 cult_of_fortune_tooltip:0 "В провинции [SCOPE.sP('randomized_country_province').GetName] утверждается культ Фортуны."
 dhe_fortune_cult.1.t:0 "[ROOT.GetCountry.Custom('get_fortune_goddess')] и ее культ"
 dhe_fortune_cult.1.desc:0 "В последнее время все больше людей, которые ищут благосклонности богов, говорят, что их богиня — [ROOT.GetCountry.Custom('get_fortune_goddess')]. Жрец и небольшая группа его последователей прибыли в провинцию [SCOPE.sP('randomized_country_province').GetName], чтобы распространить там свой культ.\n\nОни обещают нам удачу и благосклонность богов в обмен на серьезное денежное пожертвование и помощь в обустройстве."
 dhe_fortune_cult.1.a:0 "Если [ROOT.GetCountry.Custom('get_fortune_goddess')] и ее последователи помогут нам, это будет очень кстати."
 dhe_fortune_cult.1.b:0 "Нам негде приютить этих культистов."
 dhe_fortune_cult.1.b.tt:0 "Культ Фортуны изгнан из наших земель."
 dhe_fortune_cult.2.t:0 "Членство в культе Фортуны"
 dhe_fortune_cult.2.desc:0 "[ROOT.GetCountry.GetRuler.GetName] получает предложение войти в число последователей богини, чье имя — [ROOT.GetCountry.Custom('get_fortune_goddess')]. В обмен культисты просят для себя увеличения большей религиозной независимости.\n\nС тех времен, как в городе [ROOT.GetCountry.GetName] появился культ Фортуны, его поддержка только растет, так что поддержав культистов, мы заручимся народной любовью."
 dhe_fortune_cult.2.a:0 "Фортуна будет наша."
 dhe_fortune_cult.2.b:0 "Нам неинтересны эти культисты."
 dhe_fortune_cult.3.t:0 "Богиня [ROOT.GetCountry.Custom('get_fortune_goddess')] и ее храм"
 dhe_fortune_cult.3.desc:0 "Некоторые последователи богини [ROOT.GetCountry.Custom('get_fortune_goddess')] просят средства, чтобы построить в городе [SCOPE.sP('randomized_country_province').GetName] (это провинция [SCOPE.sP('randomized_country_province').GetState.GetShortName]) храм их богини. Этот храм, без сомнения, стал бы благословением для города — а также новым святилищем и местом собрания для почитателей культа.\n\nНикто об этом не говорит прямо, но все понимают: если мы не будем почитать культ и помогать ему, это отвратит богиню [ROOT.GetCountry.Custom('get_fortune_goddess')] от нашего народа."
 dhe_fortune_cult.3.a:0 "Мы выделим им средства."
 dhe_fortune_cult.3.b:0 "Пусть они поищут денег в другом месте."
 dhe_fortune_cult.4.t:0 "Проект Фортуны"
 dhe_fortune_cult.4.desc:0 "Жрецы и приверженцы культа Фортуны начали планировать грандиозный проект, который должен воплотиться рядом с нашей столицей, городом [ROOT.GetCountry.GetCapital.GetName]. Их цель — создать новое святилище культа Фортуны, где они соберут все свои ресурсы и всех предводителей культа, а также будут привлекать новых последователей и проводить ритуалы и празднества.\n\nОни просят у нас денег — и позволения на строительство. Без сомнения, такое святилище привлечет к нам последователей культа отовсюду и даст нам расположение богини."
 dhe_fortune_cult.4.a:0 "Это станет благом для нашей нации."
 dhe_fortune_cult.4.b:0 "[ROOT.GetCountry.GetCapital.GetName] сейчас не нуждается в таком храме."
 dhe_fortune_cult.4.b.tt:0 ""
 dhe_isis_cult.1.a.tt:0 "Поприветствовать культ Изиды в провинции [SCOPE.sP('randomized_country_province').GetOwner.GetName]."
 dhe_isis_cult.1.t:0 "Распространение культа Изиды"
 dhe_isis_cult.1.desc:0 "В порту нашего города [SCOPE.sP('randomized_country_province').GetName] пристал египетский корабль, с которым прибыл жрец культа Изиды. Египетскую богиню почитают все больше людей, ей посвящают ритуалы и празднества, типичные для мистериальных культов греческого пантеона.\n\nВидно, что культ Изиды собирается надолго обосноваться в державе [ROOT.GetCountry.GetName] — если только мы пустим сюда культистов и позволим им проповедовать местным жителям свое учение. Впрочем, мы слышали об этом культе много хорошего... может, стоит пойти ему навстречу?"
 dhe_isis_cult.1.a:0 "Мы поможем этим жрецам обосноваться у нас."
 dhe_isis_cult.1.b:0 "В провинции [SCOPE.sP('randomized_country_province').GetName] нет места египетской богине."
 dhe_isis_cult.1.b.tt:0 "Культу Изиды запрещен вход в провинцию [SCOPE.sP('randomized_country_province').GetOwner.GetName]."
 dhe_isis_cult.2.t:0 "Изида из провинции [SCOPE.sP('randomized_country_province').GetName]"
 dhe_isis_cult.2.desc:0 "Культ Изиды распространяется все активнее и теперь начал проникать в наш город [SCOPE.sP('randomized_country_province').GetName] в провинции [SCOPE.sP('randomized_country_province').GetState.GetShortName]. Проповедники культа просят, чтобы мы помогли им укрепить позиции среди местного населения, и будут рады заплатить за нашу помощь.\n\nОткрыв город для чужеземного культа, мы рискуем подорвать влияние собственной религии. Нужно как следует подумать, стоят ли того обещанные деньги."
 dhe_isis_cult.2.a:0 "Это разумное предложение."
 dhe_isis_cult.2.b:0 "Не допустим, чтобы эти культисты испортили провинцию [SCOPE.sP('randomized_country_province').GetName]."
 dhe_isis_cult.3.t:0 "Кризис Изиды в провинции [SCOPE.sP('randomized_country_province').GetName]"
 dhe_isis_cult.3.desc:0 "Между последователями культа Изиды и жителями города [SCOPE.sP('randomized_country_province').GetName] в провинции [SCOPE.sP('randomized_country_province').GetState.GetShortName] возникли серьезные разногласия. По мере того как служители культа пытались заполучить все новых последователей, среди местных жителей зрело недовольство чрезмерной властью иноземного культа.\n\nПоследователи Изиды предложили нам деньги в обмен на помощь, наши же жители просят нас навсегда избавиться от этого культа."
 dhe_isis_cult.3.a:0 "Мы защитим последователей Изиды и поможем им."
 dhe_isis_cult.3.b:0 "Должен быть способ удовлетворить обе стороны."
