l_russian:
 become_despotic_monarchy_tribal:0 "Принять автократию"
 carthage_mercenary_overlord_desc:0 "Мы давно сотрудничаем с местными наёмными отрядами и часто обращались к ним за помощью для достижения собственных целей. В ходе многих затянувшихся войн в Сицилии они сыграли важную роль в защите наших интересов.\n\nПоскольку мы сдружились со многими командирами наёмников, мы наверняка убедим их осесть в Карфагене. Под нашим покровительством их отряды будут процветать, а в будущих конфликтах их услуги обойдутся нам дешевле."
 expand_the_campus_martius:0 "Расширение Марсова поля"
 expand_the_campus_martius_desc:0 "Марсово поле играет важную роль в подготовке наших войск и помогает воодушевить бойцов. Если расширить его, мы сможем нанимать и готовить ещё больше солдат.\n\nКроме того, мы воздвигнем новые храмы, чтобы образ поля остался в сердце всех и каждого: храмы будут вдохновлять наших воинов и придавать им сил и доблести."
 embellish_jupiter_optimus_maximus:0 "Украшение Капитолийского храма"
 embellish_jupiter_optimus_maximus_desc:0 "Капитолийский храм — центр нашей веры, что высится в центре города, на Капитолийском холме, истинный оплот нашего правления, ниспосланный богами.\n\nУкрасив и улучшив этот храм, мы заручимся любовью народа — и самих богов."
 religion_conversion_tooltip:0 "Каждый персонаж, не исповедующий новую веру, потеряет #R 20#! ед. верности."
 religion_conversion_family_tooltip:0 "Верные члены семьи правителя обратятся в новую веру."
 big_religion_in_capital_tooltip:0 "Не менее 50% свободных людей в городе [SCOPE.GetRootScope.GetCountry.GetCapital.GetName] и его землях (с #Y [SCOPE.ScriptValue('majority_of_free_men_in_capital_svalue')|0] #! группами населения, не являющимися рабами) должны исповедовать эту религию."
 heretic_high_priest_monarchy_tooltip:0 "Если [GetOffice('office_high_priest_monarchy').GetCulturalName(SCOPE.GetRootScope.GetCountry)] принимает нашу новую веру."
 heretic_high_priest_republic_tooltip:0 "Если [GetOffice('office_pontifex').GetCulturalName(SCOPE.GetRootScope.GetCountry)] принимает нашу новую веру."
 heretic_high_priest_tribe_tooltip:0 "Если [GetOffice('office_high_priest').GetCulturalName(SCOPE.GetRootScope.GetCountry)] принимает нашу новую веру."
 ruling_party_support_tooltip:0 "Фракция должна иметь как минимум #Y 50%#! поддержки в Сенате."
 convert_to_buddhist:0 "Принять буддизм"
 convert_to_buddhist_desc:0 "В наших землях быстро распространяется учение Будды. Нам пора принять эту философию и распространять её среди подданных."
 convert_to_jainism:0 "Принять джайнизм"
 convert_to_jainism_desc:0 "В наших землях и при нашем дворе быстро распространяется учение джайнизма. Пришло время принять эту философию и внедрить её в саму суть нашего государства."
 convert_to_hinduism:0 "Принять индуизм"
 convert_to_hinduism_desc:0 "Пусть Веды и древние учения старой Индии станут официальной религией нашего государства. Мы будем проповедовать индуизм при дворе и среди подданных."
 unite_the_dahae:0 "Объединить дахов"
 unite_the_dahae_desc:0 "Слишком долго племена дахов грызлись друг с другом. Мы стали разрознены и слабы, уязвимы для больших держав, что окружают нас.\nДавайте же объединим племена дахов в мощное племенное собрание — лишь тогда мы станем хозяевами своей веры."
 unite_dahae_claims_tooltip:0 "Дахия будет претендовать на провинцию #Y Парфия#!."
 hellenic_league_tooltip:0 "Все города-государства в Греции и Фессалии будут присоединены Эллинской лигой."
 pan_hellenic_league:0 "Панэллинская лига"
 pan_hellenic_league_desc:0 "Под властью Аргеадов Коринфский союз объединил все греческие города. Он должен был контролировать эти города, не позволяя вернуть им давно заслуженную независимость. Однако Союзу не удалось уничтожить идею Панэллинской лиги, которая среди прочего смогла бы гарантировать независимость Греции.\nДавайте же все объединимся и образуем Лигу, в которую войдут все свободные полисы Греции. Вместе мы станем ведущей силой эллинского мира и освободимся из-под власти царей."
 formable_not_hellenic_league_exists:0 "Эллинская лига не должна существовать к этому времени."
 reunite_alexanders_empire:0 "Заново объединить империю Александра"
 reunite_alexanders_empire_desc:0 "Слишком долго паразиты и мародёры пировали на обломках великой империи, на строительство которой Александр положил всю свою жизнь. Пора покончить с жадными до власти чужаками, узурпаторами и местными царьками: в империи Александра Македонского может быть только одна власть — власть великого эллинистического наследия, что оставил после себя Александр.\nУдержать подобную власть смогут лишь представители нашей династии: лишь семья, что чтит наследие Аргеадов."
 formable_not_argeads_exists:0 "Империя Аргеадов НЕ ДОЛЖНА существовать к этому времени."
 argead_empire_tooltip:0 "Империя Аргеадов будет претендовать на регионы: #Y Македония#!, #Y Эллада#!, #Y Фракия#!, #Y Азия#!, #Y Фригия#!, #Y Каппадокия#!, #Y Киликия#!, #Y Вифиния#!, #Y Ассирия#!, #Y Месопотамия#!, #Y Персия#!, #Y Мидия#!, #Y Гедросия#!, #Y Парфия#!, #Y Бактриана#!, #Y Ариана#!, #Y Палестина#!, #Y Сирия#!, #Y Гандхара#!, #Y Верхний Египет#! и #Y Нижний Египет#!."
 egypt_not_existing:0 "Египет не должен существовать."
 form_egypt:0 "Образовать Египет"
 form_egypt_desc:0 "Египетская цивилизация, возможно, самая древняя из всех, но земля его не свободна. Самозванцы узурпировали власть и притворяются, будто чтят старых богов. Терпеть этого нельзя. Мы должны снова объединить Верхний и Нижний Египет под властью династии, которая по-настоящему понимает и ценит наследие фараонов."
 egypt_claims_tooltip:0 "Египет будет претендовать на регионы #Y Верхний Египет#! и #Y Нижний Египет#!."
 assyria_must_not_exist:0 "Ассирия не должна существовать"
 form_assyria:0 "Образовать Ассирию"
 form_assyria_desc:0 "Прежде чем её сокрушили враги, Ассирия была центром великой империи. Давайте же снова объединимся против врагов и образуем ассирийское государство, где будут чтить старых богов и обычаи нашего народа."
 assyria_claims_tooltip:0 "Ассирия будет претендовать на регионы #Y Ассирия#! и #Y Вавилония#!."
 armenia_claims_tooltip:0 "Армения будет претендовать на регион #Y Армения#! и провинции #Y Великая Армения#!, #Y Малая Армения#!, #Y Софена#! и #Y Кордуена#!."
 armenia_must_not_exist:0 "Армения не должна существовать."
 form_armenia:0 "Образовать Армению"
 form_armenia_desc:0 "Землям Армении нужен умелый и сильный лидер. Давайте объединим армянский народ и образуем ещё более могущественную и незыблемую Армянскую империю."
 galatia_claims_tooltip:0 "Галатия будет претендовать на регионы #Y Фригия#! и #Y Каппадокия#!."
 galatia_must_not_exist:0 "Галатия не должна существовать."
 form_galatia:0 "Образовать Галатию"
 form_galatia_desc:0 "Мы сейчас находимся вдали от исконных земель нашего народа, но и эти земли хороши. Давайте создадим здесь новое государство и покажем местным народам, что умеют кельты."
 phrygia_claims_tooltip:0 "Фригия будет претендовать на регионы #Y Фригия#! и #Y Каппадокия#!."
 phrygia_must_not_exist:0 "Фригия не должна существовать."
 form_phrygia:0 "Образовать Фригию"
 form_phrygia_desc:0 "Слишком долго мы чахли под ярмом иноземных завоевателей из Греции и Персии. Фригийцам пора объединиться и основать собственное государство: мы вернём себе своё наследие и своих богов."
 pontus_claims_tooltip:0 "Понт будет претендовать на регионы #Y Вифиния#! и #Y Каппадокия#!."
 pontus_must_not_exist:0 "Понт не должен существовать."
 form_pontus:0 "Образовать Понт"
 form_pontus_desc:0 "Понт, некогда — независимое и гордое царство, стал простой сатрапией под правлением Ахеменидов, а позже, под управлением наследников Александра, сделался нейтральной территорией. Мы должны восстановить великое государство и создать новое Понтийское царство."
 macedon_claims_tooltip:0 "Македония будет претендовать на регион #Y Македония#!."
 macedon_not_existing:0 "Македония не должна существовать."
 form_macedon:0 "Образовать Македонию"
 form_macedon_desc:0 "Правители Македонии всегда благоволили сильным и способным, а не слабым и немощным. Давайте же заберём царство у тех, кто ведёт его навстречу гибели, и создадим новое, сильное македонское государство."
 dravida_claims_tooltip:0 "Дравида будет претендовать на регионы #Y Дравида#! и #Y Карната#!."
 dravida_not_existing:0 "Дравида не должна существовать."
 form_dravida:0 "Образовать Дравиду"
 form_dravida_desc:0 "Объединив народы дравидийских земель, мы сможем создать сильное государство, которое не убоится великих империй севера. Новая держава будет хранить древние традиции наших предков и защищать богатые южные земли."
 bharatavarsha_not_existing:0 "Бхарата Варша не должна существовать."
 unite_india:0 "Завладеть регионами Гандхара, Мару, Аванти, Мадхьядеша, Прачья, Дравида и Виндхья."
 form_bharatavarsha:0 "Бхарата Варша"
 form_bharatavarsha_desc:0 "Пураны говорят об объединённом субконтиненте под управлением Бхараты, земле, известной как Бхарата Варша. Нам следует стремиться к объединению всех регионов субконтинента, чтобы вновь наслаждаться стабильностью и миром."
 rebuild_corinth:0 "Сделать Коринф местной столицей"
 rebuild_corinth_desc:0 "Наши войны дорого обошлись землям Греции. Нам следует проявить великодушие, чтобы люди поверили нам. Советники считают, что именно в Коринфе лучше всего реализовать новый общественный проект."
 corinth_gets_tt:0 "#Y Коринф#!:"
 pops_to_decivilize_pop:0 "Людей племён должно быть больше, чем граждан или свободных людей."
 enshrine_social_equity:0 "Принять социальную справедливость"
 enshrine_social_equity_desc:0 "Слишком долго мы игнорировали целую половину нашего населения. Давайте же сломаем преграды былых традиций: пусть избираться на должности сможет каждый."
 abolish_social_equity:0 "Отменить социальную справедливость"
 abolish_social_equity_desc:0 "Поборники прежних традиций шепчутся в тёмных углах, бородатые старцы смотрят на нас с неодобрением. Пора прекратить свои попытки управлять по-новому."
 social_equity_tooltip:0 "Изменить политику #Y равенства полов#! повторно можно не раньше, чем через #Y 20#! лет."
 persian_claims_tooltip:0 "Персия будет претендовать на регионы #Y Персия#!, #Y Медия#!, #Y Парфия#!, #Y Ариана#!, #Y Месопотамия#!, #Y Бактриана#!, #Y Гедросия#! и #Y Ассирия#!."
 move_capital_antioch:0 "Столица Средиземноморья!"
 move_capital_antioch_desc:0 "Слишком давно законные наследники империи Александра не имели доступа к центральным землям Македонии, откуда началась история величайших завоеваний нашего народа. Плодородная Вавилония сослужила нам добрую службу, однако если мы хотим получить во власть все земли, прежде входившие в империю Александра Великого, следует восстановить связь с утерянными западными землями и заложить город, откуда мы сможем править всем Средиземноморьем."
 move_capital_antioch_claims:0 "Государство Селевкидов будет претендовать на Палестину и Сирию."
 antioch_orontes_modifier:0 "Антиохия-на-Оронте"
 desc_antioch_orontes_modifier:0 "Антиохия-на-Оронте была основана как новая столица империи Селевкидов. Она гораздо ближе к центральным македонским землям, чем старая столица в Вавилонии, кроме того, благодаря гавани она даёт доступ к торговым путям Средиземноморья."
 found_seleukia_pieria:0 "Порт для Антиохии!"
 found_seleukia_pieria_desc:0 "Всё внимание вновь обращено на побережье Средиземноморья, а столица Селевкидов переместилась в Сирию, поэтому новый крупный сирийский порт просто необходим. Давайте объединим наши ресурсы, чтобы расширить порт Селевкия Пиерия, и укрепим власть Селевкидов на западе."
 seleukia_pieria_modifier:0 "Селевкия Прибрежная"
 desc_seleukia_pieria_modifier:0 "С основанием новой столицы в Антиохии империи Селевкидов потребовался новый средиземноморский порт, который стал бы перевалочным пунктом для торговли между востоком и западом и служил бы базой для нового средиземноморского флота."
 indo_greek_decision:0 "Индо-греческое царство"
 indo_greek_decision_desc:0 "Перспектива найти на востоке новых друзей, новые державы и новые богатства приводит многих из нас к мысли, что смысла сражаться за остатки империи Александра нет. Нас ждёт слава в землях за Индом."
 convert_to_kemeticism:0 "Принять египетский пантеон"
 convert_to_kemeticism_desc:0 "Последователи Исиды стали заметной частью нашего общества, и наши люди обращаются к ним за советами в повседневной жизни. Настало время оставить наши старые традиции и окончательно принять новое учение."
 convert_to_hellenic:0 "Принять эллинский пантеон"
 convert_to_hellenic_desc:0 "В последнее время в городе [COUNTRY.GetCapital.GetName] было возведено немало храмов и святилищ, посвящённых богам греческого пантеона, и наши граждане всё чаще обращаются к их жрецам и оракулам за мудростью. Может быть, нам всем пришла пора просить у них наставлений?"
 convert_to_canaanite:0 "Принять ханаанейский пантеон"
 convert_to_canaanite_desc:0 "В городе [COUNTRY.GetCapital.GetName] всегда было немало почитателей Мелькарта, а теперь горожане всё чаще просят о помощи Баала, Астарту и других божеств. Наши прежние традиции, как кажется, остаются в прошлом, уступая место чужеземным ритуалам. Настало время и нам принять ханаанейский пантеон."
 convert_to_shamanism:0 "Принять культ Залмоксиса"
 convert_to_shamanism_desc:0 "В последние годы учение великого Залмоксиса становится всё более популярным среди нашей молодежи. Юноши следуют новым заветам, как и некоторые старейшины. Пора и всем остальным принять это учение."
 convert_to_caucasian_religion:0 "Принять пантеон Армази"
 convert_to_caucasian_religion_desc:0 "В последнее время мы слышали множество историй о мистическом Тире, истине Михра и величии Арамазда. Похоже, во всех наших старых храмах и святилищах теперь почитают пантеон Армази: наши жрецы приняли новых богов. "
 convert_to_mesopotamian_religion:0 "Принять халдейский пантеон"
 convert_to_mesopotamian_religion_desc:0 "Древние мифы и легенды об Иштар и Гильгамеше заполнили наши залы и вдохновили наших людей. Мы больше не слушаем жрецов такой религии, как [COUNTRY.GetReligion.GetName]: на смену бесполезным традициям приходят древние ритуалы вавилонян, шумеров и аккадцев."
 convert_to_armenian_religion:0 "Принять культ Халди"
 convert_to_armenian_religion_desc:0 "Наши воины первыми приняли старый культ Халди, и первая же война показала, как укрепились их боевой дух и дисциплина. Теперь остальной наш народ постепенно обращается к древней вере и начинает следовать традициям прошлого."
 convert_to_anatolian_religion:0 "Принять культ Кибелы"
 convert_to_anatolian_religion_desc:0 "Богиня-мать долгое время была лишь одним из множества почитаемых божеств. Однако теперь Кибела становится важнейшей фигурой наших обрядов, тогда как прочие боги уходят в тень."
 convert_to_druidism:0 "Принять друидизм"
 convert_to_druidism_desc:0 "Хотя официально друидизм ещё не стал нашей верой, друиды долгое время наставляли наших людей и помогали им. Может быть, пришло время избавиться от старых оков традиций и в полной мере принять друидов в наше общество?"
 convert_to_animism:0 "Принять иберийский пантеон"
 convert_to_animism_desc:0 "Пророки и оракулы Эндовелика пророчат великое будущее нашему народу, если мы примем их религию. Иберийские боги уже почитаются многими, и придворные чиновники советуют принять новую веру всем."
 convert_to_judaism:0 "Принять иудаизм"
 convert_to_judaism_desc:0 "В последнее время мы видим, что немалая часть нашего народа начала поклоняться единому иудейскому богу. Сила этой веры такова, что убедила многих представителей низшего класса обратить свои молитвы к новому богу, отвернувшись от сонма других богов."
 convert_to_zoroastrianism:0 "Принять зороастризм"
 convert_to_zoroastrianism_desc:0 "С тех пор как Заратустре была дарована мудрость Ахурамазды, новое учение постепенно проникало в персидское общество. Истинность и неотъемлемая доброжелательность этого верования распространяются по державе [COUNTRY.GetName]. Кажется, нам всем пора ступить на единый путь."
 convert_to_berber_religion:0 "Принять мегалитические верования"
 convert_to_berber_religion_desc:0 "Мегалитические обряды сложились из верований многих народов, и теперь мы принимаем их — и вносим свои изменения. Наши люди стали перенимать верования пустынных племён и теперь относятся к Нанна-Талу и Шахедед с таким же почтением, как и к нашим исконным божествам."
 convert_to_germanic_religion:0 "Принять культ Туисто"
 convert_to_germanic_religion_desc:0 "Наши люди начали обращаться к учению жрецов бога Туисто и традициям германского народа, чтобы найти ответы на важнейшие вопросы. Новые обычаи казались странными и воинственными, но принимая их, наш народ сумел их изменить по собственному разумению."
 convert_to_indo_iranian_religion:0 "Принять семибожье"
 convert_to_indo_iranian_religion_desc:0 "В последнее время в наших землях набирают популярность семь богов скифских всадников. Так, в честь древнего Таргитая построены большие храмы, а наши люди, подобно самим скифам, стали почитать его прародителем."
 convert_to_arabian_pantheon:0 "Принять аравийский пантеон"
 convert_to_arabian_pantheon_desc:0 "Благодаря караванам жители такой державы, как [COUNTRY.GetName], познакомились с аравийским пантеоном и теперь ожидают наставлений от оракула Талаба или просят Манат повернуть колесо судьбы в их пользу. Пора нам всем последовать их примеру."
 convert_to_eastern_animism:0 "Принять ритуализм"
 convert_to_eastern_animism_desc:0 "Анимизм и поклонение духам предков стали в последнее время важной частью [COUNTRY.GetAdjective]их религиозных церемоний: старые обряды и [COUNTRY.GetReligion.GetName] существуют бок о бок. Возможно, пора отказаться от некоторых новейших веяний и вернуться к нашему древнему наследию?"
 convert_to_bon_religion:0 "Принять бон"
 convert_to_bon_religion_desc:0 "Идеи тибетской религии бон быстро прижились в такой державе, как [COUNTRY.GetName]: наш народ привык к новым молитвам быстрее, чем этого можно было ожидать. Может быть, [COUNTRY.GetReligion.GetName] — это уже удел прошлого и нам стоит полностью посвятить себя ритуалам бон?"
 convert_to_matrist_religion:0 "Принять культ Богини-матери"
 convert_to_matrist_religion_desc:0 "Эстийская Богиня-мать прижилась в такой державе, как [COUNTRY.GetName], и теперь у наших людей появились ритуалы, что славят её: старые обряды уходят в прошлое. Пора нам всем обратиться к новому божеству."
