l_russian:
 PROV1:0 "Рим"
 PROV203:0 "Асклепий"
 PROV204:0 "Экоброгида"
 PROV205:0 "Зела"
 PROV206:0 "Эгиал"
 PROV207:0 "Гераклея Понтийская"
 PROV208:0 "Сесам"
 PROV209:0 "Тией"
 PROV210:0 "Дадибра"
 PROV211:0 "Зипорея"
 PROV212:0 "Парфения"
 PROV213:0 "Сора"
 PROV214:0 "Прозилеммена"
 PROV215:0 "Кратея"
 PROV216:0 "Зейта"
 PROV217:0 "Антониополь"
 PROV218:0 "Анадината"
 PROV219:0 "Вифиний"
 PROV220:0 "Агапимени Одос"
 PROV221:0 "Артикнос"
 PROV222:0 "Блукий"
 PROV223:0 "Легна"
 PROV224:0 "Гордиукома"
 PROV225:0 "Лагания"
 PROV226:0 "Мниз"
 PROV227:0 "Трокна"
 PROV228:0 "Андрона"
 PROV229:0 "Орбана"
 PROV230:0 "Сельмена"
 PROV231:0 "Икотарий"
 PROV232:0 "Бонита"
 PROV233:0 "Киер"
 PROV234:0 "Хела"
 PROV235:0 "Трикомия"
 PROV236:0 "Тарс"
 PROV237:0 "Эмбол"
 PROV238:0 "Диосполь"
 PROV239:0 "Псиллий"
 PROV240:0 "Халкидон"
 PROV241:0 "Ребас"
 PROV242:0 "Либисса"
 PROV243:0 "Астак"
 PROV244:0 "Никея"
 PROV245:0 "Киос"
 PROV246:0 "Стробил"
 PROV247:0 "Пифополь"
 PROV248:0 "Мирлея"
 PROV249:0 "Икот"
 PROV250:0 "Эльге"
 PROV251:0 "Милетополь"
 PROV252:0 "Кизик"
 PROV253:0 "Даскилий"
 PROV254:0 "Зелия"
 PROV255:0 "Парий"
 PROV256:0 "Лампсак"
 PROV257:0 "Илий"
 PROV258:0 "Полимедий"
 PROV259:0 "Асс"
 PROV260:0 "Кебрен"
 PROV261:0 "Абид"
 PROV262:0 "Колоны"
 PROV263:0 "Наксос"
 PROV264:0 "Барида"
 PROV265:0 "Аргиза"
 PROV266:0 "Родос"
 PROV267:0 "Кала Певка"
 PROV268:0 "Скепсий"
 PROV269:0 "Перихараксий"
 PROV270:0 "Лемнос"
 PROV271:0 "Аттея"
 PROV272:0 "Гиера"
 PROV273:0 "Инда"
 PROV274:0 "Фиатира"
 PROV275:0 "Гермокапелея"
 PROV276:0 "Аполлония Лидийская"
 PROV277:0 "Скирос"
 PROV278:0 "Пергам"
 PROV279:0 "Элея"
 PROV280:0 "Карпатос"
 PROV281:0 "Адрамиттий"
 PROV282:0 "Гераклея Эольская"
 PROV283:0 "Митилена"
 PROV284:0 "Эрес"
 PROV285:0 "Кима"
 PROV286:0 "Хиос"
 PROV287:0 "Смирна"
 PROV288:0 "Теос"
 PROV289:0 "Эрифра"
 PROV290:0 "Эфес"
 PROV291:0 "Колофон"
 PROV292:0 "Сарды"
 PROV293:0 "Милукома"
 PROV294:0 "Лариса Ионийская"
 PROV295:0 "Гипепа"
 PROV296:0 "Магнесия"
 PROV297:0 "Имброс"
 PROV298:0 "Эги"
 PROV299:0 "Мебоза"
 PROV300:0 "Меония"
 PROV301:0 "Силанд"
 PROV302:0 "Кады"
 PROV303:0 "Синаос"
 PROV304:0 "Гисса"
 PROV305:0 "Поротта"
 PROV306:0 "Арианд"
 PROV307:0 "Багий"
 PROV308:0 "Блаунд"
 PROV309:0 "Акмония"
 PROV310:0 "Лерос"
 PROV311:0 "Дионисополь"
 PROV312:0 "Аппия"
 PROV313:0 "Малий"
 PROV314:0 "Наколея"
 PROV315:0 "Дорилей"
 PROV316:0 "Медей"
 PROV317:0 "Котиаей"
 PROV318:0 "Мирос"
 PROV319:0 "Эзаны"
 PROV320:0 "Адриания"
 PROV321:0 "Адрианы"
 PROV322:0 "Ламуния"
 PROV323:0 "Саркотила"
 PROV324:0 "Отроя"
 PROV325:0 "Кабия"
 PROV326:0 "Модра"
 PROV327:0 "Ока"
 PROV328:0 "Оркист"
 PROV329:0 "Милия"
 PROV330:0 "Карпасия"
 PROV331:0 "Саламин"
 PROV332:0 "Китий"
 PROV333:0 "Солы"
 PROV334:0 "Пафос"
 PROV335:0 "Лапаф"
 PROV336:0 "Тамасс"
 PROV337:0 "Адриануферы"
 PROV338:0 "Амафунт"
 PROV339:0 "Себаста"
 PROV340:0 "Тургалий"
 PROV341:0 "Филия"
 PROV342:0 "Сальмидесс"
 PROV343:0 "Авлеутех"
 PROV344:0 "Прес"
 PROV345:0 "Селимбрия"
 PROV346:0 "Перинф"
 PROV347:0 "Бизанфа"
 PROV348:0 "Бергула"
 PROV349:0 "Сест"
 PROV350:0 "Лисимахия"
 PROV351:0 "Рифимна"
 PROV352:0 "Орны"
 PROV353:0 "Кипсела"
 PROV354:0 "Энос"
 PROV355:0 "Иерапетра"
 PROV356:0 "Тасос"
 PROV357:0 "Сала"
 PROV358:0 "Кносс"
 PROV359:0 "Ликт"
 PROV360:0 "Порсула"
 PROV361:0 "Гортина"
 PROV362:0 "Абдера"
 PROV363:0 "Неаполь Фракийский"
 PROV364:0 "Филиппы"
 PROV365:0 "Амфиполь"
 PROV366:0 "Трагил"
 PROV367:0 "Кидония"
 PROV368:0 "Полиррения"
 PROV369:0 "Сирра"
 PROV370:0 "Тарра"
 PROV371:0 "Евпория"
 PROV372:0 "Корион"
 PROV373:0 "Фессалоникия"
 PROV374:0 "Калиндоя"
 PROV375:0 "Аморгос"
 PROV376:0 "Потидея"
 PROV377:0 "Аканф"
 PROV378:0 "Торона"
 PROV379:0 "Пелла"
 PROV380:0 "Дион"
 PROV381:0 "Бероя"
 PROV382:0 "Эдесса"
 PROV383:0 "Европ"
 PROV384:0 "Гортиний"
 PROV385:0 "Тавриана"
 PROV386:0 "Ассер"
 PROV387:0 "Иос"
 PROV388:0 "Гонны"
 PROV389:0 "Ларисса"
 PROV390:0 "Феры"
 PROV391:0 "Деметриада"
 PROV392:0 "Касфанея"
 PROV393:0 "Пелагония"
 PROV394:0 "Фарсал"
 PROV395:0 "Пиалея"
 PROV396:0 "Пелинна"
 PROV397:0 "Стоби"
 PROV398:0 "Неа Галос"
 PROV399:0 "Ламия"
 PROV400:0 "Элимия"
 PROV401:0 "Гипата"
 PROV402:0 "Опунт"
 PROV403:0 "Гистиея"
 PROV404:0 "Олооссон"
 PROV405:0 "Стуберра"
 PROV406:0 "Анфедон"
 PROV407:0 "Халкида"
 PROV408:0 "Арниса"
 PROV409:0 "Карист"
 PROV410:0 "Эхалия Эвбейская"
 PROV411:0 "Гераклея Линкестис"
 PROV412:0 "Лихнид"
 PROV413:0 "Ороп"
 PROV414:0 "Кирпара"
 PROV415:0 "Эпидамн"
 PROV416:0 "Афины"
 PROV417:0 "Мегара"
 PROV418:0 "Коринф"
 PROV419:0 "Гитана"
 PROV420:0 "Пепареф"
 PROV421:0 "Финика"
 PROV422:0 "Аполлония"
 PROV423:0 "Орхомен"
 PROV424:0 "Дельфы"
 PROV425:0 "Додона"
 PROV426:0 "Фивы"
 PROV427:0 "Спарта"
 PROV428:0 "Ахея"
 PROV429:0 "Эпидавр Лимера"
 PROV430:0 "Гифий"
 PROV431:0 "Мессена"
 PROV432:0 "Мофона"
 PROV433:0 "Лепрей"
 PROV434:0 "Патры"
 PROV435:0 "Герея"
 PROV436:0 "Мегалополь"
 PROV437:0 "Сериф"
 PROV438:0 "Мантинея"
 PROV439:0 "Олимпия"
 PROV440:0 "Аргос"
 PROV441:0 "Эпидавр"
 PROV442:0 "Эгина"
 PROV443:0 "Кифнос"
 PROV444:0 "Эйон"
 PROV445:0 "Дима"
 PROV446:0 "Элида"
 PROV447:0 "Сирос"
 PROV448:0 "Стимфалия"
 PROV449:0 "Клейтор"
 PROV450:0 "Кифанта"
 PROV451:0 "Трезен"
 PROV452:0 "Тенос"
 PROV453:0 "Тапосирис"
 PROV454:0 "Фера"
 PROV455:0 "Дималей"
 PROV456:0 "Фермон"
 PROV457:0 "Навпакт"
 PROV458:0 "Халей"
 PROV459:0 "Лефкас"
 PROV460:0 "Закинф"
 PROV461:0 "Кефалония"
 PROV462:0 "Стратос"
 PROV463:0 "Фиррей"
 PROV464:0 "Кассопа"
 PROV465:0 "Амбракия"
 PROV466:0 "Эхалия Этолийская"
 PROV467:0 "Орик"
 PROV468:0 "Феспии"
 PROV469:0 "Фавмаки"
 PROV470:0 "Керкира"
 PROV471:0 "Кифера"
 PROV472:0 "Кея"
 PROV473:0 "Левктрон"
 PROV474:0 "Омфалий"
 PROV475:0 "Гераклея Этолийская"
 PROV476:0 "Пассарон"
 PROV477:0 "Сердика"
 PROV478:0 "Севтополь"
 PROV479:0 "Кабила"
 PROV480:0 "Месембрия"
 PROV481:0 "Анхиал"
 PROV482:0 "Аполлония Понтийская"
 PROV483:0 "Артал"
 PROV484:0 "Берея"
 PROV485:0 "Филиппополь"
 PROV486:0 "Диоклетианополь"
 PROV487:0 "Бессапара"
 PROV488:0 "Пистир"
 PROV489:0 "Ника"
 PROV490:0 "Плотинополь"
 PROV491:0 "Бурдепа"
 PROV492:0 "Дафабы"
 PROV493:0 "Перперакий"
 PROV494:0 "Орей"
 PROV495:0 "Тарподиз"
 PROV496:0 "Палеокастро"
 PROV497:0 "Гераклея Синтика"
 PROV498:0 "Скаптопара"
 PROV499:0 "Спинопара"
 PROV500:0 "Мемфис"
 PROV501:0 "Гелиополь"
 PROV502:0 "Героонполь"
 PROV503:0 "Бубастис"
 PROV504:0 "Леонтополь"
 PROV505:0 "Клисма"
 PROV506:0 "Клеопатрида"
 PROV507:0 "Леонтополис"
 PROV508:0 "Танис"
 PROV509:0 "Пелусий"
 PROV510:0 "Дафна"
 PROV511:0 "Факусса"
 PROV512:0 "Летополь"
 PROV513:0 "Африбис"
 PROV514:0 "Никия"
 PROV515:0 "Навкратис"
 PROV516:0 "Александрия"
 PROV517:0 "Гермополь Малый"
 PROV518:0 "Бут"
 PROV519:0 "Саис"
 PROV520:0 "Ксоис"
 PROV521:0 "Себеннит"
 PROV522:0 "Диосполь Като"
 PROV523:0 "Пахнемунис"
 PROV524:0 "Фарбетит"
 PROV525:0 "Сила"
 PROV526:0 "Онуфис Ано"
 PROV527:0 "Атарбехида-Афродитополь"
 PROV528:0 "Исией"
 PROV529:0 "Канопа"
 PROV530:0 "Больбитина"
 PROV531:0 "Псенемфея"
 PROV532:0 "Хереон"
 PROV533:0 "Хеммис"
 PROV534:0 "Мендес"
 PROV535:0 "Остракина"
 PROV536:0 "Вавилон"
 PROV537:0 "Панарахтида"
 PROV538:0 "Афродитополь"
 PROV539:0 "Крокодилополь"
 PROV540:0 "Дионисиада"
 PROV541:0 "Каранис"
 PROV542:0 "Анкиронполь"
 PROV543:0 "Нилополь"
 PROV544:0 "Гераклеополь"
 PROV545:0 "Оксиринх"
 PROV546:0 "Кинополь"
 PROV547:0 "Хизис"
 PROV548:0 "Алабастрополь"
 PROV549:0 "Гермополь Великий"
 PROV550:0 "Финис"
 PROV551:0 "Беса"
 PROV552:0 "Куссы"
 PROV553:0 "Ликополь"
 PROV554:0 "Мойры"
 PROV555:0 "Гипсела"
 PROV556:0 "Антеополь"
 PROV557:0 "Панополь"
 PROV558:0 "Трифион"
 PROV559:0 "Птолемаида Фиваидская"
 PROV560:0 "Тинис"
 PROV561:0 "Полибиана"
 PROV562:0 "Диосполь Малый"
 PROV563:0 "Тентира"
 PROV564:0 "Кенеполь"
 PROV565:0 "Гузза"
 PROV566:0 "Копт"
 PROV567:0 "Аполлонополь Малый"
 PROV568:0 "Петемоут"
 PROV569:0 "Диосполь Великий"
 PROV570:0 "Мемнония"
 PROV571:0 "Теркифида"
 PROV572:0 "Гермонфида"
 PROV573:0 "Пафирида"
 PROV574:0 "Латополь"
 PROV575:0 "Элефиополь"
 PROV576:0 "Аполлонополь Великий"
 PROV577:0 "Омбы"
 PROV578:0 "Дункаш"
 PROV579:0 "Персу"
 PROV580:0 "Миос Гормос"
 PROV581:0 "Семна"
 PROV582:0 "Сикдит"
 PROV583:0 "Береника"
 PROV584:0 "Старая Гидревма"
 PROV585:0 "Лахами"
 PROV586:0 "Суккари"
 PROV587:0 "Нехесия"
 PROV588:0 "Аристонида"
 PROV589:0 "Фалакр"
 PROV590:0 "Новая Гидревма"
 PROV591:0 "Сиена"
 PROV592:0 "Тальмис"
 PROV593:0 "Псельхис"
 PROV594:0 "Тахампсо"
 PROV595:0 "Кортия"
 PROV596:0 "Арам"
 PROV597:0 "Тена"
 PROV598:0 "Премис"
 PROV599:0 "Камбус"
 PROV600:0 "Пахора"
 PROV601:0 "Серра"
 PROV602:0 "Тамания"
 PROV603:0 "Боон"
 PROV604:0 "Семна Нубийская"
 PROV605:0 "Ноа"
 PROV606:0 "Сея"
 PROV607:0 "Гуго"
 PROV608:0 "Пароя"
 PROV609:0 "Асина"
 PROV610:0 "Прумма"
 PROV611:0 "Орс"
 PROV612:0 "Дирела"
 PROV613:0 "Патигга"
 PROV614:0 "Багада"
 PROV615:0 "Паго"
 PROV616:0 "Мулон"
 PROV617:0 "Бреунт"
 PROV618:0 "Урбий"
 PROV619:0 "Сегаса"
 PROV620:0 "Аркас"
 PROV621:0 "Тергенд"
 PROV622:0 "Замнес"
 PROV623:0 "Думуна"
 PROV624:0 "Мамбиль"
 PROV625:0 "Корт"
 PROV626:0 "Напата"
 PROV627:0 "Марру"
 PROV628:0 "Алана"
 PROV629:0 "Санкола"
 PROV630:0 "Скамм"
 PROV631:0 "Гора"
 PROV632:0 "Абала"
 PROV633:0 "Друка"
 PROV634:0 "Дару"
 PROV635:0 "Галим"
 PROV636:0 "Сесерем"
 PROV637:0 "Малло"
 PROV638:0 "Саколха"
 PROV639:0 "Таду"
 PROV640:0 "Эпис"
 PROV641:0 "Мероэ"
 PROV642:0 "Сумма"
 PROV643:0 "Араба"
 PROV644:0 "Нака"
 PROV645:0 "Кургус"
 PROV646:0 "Четвертый порог Нила"
 PROV647:0 "Квей"
 PROV648:0 "Геннесар"
 PROV649:0 "Ликабетт-Порфирит"
 PROV650:0 "Дрепан"
 PROV651:0 "Сумита"
 PROV652:0 "Героополисский залив"
 PROV653:0 "Арабский пролив"
 PROV654:0 "Арабский пролив"
 PROV655:0 "Серапий"
 PROV656:0 "Риноколура"
 PROV657:0 "Битилий"
 PROV658:0 "Рафия"
 PROV659:0 "Газа"
 PROV660:0 "Ашкелон"
 PROV661:0 "Ашдод"
 PROV662:0 "Иамния"
 PROV663:0 "Иоппа"
 PROV664:0 "Аполлония Палестинская"
 PROV665:0 "Башня Стратона"
 PROV666:0 "Сикаминополь"
 PROV667:0 "Дора"
 PROV668:0 "Буколополь"
 PROV669:0 "Джеллемех"
 PROV670:0 "Птолемаида"
 PROV671:0 "Кефар Шуни"
 PROV672:0 "Изреэль"
 PROV673:0 "Скифополь"
 PROV674:0 "Филотера"
 PROV675:0 "Пелла"
 PROV676:0 "Салим"
 PROV677:0 "Азохида"
 PROV678:0 "Нарбата"
 PROV679:0 "Самария"
 PROV680:0 "Сихем"
 PROV681:0 "Харакмоба"
 PROV682:0 "Антипатрида"
 PROV683:0 "Эфраим"
 PROV684:0 "Иерихон"
 PROV685:0 "Лидда"
 PROV686:0 "Эммаус"
 PROV687:0 "Иерусалим"
 PROV688:0 "Текоя"
 PROV689:0 "Бейтар"
 PROV690:0 "Мариса"
 PROV691:0 "Хеврон"
 PROV692:0 "Адора"
 PROV693:0 "Тала"
 PROV694:0 "Маон"
 PROV695:0 "Элуса"
 PROV696:0 "Бетомолахон"
 PROV697:0 "Нессана"
 PROV698:0 "Собата"
 PROV699:0 "Эбода"
 PROV700:0 "Мампсис"
 PROV701:0 "Мегары"
 PROV702:0 "Кусейма"
 PROV703:0 "Гипсария"
 PROV704:0 "Элана"
 PROV705:0 "Сабках"
 PROV706:0 "Боссия"
 PROV707:0 "Ариелдела"
 PROV708:0 "Калгуя"
 PROV709:0 "Толоха"
 PROV710:0 "Цоара"
 PROV711:0 "Масада"
 PROV712:0 "Ароя"
 PROV713:0 "Ливиада"
 PROV714:0 "Тир"
 PROV715:0 "Гадара Иудейская"
 PROV716:0 "Есевон"
 PROV717:0 "Мадаба"
 PROV718:0 "Раббат-Аммон"
 PROV719:0 "Акраба"
 PROV720:0 "Асофон"
 PROV721:0 "Гераса"
 PROV722:0 "Гадара"
 PROV723:0 "Гиппос"
 PROV724:0 "Анкала"
 PROV725:0 "Макна"
 PROV726:0 "Мадиама"
 PROV727:0 "Арамава"
 PROV728:0 "Авара"
 PROV729:0 "Петра"
 PROV730:0 "Адру"
 PROV731:0 "Мхай"
 PROV732:0 "Адраха"
 PROV733:0 "Абила в Десятиградии"
 PROV734:0 "Бостра"
 PROV735:0 "Канафа"
 PROV736:0 "Мофана"
 PROV737:0 "Рафон"
 PROV738:0 "Макед"
 PROV739:0 "Карная"
 PROV740:0 "Дан"
 PROV741:0 "Ийон"
 PROV742:0 "Кадаса"
 PROV743:0 "Тир"
 PROV744:0 "Хаммон"
 PROV745:0 "Галиль"
 PROV746:0 "Сарепта"
 PROV747:0 "Сидон"
 PROV748:0 "Берит"
 PROV749:0 "Брохы"
 PROV750:0 "Дамаск"
 PROV751:0 "Халибон"
 PROV752:0 "Герра"
 PROV753:0 "Зенополь"
 PROV754:0 "Пальмира"
 PROV755:0 "Вериарака"
 PROV756:0 "Кунна"
 PROV757:0 "Оневафа"
 PROV758:0 "Валлис Альба"
 PROV759:0 "Фелсей"
 PROV760:0 "Иабруда"
 PROV761:0 "Трипарадис"
 PROV762:0 "Конна"
 PROV763:0 "Гелиополь"
 PROV764:0 "Халкида Ливанская"
 PROV765:0 "Берофа"
 PROV766:0 "Библ"
 PROV767:0 "Ботрис"
 PROV768:0 "Ливанские горы"
 PROV769:0 "Триполи"
 PROV770:0 "Кара"
 PROV771:0 "Арка"
 PROV772:0 "Кабиоза"
 PROV773:0 "Викат"
 PROV774:0 "Эмеса"
 PROV775:0 "Гелиарамия"
 PROV776:0 "Атера"
 PROV777:0 "Амафа"
 PROV778:0 "Мариамма"
 PROV779:0 "Арад"
 PROV780:0 "Карна"
 PROV781:0 "Ларисса"
 PROV782:0 "Фарнака"
 PROV783:0 "Баргильские горы"
 PROV784:0 "Сигон"
 PROV785:0 "Шукси"
 PROV786:0 "Левка Акта"
 PROV787:0 "Лисиада"
 PROV788:0 "Посидий"
 PROV789:0 "Палеополис"
 PROV790:0 "Антигония"
 PROV791:0 "Даркус"
 PROV792:0 "Трапезонт"
 PROV793:0 "Гиндар"
 PROV794:0 "Кир"
 PROV795:0 "Мириандр"
 PROV796:0 "Исс"
 PROV797:0 "Халкида-на-Беле"
 PROV798:0 "Хадад"
 PROV799:0 "Оккараба"
 PROV800:0 "Генны"
 PROV801:0 "Гелела"
 PROV802:0 "Ориза"
 PROV803:0 "Ресафа"
 PROV804:0 "Никефорий"
 PROV805:0 "Амфиполь Сирийский"
 PROV806:0 "Бирфа"
 PROV807:0 "Бамбика"
 PROV808:0 "Батна"
 PROV809:0 "Европ"
 PROV810:0 "Зевгма"
 PROV811:0 "Долиха"
 PROV812:0 "Алиарея"
 PROV813:0 "Анасарфа"
 PROV814:0 "Барбалисс"
 PROV815:0 "Сериана"
 PROV816:0 "Феледа"
 PROV817:0 "Батны"
 PROV818:0 "Адма"
 PROV819:0 "Карры"
 PROV820:0 "Сахлала"
 PROV821:0 "Ресейна"
 PROV822:0 "Набада"
 PROV823:0 "Шадиканни"
 PROV824:0 "Катну"
 PROV825:0 "Магдалу"
 PROV826:0 "Аппадана"
 PROV827:0 "Цирцесий"
 PROV828:0 "Терка"
 PROV829:0 "Дура"
 PROV830:0 "Нисибин"
 PROV831:0 "Сингара"
 PROV832:0 "Таиду"
 PROV833:0 "Пинака"
 PROV834:0 "Саталка"
 PROV835:0 "Хатра"
 PROV836:0 "Самосата"
 PROV837:0 "Тарса"
 PROV838:0 "Тилле"
 PROV839:0 "Нимфей"
 PROV840:0 "Арсамея"
 PROV841:0 "Аркафиокерта"
 PROV842:0 "Тигранакерт"
 PROV843:0 "Хломарон"
 PROV844:0 "Антиохия Аравийская"
 PROV845:0 "Мартирополь"
 PROV846:0 "Кимиза"
 PROV847:0 "Даусара"
 PROV848:0 "Алагма"
 PROV849:0 "Баллафа"
 PROV850:0 "Амсаредди"
 PROV851:0 "Амматфа"
 PROV852:0 "Хаония"
 PROV853:0 "Ихны"
 PROV854:0 "Ганаба"
 PROV855:0 "Сифрий"
 PROV856:0 "Сардева"
 PROV857:0 "Сита"
 PROV858:0 "Арсамосата"
 PROV859:0 "Колхида"
 PROV860:0 "Анзитена"
 PROV861:0 "Апку"
 PROV862:0 "Ниневия"
 PROV863:0 "Балад"
 PROV864:0 "Дур-Шаррукин"
 PROV865:0 "Гавгамелы"
 PROV866:0 "Бевиан"
 PROV867:0 "Шапур"
 PROV868:0 "Дахир"
 PROV869:0 "Рискеф"
 PROV870:0 "Нисибинские горы"
 PROV871:0 "Марде"
 PROV872:0 "Аммодий"
 PROV873:0 "Хассу"
 PROV874:0 "Фаннурий"
 PROV875:0 "Загуры"
 PROV876:0 "Карасс"
 PROV877:0 "Барсалий"
 PROV878:0 "Арсиния"
 PROV879:0 "Барбара"
 PROV880:0 "Арбела"
 PROV881:0 "Килизу"
 PROV882:0 "Кальху"
 PROV883:0 "Ашур"
 PROV884:0 "Аррапха"
 PROV885:0 "Лашом"
 PROV886:0 "Нузи"
 PROV887:0 "Арзухин"
 PROV888:0 "Лехир"
 PROV889:0 "Ме-Турнет"
 PROV890:0 "Телль-Губба"
 PROV891:0 "Тикрит"
 PROV892:0 "Дура"
