l_russian:
 war_council.1.t:0 "Збори військової ради"
 war_council_1_and_2_agree:0 "\n\nУ жорсткій конкуренції наші радники парирують і контратакують, ведучи словесні поєдинки, перед якими померкли б навіть змагання древніх бардів. Через кілька годин стає ясно, що [SCOPE.sChar('guard').GetPraenomen] і [SCOPE.sChar('marshal').GetPraenomen] радять звернути увагу на [SCOPE.sC('target_country_1').GetAdjective]і землі як на мету нашої наступної кампанії. Однак [SCOPE.sChar('third_party').GetPraenomen] вважає, що [ROOT.GetCountry.GetAdjective]е правління більше підходить для такої держави, як [SCOPE.sC('target_country_3').GetName]."
 war_council_1_and_3_agree:0 "\n\nПротягом вечора [SCOPE.sChar('marshal').GetPraenomen] все гучніше висловлює думку, що держава [SCOPE.sC('target_country_1').GetName] повинна зазнати на собі міць [ROOT.GetCountry.GetAdjective]ої армії, на подив багатьох, [SCOPE.sChar('third_party').GetPraenomen] починає з цим погоджуватися. [SCOPE.sChar('guard').GetPraenomen] вперто продовжує просувати свою позицію і наполягає на тому, що держава [SCOPE.sC('target_country_2').GetName] буквально чекає завоювання, про що свідчать повідомлення розгалуженої мережі [SCOPE.sC('target_country_2').GetAdjective]их інформаторів."
 war_council_2_and_3_agree:0 "\n\nУ міру того як з обох сторін висуваються то цікаві, то явно помилкові доводи, справа зрушується з мертвої точки. [SCOPE.sChar('guard').GetPraenomen] і [SCOPE.sChar('third_party').GetPreanomen] згодні в необхідності усунення [SCOPE.sC('target_country_2').GetAdjective]ої загрози, а [SCOPE.sChar('marshal').GetPraenomen] вважає, що краще зосередити увагу на родючих землях такої держави, як [SCOPE.sC('target_country_1').GetName]. Рішення про подальший план дій повинні прийняти ми."
 war_council_all_3_different_1:0 "\n\nПопри велику кількість випитого і жаркий обмін думками, сперечальникам так і не вдається дійти згоди щодо мети нашої майбутньої експансії. [SCOPE.sChar('marshal').GetPraenomen] несамовито вірує в те, що [SCOPE.sC('target_country_1').GetAdjective]а провінція такої держави, як [SCOPE.sP('target_province_1').GetState.GetShortName], по праву повинна належати нам. Однак [SCOPE.sChar('guard').GetPraenomen] і [SCOPE.sChar('third_party').GetPraenomen] вважають, що ми повинні зосередитися на таких країнах, як [SCOPE.sC('target_country_2').GetName] і [SCOPE.sC('target_country_3').GetName] відповідно."
 war_council_all_3_different_2:0 "\n\nПовітря заповнюють уїдливі образи, котрі наші радники парирують і відбивають з неперевершеною майстерністю, демонструючи свою звитягу в політичних баталіях. В результаті ми не змогли прийти до компромісу і залишилися з трьома варіантами. [SCOPE.sChar('marshal').GetPraenomen] виступає за війну з державою [SCOPE.sC('target_country_1').GetName], [SCOPE.sChar('guard').GetPraenomen] вважає, що найкращою жертвою стане [SCOPE.sC('target_country_2').GetName], а [SCOPE.sChar('third_party').GetPraenomen] ратує за відвоювання земель у держави [SCOPE.sC('target_country_3').GetName].\n\nПравильний вибір потрібно зробити нам."
 war_council_target_province_1_area_tt:0 "[SCOPE.GetRootScope.GetCountry.GetName] претендує на #Y [SCOPE.sP('target_province_1').GetOwner.GetAdjective]у#! провінцію #Y [SCOPE.sP('target_province_1').GetArea.GetName]#!."
 war_council_target_province_2_area_tt:0 "[SCOPE.GetRootScope.GetCountry.GetName] претендує на #Y [SCOPE.sP('target_province_2').GetOwner.GetAdjective]у#! провінцію #Y [SCOPE.sP('target_province_2').GetArea.GetName]#!."
 war_council_target_province_3_area_tt:0 "[SCOPE.GetRootScope.GetCountry.GetName] претендує на #Y [SCOPE.sP('target_province_3').GetOwner.GetAdjective]у#! провінцію #Y [SCOPE.sP('target_province_3').GetArea.GetName]#!."
 war_council_one_and_two:0 "[SCOPE.sChar('marshal').GetPraenomen] і [SCOPE.sChar('guard').GetPraenomen] мають рацію, тому ми будемо воювати з такою державою, як [SCOPE.sP('target_province_1').GetOwner.GetName]."
 war_council_one_and_three:0 "[SCOPE.sChar('marshal').GetPraenomen] і [SCOPE.sChar('third_party').GetPraenomen] наводять вагомі аргументи, тому ми почнемо похід на таку державу, як [SCOPE.sC('target_country_1').GetName]."
 war_council_two_and_three:0 "[SCOPE.sChar('guard').GetPraenomen] і [SCOPE.sChar('third_party').GetPraenomen] мають рацію. Потрібно пред'явити претензії на [SCOPE.sC('target_country_2').GetAdjective]і землі."
 war_council_one:0 "[SCOPE.sChar('marshal').GetPraenomen] знає істину. Нам потрібно готуватися до війни з такою державою, як [SCOPE.sC('target_country_1').GetName]."
 war_council_two:0 "Ми і [SCOPE.sChar('guard').GetPraenomen] — союзники. Готуйте армії до походу на таку державу, як [SCOPE.sC('target_country_2').GetName]."
 war_council_three:0 "[SCOPE.sChar('third_party').GetPraenomen] говорить ясно: ми повинні завоювати таку державу, як [SCOPE.sP('target_province_3').GetOwner.GetName]."
 war_council_all_3_agree:0 "Ми дійшли згоди."
 war_council_nope:0 "Купка дурнів!"
 not_summoned_war_council_recently_tt:0 "Ви не можете знову скликати #Y військову раду#! до [SCOPE.GetRootScope.GetCountry.GetVariableExpiry('summoned_war_council')|Y]."
 summon_war_council_title_tt:0 "#T Скликати військову раду#!"
 summon_war_council_desc_tt:0 "#TF Закликає ваших найближчих радників, щоб визначити правильний напрямок для нашого наступного завоювання, і дає претензії на сусідню провінцію терміном на 10 років."
 war_council.2.t:0 "Сенатські коміції"
 war_council_assembles_republic:0 "Двері залу Сенату давно вже закрилися, але чотири людини досі жваво обговорюють питання майбутнього військового походу.\n\nЦе [SCOPE.sChar('marshal').GetPraenomen], [SCOPE.sChar('marshal').Custom('get_council_1_descriptor')], [SCOPE.sChar('guard').GetPraenomen], [SCOPE.sChar('guard').Custom('get_council_2_descriptor')], і [SCOPE.sChar('third_party').GetPraenomen], [SCOPE.sChar('third_party').Custom('get_council_3_descriptor')], і кожен з них вважає свій план найкращим."
 war_council_assembles_republic_2:0 "Овіяні славою арки столиці [ROOT.GetCountry.GetCapital.GetName] сприяють роздумам про стратегію. Головні уми республіки: [SCOPE.sChar('marshal').GetPraenomen], [SCOPE.sChar('marshal').Custom('get_council_1_descriptor')], [SCOPE.sChar('guard').GetPraenomen], [SCOPE.sChar('guard').Custom('get_council_2_descriptor')], і [SCOPE.sChar('third_party').GetPraenomen], [SCOPE.sChar('third_party').Custom('get_council_3_descriptor')], — планують прийдешні військові походи."
 war_council_all_three_agree_republic:0 "\n\nВ процесі дебатів стає зрозуміло, що хоча фракції Сенату нерідко конфліктують, всі три сходяться в одному:[SCOPE.sC('target_country_1').GetName] — чудова мета для наступної [ROOT.GetCountry.GetAdjective]ої кампанії."
 war_council_1_and_2_agree_republic:0 "\n\nЗали сенату гудуть від наростального обурення: сенатори з червоними від криків обличчями прагнуть просувати інтереси своїх фракцій. Стає зрозуміло, що [SCOPE.sChar('guard').GetPraenomen] і [SCOPE.sChar('marshal').GetPraenomen] активно виступають за завоювання [SCOPE.sC('target_country_1').GetAdjective]их земель, що ідеально поєднується з цілями, які ставлять перед собою [SCOPE.sChar('marshal').GetParty.GetName] і [SCOPE.sChar('guard').GetParty.GetName]. Тим часом [SCOPE.sChar('third_party').GetPraenomen] вважає, що [SCOPE.sChar('third_party').GetParty.GetName] виграє від захоплення багатих [SCOPE.sC('target_country_3').GetAdjective]их земель."
 assemble_war_council_republic_button_title_tt:0 "#T Скликати сенатську військову раду#!"
 assemble_war_council_republic_button_desc_tt:0 "#TF Скликає найвидніших сенаторів, щоб ті визначилися з метою нашого наступного завоювання. Можна використати для отримання претензії на провінцію, але не частіше ніж раз на 10 років.#!"
 get_republic_council_descriptor_1:0 "проникливий тактик і представник військової фракції"
 get_republic_council_descriptor_2:0 "сенатський представник, пов'язаний з громадянською фракцією,"
 get_republic_council_descriptor_3:0 "видатний торговець і член торгової фракції"
 get_republic_council_descriptor_4:0 "благочестива душа зі зв'язками в релігійній фракції"
 get_republic_council_descriptor_5:0 "огидний представник мерзенних популістів"
 get_republic_council_descriptor_6:0 "гордий (хоча і злегка бундючний) представник численних популістів"
 enables_war_council_tt:0 "\nПри прийнятті:\nВідкриває взаємодію уряду #Y Сенатська військова рада#!.\n\n"
 war_council_one_and_two_republic:0 "[SCOPE.sChar('marshal').GetParty.GetName] і [SCOPE.sChar('guard').GetParty.GetName] отримали своє. Починаємо війну з державою [SCOPE.sP('target_province_1').GetOwner.GetName]!"
 war_council_one_and_three_republic:0 "[SCOPE.sChar('marshal').GetParty.GetName] і [SCOPE.sChar('third_party').GetParty.GetName] мають рацію. Ми рушимо на державу [SCOPE.sC('target_country_1').GetName]."
 war_council_two_and_three_republic:0 "[SCOPE.sChar('guard').GetParty.GetName] і [SCOPE.sChar('third_party').GetParty.GetName] згодні один з одним. Ми ж їм повністю довіряємо."
 war_council_one_republic:0 "[SCOPE.sChar('marshal').GetPraenomen] з партії [SCOPE.sChar('marshal').GetParty.GetName] каже правду. Ми повинні почати війну з державою [SCOPE.sC('target_country_1').GetName]."
 war_council_two_republic:0 "[SCOPE.sChar('guard').GetPraenomen] і [SCOPE.sChar('guard').GetParty.GetName], ми підтримуємо вас. [SCOPE.sC('target_country_2').GetName], ми йдемо!"
 war_council_three_republic:0 "Ми завоюємо державу [SCOPE.sP('target_province_3').GetOwner.GetName], оскільки того хоче [SCOPE.sChar('third_party').GetParty.GetName]."
 war_council_all_3_agree_republic:0 "Одностайність? Як незвично."
 war_council_nope_republic:0 "Сенат може бути вельми надокучливим..."
 get_council_1_descriptor_7:0 "справедлива людина, яка володіє серцями своїх підданих,"
 get_council_1_descriptor_8:0 "потайний губернатор з репутацією залаштункового гравця"
 get_council_1_descriptor_9:0 "губернатор, якого більшість вважає абсолютно непридатним,"
 get_council_1_descriptor_10:0 "губернатор, який розбагатів коштом провінції,"
 get_council_3_descriptor_7:0 "надійний і шанований губернатор"
 get_council_3_descriptor_8:0 "продажний, безбожний губернатор"
 get_council_3_descriptor_9:0 "губернатор, який, на жаль, не володіє здібностями до управління,"
 get_council_3_descriptor_10:0 "людина, що володіє величезними багатствами, ймовірно, отриманими при управлінні заможною провінцією,"
 enables_curiate_assembly_tt:0 "\nПри ухваленні:\n@trigger_yes!Відкриває взаємодію уряду #Y Куріатні коміції#!.\n\n"
