l_russian:
 useless_adjective_1:0 "бесполезный"
 olympic_wins_5:0 "бывший победителем игр столько раз, что всего и не упомнишь"
 spill_burning_water:0 "проливание кипятка повсюду"
 slipped_while_surgery:0 "ошибка при проведении диагностической операции"
 accident_while_trepanning:0 "вызов сильного кровотечения при выполнении трепанации"
 medical_accident_generic_1:0 "ошибочное оперирование здорового органа"
 medical_accident_generic_2:0 "вызов внутреннего кровотечения"
 medical_accident_generic_3:0 "совершенно неправильное проведение операции"
 medical_accident_generic_4:0 "полный провал при проведении требуемой операции"
 claimant_cloc:0 "ещё один мелкий претендент на наш трон"
 heir_cloc:0 "наш любимый наследник"
 no_surveillance_ip3:0 "К сожалению, нам не много удалось узнать о том, что обсуждали двое заговорщиков"
 surveillance_acquired_ip3:0 "Благодаря секретному наблюдению за заговорщиками нам удалось выяснить, что они оживлённо обсуждали человека по имени [ROOT.GetCharacter.GetName], это [SCOPE.Custom('get_successor_type')]"
 surveillance_discovered_ip3:0 "Из-за того, что наших глупых прислужников заметили, нам не удалось узнать обсуждаемые подробности заговора"
 no_surveillance_ip3_default:0 "К сожалению, нам не много удалось узнать о том, что обсуждали двое заговорщиков"
 got_not_informed_ip7:0 "Увы, мы понятия не имели, что два заговорщика запланировали это нападение; значительная часть состояния была украдена, и не было найдено никаких доказательств."
 got_informed_ip7:0 "К счастью, поскольку нам удалось заранее сделать предупреждение, обошлось без потерь. И хотя мы не смогли поймать преступника с поличным, общественное мнение утверждает, что эти два жулика несут ответственность за всё."
 got_target_won:0 "К счастью, благодаря исключительным боевым навыкам защитник вышел из боя победителем."
 got_target_lost:0 "Увы, нападающий вышел из боя победителем из-за слабых боевых навыков защитника, но тот, к счастью, был лишь ранен."
 got_successor_normal:0 "верный подданный"
 got_primary_heir_normal:0 "любимый наследник"
 got_tribal_council_type:0 "вожди"
 got_republic_council_type:0 "совет"
 got_monarchy_council_type:0 "совет"
 got_tribal_city_type:0 "децентрализованные племенные поселения"
 got_other_city_type:0 "автономные города-государства"
 port_city_type:0 "шумный порт"
 coastal_city_type:0 "живописный прибрежный"
 farm_city_type:0 "пасторальный земледельческий"
 other_city_type:0 "шумный"
 got_tribal_city_type_basic:0 "посёлок"
 got_other_city_type_basic:0 "город"
 republic_25_issue_1:0 "плачевное положение дел в палате сенаторов"
 republic_25_issue_2:0 "отсутствие надлежащего сенаторского одеяния"
 republic_25_issue_3:0 "отсутствие шедевров изобразительного искусства в палате сенаторов"
 republic_25_issue_4:0 "ужасное состояние сенаторской стражи, часто присутствующей на важных дебатах"
 republic_25_issue_5:0 "убогое состояние сенаторского жилья"
 republic_25_issue_6:0 "отсутствие изысканных кушаний во время заседаний сената"
 tribal_pol_17_duel_reason_1:0 "Два вождя наших кланов, [SCOPE.sCharacter('clan_chief_duel_victim').GetName] и [SCOPE.sCharacter('clan_chief_duel_perpetrator').GetName], давно имеют между собой разногласия. Неясно, что стало причиной ухудшения отношений, но эти двое решили, что больше терпеть друг друга не могут. "
 tribal_pol_17_duel_reason_2:0 "[SCOPE.sCharacter('clan_chief_duel_victim').GetName] видит, как [SCOPE.sCharacter('clan_chief_duel_perpetrator').GetName] развлекается с несколькими женщинами из [SCOPE.sCharacter('clan_chief_duel_victim').GetHerHis] племени. Теперь [SCOPE.sCharacter('clan_chief_duel_victim').GetName] желает смыть бесчестье кровью."
 tribal_pol_17_duel_reason_3:0 "Многие годы [SCOPE.sCharacter('clan_chief_duel_victim').GetName] заявляет, что [SCOPE.sCharacter('clan_chief_duel_perpetrator').GetName] собирается [SCOPE.sCharacter('clan_chief_duel_victim').GetHerHis] убить. Теперь, когда об этом стало известно всем, обе стороны требуют поединка для решения этого вопроса."
 tribal_pol_17_duel_reason_4:0 "[SCOPE.sCharacter('clan_chief_duel_victim').GetName] давно уже выслушивает оскорбления, которыми [SCOPE.sCharacter('clan_chief_duel_victim').GetHerHis] осыпает [SCOPE.sCharacter('clan_chief_duel_perpetrator').GetName], и вот чаша [SCOPE.sCharacter('clan_chief_duel_victim').GetHerHis] терпения переполнилась. [SCOPE.sCharacter('clan_chief_duel_victim').GetName] требует поединка во искупление такого бесчестного отношения к себе."
 tribal_pol_17_duel_reason_5:0 "[SCOPE.sCharacter('clan_chief_duel_perpetrator').GetName] раз за разом пропускает религиозные церемонии. Когда это происходит в очередной раз, [SCOPE.sCharacter('clan_chief_duel_victim').GetName] не хочет больше мириться с таким святотатством и требует проведения поединка. "
 dangerous_local_beast_bear:0 "огромный медведь"
 dangerous_local_beast_wolves:0 "стая волков"
 dangerous_local_beast_elephant:0 "огромный слон"
 dangerous_local_beast_leophard:0 "гигантский леопард"
 dangerous_local_beast_hyena:0 "стая гиен"
 tribal_pol_30_desc_1:0 "Вождю по имени [SCOPE.sCharacter('clan_chief_one').GetName] якобы удалось обнаружить при дворе чужестранного агента, и [SCOPE.sCharacter('clan_chief_one').GetSheHe] настоятельно советует нам свернуть все дела при дворе. Таким образом наш дорогой правитель [ROOT.GetCountry.GetRuler.GetName] будет иметь возможность принимать правильные решения, не опасаясь присутствия рядом разных потенциально опасных элементов."
 tribal_pol_30_desc_2:0 "За последние месяцы вождю по имени [SCOPE.sCharacter('clan_chief_one').GetName] удалось завести много друзей при дворе и доказать свою пользу для нашего правления. После открытия наших дверей для большей аудитории наше правление больше ничто не ограничивает."
 religionator_poor:0 "малоизвестный, но верный человек"
 religionator_starting:0 "верный и опытный зелот"
 religionator_local_renown:0 "оплот веры местного масштаба"
 religionator_great:0 "истинный оратор божественных сил"
 religionator_amazing:0 "напыщенный религиозный фанатик"
 religionator_godly:0 "светоч обращения в новую веру"
 religionator_unknown:0 "тёмная лошадка"
 culturenator_poor:0 "учится нести [ROOT.GetCharacter.GetEmployer.GetAdjective]ое влияние в массы"
 culturenator_starting:0 "несёт [ROOT.GetCharacter.GetEmployer.GetAdjective]ое влияние в массы"
 culturenator_local_renown:0 "умелый распространитель [ROOT.GetCharacter.GetEmployer.GetAdjective]их ценностей"
 culturenator_great:0 "непоколебимый образец [ROOT.GetCharacter.GetEmployer.GetAdjective]их добродетелей"
 culturenator_amazing:0 "яростный адепт [ROOT.GetCharacter.GetEmployer.GetAdjective]их ценностей"
 culturenator_godly:0 "воинственный сторонник ([ROOT.GetCharacter.GetEmployer.GetName])"
 culturenator_unknown:0 "бескультурный невежда"
 enlightenator_poor:0 "посредственный учитель-дилетант"
 enlightenator_starting:0 "напористый вдохновитель менее удачливых людей"
 enlightenator_local_renown:0 "местный вестник цивилизации"
 enlightenator_great:0 "истинное воплощение культуры"
 enlightenator_amazing:0 "гроза варварства"
 enlightenator_godly:0 "блистательный вдохновитель низших созданий"
 enlightenator_unknown:0 "личность немного варварская"
 get_nearby_volcano_vesuvius:0 "Везувий"
 get_nearby_volcano_aetna:0 "Этна"
 get_nearby_volcano_ararat:0 "Арарат"
 get_nearby_volcano_methana:0 "Метана"
 get_nearby_volcano_aragats:0 "Арагац"
 get_nearby_volcano_argaeus_mons:0 "Аргей"
 get_nearby_volcano_argaios_mons:0 "Аргэй"
 get_nearby_volcano_ausara:0 "Аусара"
 get_nearby_volcano_bamni:0 "Бамни"
 get_nearby_volcano_qarqar:0 "Каркар"
 get_nearby_volcano_default:0 "ближайший вулкан"
 get_random_ancient_text_keyword_immaculate:0 "безупречная копия произведения"
 get_random_ancient_text_keyword_beautiful:0 "красивая копия произведения"
 get_random_ancient_text_keyword_unique:0 "уникальная копия произведения"
 get_random_ancient_text_keyword_alternate_text:0 "альтернативная версия произведения"
 get_random_ancient_text_keyword_complete_version:0 "полная версия произведения"
 get_random_ancient_text_keyword_new_version:0 "новая версия произведения"
 get_random_ancient_text_keyword_unknown_version:0 "неизвестная версия произведения"
 get_random_ancient_text_keyword_lost_version:0 "утерянная версия произведения"
 get_random_ancient_text_melampodia:0 "«Меламподия»"
 get_random_ancient_text_megalai_ehoiai:0 "«Великие Эои»"
 get_random_ancient_text_idaean_dactyls:0 "«Идейские дактили»"
 get_random_ancient_text_wedding_ceyx:0 "«Свадьба Кеика»"
 get_random_ancient_text_descent_perithous:0 "«Сошествие Пирифоя»"
 get_random_ancient_text_megala_erga:0 "«Великие труды»"
 get_random_ancient_text_astronomia:0 "«Астрономия»"
 get_random_ancient_text_aegimius:0 "«Эгимий»"
 get_random_ancient_text_kiln:0 "«Горнило»"
 get_random_ancient_text_work_days:0 "«Труды и дни»"
 get_random_ancient_text_ornithomantia:0 "«Орнитомантия»"
 get_random_ancient_text_theogony:0 "«Теогония»"
 get_random_ancient_text_batrachomyomachia:0 "«Батрахомиомахия»"
 get_random_ancient_text_oechalia:0 "«Взятие Эхалии»"
 get_random_ancient_text_nostoi:0 "«Носты»"
 get_random_ancient_text_thebaid:0 "«Фиваида»"
 get_random_ancient_text_cypria:0 "«Киприи»"
 get_random_ancient_text_epigoni:0 "«Эпигоны»"
 get_random_ancient_text_phocais:0 "«Фокея»"
 get_random_ancient_text_ode_to_aphrodite:0 "«Гимн Афродите»"
 get_random_ancient_text_brothers_song:0 "«Песня о братьях»"
 get_random_ancient_text_tithonus_poem:0 "«Тифон»"
 get_random_ancient_text_phainetai_moi:0 "«Богу равным кажется мне по счастью...»"
 get_random_ancient_text_the_histories:0 "«История»"
 get_random_ancient_text_peloponnesian_war:0 "«История Пелопоннесской войны»"
 get_random_ancient_text_philoctetes:0 "«Филоктет»"
 get_random_ancient_text_oedipus_rex:0 "«Царь Эдип»"
 get_random_ancient_text_oedipus_colonus:0 "«Эдип в Колоне»"
 get_random_ancient_text_ajax:0 "«Аякс»"
 get_random_ancient_text_antigone:0 "«Антигона»"
 get_random_ancient_text_antenoridai:0 "«Антенориды»"
 get_random_ancient_text_trachiniae:0 "«Трахинянки»"
 get_random_ancient_text_elektra:0 "«Электра»"
 get_random_ancient_text_ichneutae:0 "«Следопыты»"
 get_random_ancient_text_aigeus:0 "«Эгей»"
 get_random_ancient_text_amphiaraus:0 "«Амфиарай»"
 get_random_ancient_text_eriphyle:0 "«Эрифила»"
 get_random_ancient_text_odysseus_acanthoplex:0 "«Одиссей Аканфоплекс»"
 get_random_ancient_text_tereus:0 "«Терей»"
 get_random_ancient_text_triptolemos:0 "«Триптолем»"
 get_random_ancient_text_cyclops:0 "«Киклоп»"
 get_random_ancient_text_alcestis:0 "«Алкеста»"
 get_random_ancient_text_medea:0 "«Медея»"
 get_random_ancient_text_hippolytus:0 "«Ипполит»"
 get_random_ancient_text_troades:0 "«Троянки»"
 get_random_ancient_text_bacchae:0 "«Вакханки»"
 get_random_ancient_text_on_the_crown:0 "«О венке»"
 get_random_ancient_text_prooimia_demegorica:0 "«Вступления к политическим речам»"
 get_random_ancient_text_acharnians:0 "«Ахарняне»"
 get_random_ancient_text_nephelai:0 "«Облака»"
 get_random_ancient_text_wasps:0 "«Осы»"
 get_random_ancient_text_birds:0 "«Птицы»"
 get_random_ancient_text_lysistrata:0 "«Лисистрата»"
 get_random_ancient_text_thesmophoriazusae:0 "«Женщины на празднике Фесмофорий»"
 get_random_ancient_text_ecclesiazusae:0 "«Женщины в народном собрании»"
 get_random_ancient_text_aspis:0 "«Щит»"
 get_random_ancient_text_dyskolos:0 "«Брюзга»"
 get_random_ancient_text_epitrepontes:0 "«Третейский суд»"
 get_random_ancient_text_perikeiromene:0 "«Отрезанная коса»"
 get_random_ancient_text_sikyonioi:0 "«Сикионец»"
 get_random_ancient_text_hellenica:0 "«Греческая история»"
 get_random_ancient_text_agesilaus:0 "«Агесилай»"
 get_random_ancient_text_polity_lacedaemonians:0 "«Лакедемонская полития»"
 get_random_ancient_text_cyropaedia:0 "«Киропедия»"
 get_random_ancient_text_anabasis:0 "«Анабасис»"
 get_random_ancient_text_memorabilia:0 "«Воспоминания о Сократе»"
 get_random_ancient_text_apology:0 "«Апология Сократа»"
 get_random_ancient_text_oeconomicus:0 "«Домострой»"
 get_random_ancient_text_symposium:0 "«Пир»"
 get_random_ancient_text_on_nature:0 "«О природе»"
 get_random_ancient_text_rotation_earth:0 "«Вращение Земли» Анаксимандра"
 get_random_ancient_text_fixed_stars:0 "«О неподвижных звёздах»"
 get_random_ancient_text_celestial_sphere:0 "«Сфера»"
 get_random_ancient_text_danaid:0 "Тетралогия о Данаидах"
 get_random_ancient_text_oresteia:0 "«Орестея»"
 get_random_ancient_text_persians:0 "«Персы»"
 get_random_ancient_text_seven_against_thebes:0 "«Семеро против Фив»"
 get_random_ancient_text_prometheus_bound:0 "«Прометея»"
 get_random_ancient_text_myrmidons:0 "«Мирмидоняне»"
 get_random_ancient_text_nereids:0 "«Нереиды»"
 get_random_ancient_text_phrygians:0 "«Фригийцы»"
 get_satrapy_project_outcome_army:0 "Наши армии стали сильнее, а наши люди теперь более отважны и дисциплинированы, чем раньше. Наши войска войдут в историю благодаря своей храбрости и военной доблести.\n\nПродвигаясь вперёд и заручившись поддержкой мужчин нашей державы, мы сможем бросить вызов нашим соседям и врагам."
 get_satrapy_project_outcome_income:0 "Купцы со всего света отправляются взглянуть на наши легендарные [ROOT.GetCountry.GetAdjective]ие рынки, что славятся редкими и экзотическими товарами. Соседи и враги с завистью взирают на наши границы, желая отобрать у нас богатства.\n\nСледующие годы будут очень важны для того, чтобы мы укрепились и окончательно заняли своё место в истории."
 get_satrapy_project_outcome_peace:0 "Мир пришёл в нашу державу, принеся расцвет и процветание для всех. Наши народы перестанут драться меж собой, ибо мы будем вместе с надеждой смотреть в будущее.\n\nС укреплением наших земель пришла пора двигаться дальше."
 get_satrapy_vasal_gift_gold:0 "[SCOPE.sCountry('vassal_country').GetRuler.GetSheHe|U] сообщает: к нам отправлено посольство с сундуком, полным золота и серебра."
 get_satrapy_vasal_gift_elephants:0 "[SCOPE.sCountry('vassal_country').GetRuler.GetSheHe|U] сообщает: к нам отправлен небольшой отряд наездников на слонах, готовый помочь нам в войне."
 get_satrapy_vasal_gift_camels:0 "[SCOPE.sCountry('vassal_country').GetRuler.GetSheHe|U] сообщает: чтобы помогать нам в войне, к нам отправлено несколько групп наездников на верблюдах."
 get_satrapy_vasal_gift_horses:0 "[SCOPE.sCountry('vassal_country').GetRuler.GetSheHe|U] сообщает: чтобы помогать нам в войне, к нам отправлено несколько групп конных лучников."
 get_type_of_reborn_heir_zeal:0 "[SCOPE.sCharacter('reborn_heir').GetSheHe|U] был богатым князем и не ведал о тяготах жизни своих подданных. Проходили дни, недели, годы — а его народ страдал и умирал, о чём князь даже не подозревал.\n\nКогда же князь наконец узнал о том, как трудно приходится его подданным, он не отмахнулся от них и не ограничился притворным беспокойством. Он раздал все свои земные богатства и оставил жизнь в роскоши, чтобы ходить среди тех, кем он некогда правил, и узнать их получше. Обретя тем самым великую мудрость и глубоко познав саму жизнь, к старости князь стал прославленным учителем и мудрецом, к нему начал стекаться народ. Мудрец прожил долгую жизнь и делился знаниями с учениками, что следовали за ним."
 get_type_of_reborn_heir_finesse:0 "[SCOPE.sCharacter('reborn_heir').GetSheHe|U] был младшим из двух братьев, выросших в семье высокопоставленных политиков. Служа на политическом поприще, он видел страдания старых солдат, сражавшихся и проливавших кровь за своих властителей, но впоследствии заброшенных и забытых.\n\nПосле смерти брата, который пытался силой протолкнуть политические реформы, он продолжил его дело и попытался преобразовать саму нацию. Проведя несколько популярных реформ, он стал одним из важнейших политиков своего времени. Его почитали не столько другие политики, сколько простой народ.\n\nК сожалению, после смерти одного из своих противников он был облыжно обвинён в соучастии в убийстве. Завязалась драка, в которой он был убит."
 get_type_of_reborn_heir_martial:0 "[SCOPE.sCharacter('reborn_heir').GetSheHe|U] был великим полководцем, командуя войсками народа, желавшего отомстить своим давним северным врагам. Проведя свои отряды через древние земли и снежные вершины гор, он обрушился на вероломных врагов.\n\nВновь и вновь ему удавалось перехитрить противников, но он так и не смог осадить их древний город и в итоге был вынужден покинуть полуостров, чтобы защитить родные земли от заклятого врага.\n\nВ итоге он проиграл последнюю битву, а позднее — изгнан из родного города. Он не оставил воинского ремесла и однажды, попав в окружение, принял яд."
 get_type_of_reborn_heir_martial_2:0 "[SCOPE.sCharacter('reborn_heir').GetSheHe|U] был великим государственным деятелем, что вёл войска в невиданные прежде дикие земли, населённые воинственными племенами. Тесня врагов тут и там, он сумел покорить этот негостеприимный край и утвердить там свою власть. Когда срок его службы приблизился к концу, соперники на родине потребовали от него распустить войска, чтобы помешать ему обрести безграничную власть.\n\nОн был вынужден сражаться в жестокой гражданской войне против бывших друзей и соратников и победил всех. Он решил простить уцелевших врагов.\n\nВ итоге те, кто получил его прощение, составили заговор против него и убили его."
 get_type_of_reborn_heir_charisma:0 "[SCOPE.sCharacter('reborn_heir').GetSheHe|U] был мудрецом, который усомнился в традициях и образе жизни своего города. Он беседовал с городской молодежью и расспрашивал её обо всём подряд.\n\nПостепенно он обзавёлся последователями, люди начали искать у него советов и записывать его слова и мысли. Говорят даже, что оракул как-то объявил его мудрейшим человеком в истории.\n\nКогда же город начал приходить в упадок, этого человека обвинили в том, что он вводил молодёжь в заблуждение, и заставили принять яд."
 get_government_type_kingdom:0 "царство"
 get_government_type_republic:0 "республика"
 get_government_type_tribe:0 "племя"
 get_government_type_fallback:0 "держава"
 get_gentile_cognomen_ip_51_title:0 "Консулы [ROOT.GetCharacter.GetFamilyDisplayName] и [ROOT.GetCharacter.GetNickName]:"
 get_fallback_ip_51_title:0 "[ROOT.GetCharacter.GetPraenomen] во власти:"
 get_ip_rep_52_mercantile:0 "содействие торговле за счёт облегчения пошлин и улучшения отношений"
 get_ip_rep_52_civic:0 "расширение бюрократии и укрепление её налоговых полномочий"
 get_ip_rep_52_religious:0 "реконструкция ряда главных храмов и расширение института жрецов"
 get_ip_rep_52_populist:0 "раздача земель ветеранам, увеличение раздач хлеба"
 get_ip_rep_53_mercantile:0 "улучшение отношений с нашими торговыми партнёрами, снижение пошлин и сопутствующих расходов у купцов"
 get_ip_rep_53_civic:0 "небольшое повышение налоговых доходов за счёт организации новой службы сбора налогов"
 get_ip_rep_53_religious:0 "оплата образования и расходов на проживание юных послушников, желающих стать жрецами"
 get_ip_rep_53_populist:0 "увеличение хлебных раздач как гражданам, так и всем свободным людям в державе [ROOT.GetCountry.GetCapital.GetName]"
 get_ip_rep_55_mercantile:0 "торговли и внешней политики"
 get_ip_rep_55_military:0 "военных дел и обеспечения безопасности"
 get_ip_rep_55_religious:0 "религиозной и правовой политики"
 get_ip_rep_55_populist:0 "благотворительности и денежного довольствия"
 get_ip_rep_58_civic:0 "гражданской фракции входит реформа ограничения торговли, которая ставит внутренние торговые соглашения превыше внешних, а также вложения в общественные постройки и сбор налогов"
 get_ip_rep_58_military:0 "военной фракции входит реформа ограничения торговли, которая ставит внутренние торговые соглашения превыше внешних, а также вложение средств в подготовку солдат и оплату жалования офицеров"
 get_ip_rep_58_religious:0 "религиозной фракции входит реформа ограничения торговли, которая ставит внутренние торговые соглашения превыше внешних, а также вложение средств в содержание храмов и проведение празднований"
 get_ip_rep_58_populist:0 "популистской фракции входит реформа ограничения торговли, которая ставит внутренние торговые соглашения превыше внешних, а также вложение средств в повышение объёмов хлебных раздач и военных пенсий"
 get_dominus_domina_1:0 "хозяин"
 get_dominus_domina_2:0 "хозяйка"
 get_scheme_1:0 "Убийство"
 get_scheme_1_desc:0 "убийство: описание"
 scheme_assassination_chance:0 "Шансы на успех этого плана — #Y [SCOPE.ScriptValue('assassinate_chance_scheme')]#!%."
 scheme_improvement_effect:0 "Содействие этому плану повысит шансы на успех на #G 10#!%"
 scheme_interference_effect:0 "Вмешательство в этот план повысит шансы на успех на #R 10#!%"
 max_plot_chance:0 "@trigger_no! Вы можете повысить вероятность заговора только на #Y 30#!%."
 min_plot_chance:0 "@trigger_no! Вы можете снизить вероятность заговора только на #Y –30#!%."
 got_arrogant:0 "высокомерие"
 got_unpleasant:0 "неприятный"
 got_filthy:0 "нечистоплотность"
 got_abrasive:0 "несносность"
 got_gluttonous:0 "обжорство"
 got_fanciful:0 "капризность"
 got_cruel:0 "жестокость"
 got_cowardly:0 "трусливый"
 got_misogynistic:0 "женоненавистничество"
 got_boastful:0 "хвастовство"
 got_careless:0 "беспечность"
 got_impulsive:0 "импульсивность"
 got_untrustworthy:0 "ненадёжность"
 got_jealous:0 "завистливость"
 get_mountain:0 "на горе."
 get_desert:0 "в пустыне."
 get_jungle:0 "в джунглях."
 get_marsh:0 "в болотах."
 get_forest:0 "в лесу."
 get_remote:0 "где-то далеко."
 get_snow:0 "в снегу."
 get_hillside:0 "на холме."
 get_mother:0 "мать"
 get_father:0 "отец"
 get_mother_u:0 "Мать"
 get_father_u:0 "Отец"
