l_russian:
 dahaea_area:0 "Земля дахов"
 pictonia_septentrionalis_area:0 "Намнетия"
 pictonia_meridionalis_area:0 "Пиктония"
 sentonia_maioris_area:0 "Сантония"
 aquitania_occidentalis_area:0 "Аквитания"
 aquitania_orientalis_area:0 "Авския"
 narbonensis_orientalis_area:0 "Волкатия"
 narbonensis_centralis_area:0 "Нарбонская Галлия"
 narbonensis_occidentalis_area:0 "Воконтия"
 allobrogia_area:0 "Аллоброгия"
 cadurcia_area:0 "Нитиоброгия"
 central_massif_area:0 "Арверния"
 lemovicia_area:0 "Лемовикия"
 celtica_occidentalis_area:0 "Кельтика"
 celtica_centralis_area:0 "Кубия"
 celtica_orientalis_area:0 "Амбаррия"
 sequania_area:0 "Секвания"
 lingonia_area:0 "Эдуия"
 senonia_area:0 "Сенония"
 bituriga_orientalis_area:0 "Битуригия"
 bituriga_occidentalis_area:0 "Турония"
 cenomannia_area:0 "Эбуровикия"
 carnutia_area:0 "Карнутия"
 parisia_area:0 "Паризия"
 leucia_area:0 "Левкия"
 remia_area:0 "Треверия Салютарис"
 treveria_area:0 "Медиоматрикия"
 mediomatricia_area:0 "Медиоматрикия"
 vangionia_area:0 "Вангиония"
 menapia_orientalis:0 "Эбурония"
 suaeuconia_area:0 "Суессиония"
 bellovacia_area:0 "Белловакия"
 veliocassia_area:0 "Велиокассия"
 tribocia_area:0 "Трибокия"
 latobrigia_area:0 "Латобригия"
 tulingia_area:0 "Винделиция"
 helvetia_inferioris_area:0 "Гельвеция"
 helvetia_superioris_area:0 "Бреуния"
 helvetia_orientalis_area:0 "Норик"
 frisia_area:0 "Фризия"
 mauretania_tingitana_septentrionalis_area:0 "Тингитания"
 mauretania_tingitana_meridionalis_area:0 "Мавретания"
 mauretania_caesariensis_occidentalis_area:0 "Западная Цезарейская Мавретания"
 mauretania_caesariensis_centralis_area:0 "Массисилия "
 mauretania_caesariensis_minoris_area:0 "Мачурия"
 mauretania_caesariensis_maioris_area:0 "Иолия"
 mauretania_caesariensis_orientalis_area:0 "Ситифенсия"
 gaetulia_occidentalis_area:0 "Гетульская"
 gaetulia_centralis_area:0 "Заба"
 gaetulia_orientalis_area:0 "Максиезия"
 gaetulia_septentrionalis_area:0 "Авразий"
 numidia_occidentalis_area:0 "Киртания"
 numidia_centralis_area:0 "Массилия"
 numidia_maioris_area:0 "Табракания"
 numidia_minoris_area:0 "Мусуламия"
 carthage_area:0 "Карфаген"
 africa_septentrionalis_area:0 "Северная Африка"
 africa_meridionalis_area:0 "Южная Африка"
 tripolitania_occidentalis_area:0 "Эмпория"
 tripolitania_centralis_area:0 "Триполитания"
 tripolitania_orientalis_area:0 "Сиртика"
 rutubis_area:0 "Рутубий"
 tadla_area:0 "Тадла"
 garamantum_area:0 "Гарамантида"
 cidamus_area:0 "Кидам"
 marmarica_occidentalis_area:0 "Западная Мармарика"
 marmarica_orientalis_area:0 "Восточная Мармарика"
 ammon_area:0 "Аммон"
 marmaridae_area:0 "Мармариды"
 cyrenaica_inferioris_area:0 "Нижняя Киренаика"
 cyrenaica_superioris_area:0 "Верхняя Киренаика"
 indiketia_area:0 "Индикетия"
 cessetania_area:0 "Цессетания"
 ilergetia_area:0 "Илергетия"
 vasconia_area:0 "Васкония"
 vardulia_area:0 "Вардулия"
 autrigonia_area:0 "Автригония"
 cantabria_area:0 "Кантабрия"
 asturia_septentrionalis_area:0 "Северная Астурия"
 asturia_meridionalis_area:0 "Южная Астурия"
 aebocosia_area:0 "Эбокосия"
 callaecia_septentrionalis_area:0 "Северная Галлекия"
 callaecia_meridionalis_area:0 "Южная Галлекия"
 vaccaeia_septentrionalis_area:0 "Северная Ваккея"
 vaccaeia_meridionalis_area:0 "Южная Ваккея"
 oppidania_area:0 "Оппидания"
 lusitania_septentrionalis_area:0 "Северная Лузитания"
 lusitania_meridionalis_area:0 "Южная Лузитания"
 celticia_maoioris_area:0 "Великая Кельтика"
 celticia_minoris_area:0 "Малая Кельтика"
 vettonia_septentrionalis_area:0 "Северная Веттония"
 vettonia_meridionalis_area:0 "Южная Веттония"
 couneia_area:0 "Кунея"
 turdulia_occidentalis_area:0 "Западная Турдулия"
 turdulia_orientalis_area:0 "Восточная Турдулия"
 turdetania_occidentalis_area:0 "Западная Турдетания"
 baetica_cordubensis_area:0 "Бетика Кордубенсис"
 gaditanus_area:0 "Бетика Гадитан"
 baetica_hispalensis_area:0 "Бетика Гиспаленсис"
 malacita_area:0 "Малакития"
 bastetania_area:0 "Бастетания"
 mastiania_area:0 "Мастиания"
 oretania_area:0 "Оретания"
 contestania_meridionalis_area:0 "Южная Контестания"
 contestania_septentrionalis_area:0 "Северная Контестания"
 carpetania_area:0 "Карпетания"
 lobetania_area:0 "Лобетания"
 edetania_area:0 "Эдетания"
 ilercavonia_area:0 "Илеркаония"
 celtiberia_meridionalis_area:0 "Южная Кельтиберия"
 celtiberia_septentrionalis_area:0 "Северная Кельтиберия"
 celtiberia_centralis_area:0 "Средняя Кельтиберия"
 morinia_area:0 "Мориния"
 nervia_area:0 "Нервия"
 balearides_area:0 "Балеарские острова"
 chasuaria_area:0 "Хазуария"
 bructeria_area:0 "Бруктерия"
 sicambria_area:0 "Сугамбрия"
 chattia_occidentalis_area:0 "Хаттия"
 chattia_orientalis_area:0 "Гермундурия"
 marcomannia_maiores_area:0 "Маркомания"
 marcomannia_minores_area:0 "Наристия"
 boioa_meridionalis_area:0 "Бойя"
 boioa_septentrionalis_area:0 "Нахарвалия"
 carnuntia_area:0 "Карнунтия"
 marsignia_area:0 "Марсиния"
 chaucia_area:0 "Хавкия"
 langobardia_area:0 "Лангобардия"
 chamavia_area:0 "Хамавия"
 caluconia_area:0 "Балукония"
 buria_area:0 "Бурия"
 semnonia_area:0 "Семнония"
 pharodenia_area:0 "Фародения"
 getia_occidentalis_area:0 "Гетия"
 getia_orientalis_area:0 "Роксолания"
 pannonia_terminus_area:0 "Геркуниатия"
 iazygia_majoris_area:0 "Языгия"
 iazygia_minoris_area:0 "Альбоценсия"
 rugia_area:0 "Ругия"
 jangtang_area:0 "Янтан"
 lhasa_area:0 "Лхаса"
 helveconia_area:0 "Гельвекония"
 elysia_area:0 "Элизия"
 arabia_relicta_area:0 "Аравия Реликта"
 relicta_area:0 "Реликта"
 sumpa_area:0 "Сумпа"
 arabia_ad_sinus_area:0 "Аравия у Залива"
 arabia_deserta_area:0 "Яфриппа"
 dedan_area:0 "Дедан"
 arabia_maritimae_area:0 "Приморская Аравия"
 arabia_felix_occidentalis_area:0 "Западная Аравия Феликс"
 arabia_felix_centralis_area:0 "Средняя Аравия Феликс"
 sheba_area:0 "Саба"
 qataba_area:0 "Катабан"
 arabia_felix_orientalis_area:0 "Восточная Аравия Феликс"
 hadramut_occidentalis_area:0 "Западный Хадрамаут"
 hadramut_orientalis_area:0 "Восточный Хадрамаут"
 hema_nome_area:0 "Асьют"
 luxor_area:0 "Фивы"
 aswan_area:0 "Сиена"
 troglodytica_area:0 "Троглодитика"
 myos_hormos_area:0 "Миос Гормос"
 transcarpathia_orientalis_area:0 "Костобокия"
 clepia_area:0 "Клепия"
 zargidava_area:0 "Заргидава"
 transcarpathia_centralis_area:0 "Котиния"
 transcarpathia_occidentalis_area:0 "Квадия"
 ciscarpathia_area:0 "Цискарпатия"
 lugia_area:0 "Лугия"
 subcarpathia_area:0 "Субкарпатия"
 veshapur_area:0 "Таорена"
 persepolis_area:0 "Персеполь"
 amardioi_area:0 "Амарды"
 kossioi_area:0 "Коссии"
 ecbatana_area:0 "Медия Магна"
 rhagai_area:0 "Хоарена"
 hyrcania_area:0 "Гиркания"
 aspadana_area:0 "Паретакена"
 utia_area:0 "Утия"
 drangiana_area:0 "Дрангиана"
 carmania_area:0 "Кармания"
 gedrosia_area:0 "Гедросия"
 harmozeia_area:0 "Рудиана"
 media_felix_area:0 "Мидия Феликс"
 ardashir_area:0 "Табиена"
 namek_area:0 "Арктикена"
 parthia_komishene_area:0 "Комисена"
 sagartia_area:0 "Сагартия"
 vishpauzatis_area:0 "Траксиана"
 pactya_area:0 "Пактия"
 arachosia_area:0 "Арахосия"
 margu_area:0 "Тапурия"
 transoxus_area:0 "Трансоксиана"
 aria_area:0 "Ария"
 parthia_area:0 "Парфия"
 sattagydia_area:0 "Саттагидия"
 derbicca_area:0 "Дахия"
 parecania_area:0 "Парикания"
 bamyan_area:0 "Паропамисады"
 kharesmia_area:0 "Хорезмия"
 margiana_area:0 "Маргиана"
 sogdiana_area:0 "Согдиана"
 bactria_area:0 "Бактрия"
 candara_area:0 "Кандара"
 oxiana_area:0 "Оксиана"
 ferghana_area:0 "Фергана"
 cyropolis_area:0 "Кирополь"
 pamir_area:0 "Памир"
 tarim_area:0 "Шулэ"
 talas_area:0 "Талас"
 sirdarya_area:0 "Джаксартия"
 jaxartia_area:0 "Яксартия"
 media_choromithrene:0 "Мидия Хоромитрена"
 sarmatia_area:0 "Сарматия"
 north_tarim_area:0 "Северная Таримская впадина"
 south_tarim_area:0 "Южная Таримская впадина"
 gerrha_area:0 "Герра"
 omana_area:0 "Западная Омана"
 east_omana_area:0 "Восточная Омана"
 kharesmia_superior:0 "Верхний Хорезм"
 parnia_area:0 "Парния"
 arabia_deserta_ulterior:0 "Дальняя Пустынная Аравия"
 alpes_raetiae_orientalis:0 "Карнийские Альпы"
 alpes_raetiae_occidentalis:0 "Ретийские Альпы"
 north_nubia_area:0 "Северная Нубия"
 south_nubia_area:0 "Южная Нубия"
 napata_area:0 "Напата"
 alana_area:0 "Алана"
 meroe_area:0 "Мероэ"
 tana_area:0 "Тана"
 aksum_area:0 "Аксум"
 ptolemais_area:0 "Птолемаида Терон"
 punt_area:0 "Пунт"
 mosylon_area:0 "Мосилон"
 maeotia_minores_area:0 "Малая Меотия"
 alania_area:0 "Синдика"
 scythia_trans_montem_area:0 "Скифия Трансмонтана"
 avanti_area:0 "Аванти"
 anupa_area:0 "Анупа"
 dahala_area:0 "Дахала"
 dasarna_area:0 "Дасарна"
 anartta_area:0 "Анартта"
 patalene_area:0 "Паталена"
 south_sindhu_area:0 "Южный Синдху"
 sauvira_area:0 "Саувира"
 abhiria_area:0 "Абхира"
 maru_area:0 "Мару"
 madhyamika_area:0 "Мадхъямика"
 matsya_area:0 "Матсья"
 suvarna_gotra_area:0 "Суварнаготра"
 tsang_area:0 "Цанг"
 yarlung_area:0 "Ярлунг"
 zhangzhung_area:0 "Шангшунг"
 gilgit_area:0 "Гилгит"
 chomolangma_area:0 "Джомолунгма"
 surasena_area:0 "Шурасена"
 east_cedi_area:0 "Восточное Чеди"
 west_cedi_area:0 "Западное Чеди"
 kasi_area:0 "Каши"
 pancala_area:0 "Панкала"
 ahicchatra_area:0 "Ахиччхатра"
 kosala_area:0 "Кошала"
 vrji_area:0 "Вридджи"
 malla_area:0 "Малла"
 magadha_area:0 "Магадха"
 anga_area:0 "Анга"
 pundra_area:0 "Пундра"
 radha_area:0 "Радха"
 vanga_area:0 "Ванга"
 samatata_area:0 "Саматата"
 kamarupa_area:0 "Камарупа"
 kamata_area:0 "Камата"
 sthanisvara_area:0 "Стханишвара"
 trigarta_area:0 "Тригата"
 kuru_area:0 "Куру"
 gandhara_area:0 "Гандхара"
 taxila_area:0 "Таксила"
 kasmira_area:0 "Кашмира"
 panchanada_area:0 "Панчанада"
 madra_area:0 "Мадра"
 sivi_area:0 "Шиви"
 north_sindhu_area:0 "Северный Синдху"
 north_tambapamni_area:0 "Северная Тамбапамни"
 south_tambapamni_area:0 "Южная Тамбапамни"
 keralaputa_area:0 "Кералапута"
 north_tondainadu_area:0 "Северный Тондай-Наду"
 south_tondainadu_area:0 "Южный Тондай-Наду"
 koda_area:0 "Кода"
 north_satiyaputa_area:0 "Северная Сатьяпута"
 south_satiyaputa_area:0 "Южная Сатьяпута"
 malayas_area:0 "Малаяс"
 pandiya_area:0 "Пандья"
 north_mahishamandala_area:0 "Северная Махисамандала"
 south_mahishamandala_area:0 "Южная Махисамандала"
 vanavasi_area:0 "Ванаваси"
 aparanta_area:0 "Апаранта"
 outer_saurashtra_area:0 "Внешняя Саураштра"
 inner_saurashtra_area:0 "Внутренняя Саураштра"
 north_sahyadri_area:0 "Северные Сахьядри"
 south_sahyadri_area:0 "Южные Сахьядри"
 mulaka_area:0 "Мулака"
 kuntala_area:0 "Кунтала"
 asika_area:0 "Асика"
 vindya_area:0 "Виндхья"
 asmaka_area:0 "Ашмака"
 andhra_area:0 "Андхра"
 sriparvata_area:0 "Шрипарвата"
 kalinga_area:0 "Калинга"
 mahendragiri_area:0 "Махендрагири"
 vidarbha_area:0 "Видарбха"
 fanindrapura_area:0 "Фаниндрапура"
 dakshina_kosala_area:0 "Дакшина-Кошала"
 kaccha_area:0 "Каччха"
 alut_area:0 "Алут"
 atbaras_area:0 "Атбарас"
 khargana_area:0 "Харгана"
 kharga_area:0 "Харга"
 farfara_area:0 "Фарфара"
 parva_area:0 "Парва"
 taifa_area:0 "Тайфа"
 herulia_area:0 "Герулия"
 east_gothia_area:0 "Восточная Готия"
 west_gothia_area:0 "Западная Готия"
 ultima_thule_area:0 "Туле"
 tanaissa_area:0 "Танаисса"
 sattara_area:0 "Саттара"
 hyrcania_superior_area:0 "Верхняя Гиркания"
 atara_area:0 "Атара"
 darn_area:0 "Дарн"
 galindia_area:0 "Сцирия"
 venedia_area:0 "Нижняя Венедия"
 vistulia_area:0 "Вистулия"
 vistulia_inferioris_area:0 "Нижняя Вистулия"
 amadocia_occidentalis_area:0 "Амадокия"
 bassetia_area:0 "Бассетия"
 hypania_minoris_area:0 "Малая Гипания"
 transhypania_area:0 "Трансгипания"
 sarmatia_superioris_area:0 "Верхняя Сарматия"
 hypania_area:0 "Гипания"
 transborysthenia_area:0 "Трансборисфения"
 borysthenia_area:0 "Борисфения"
 borysthenia_maioris_area:0 "Великая Борисфения"
 borysthenia_minor_area:0 "Малая Борисфения"
 tanassa_area:0 "Мантесса"
 danaia_area:0 "Даная"
 danaia_superioris_area:0 "Верхняя Даная"
 confluenta_area:0 "Конфлуента"
 alania_proper_area:0 "Алания"
 alania_orientalis_area:0 "Восточная Алания"
 transhyrcania_area:0 "Трансгиркания"
 north_sea_area:0 "Северное море"
 mare_germanicum_area:0 "Германское море"
 oceanus_sarmaticus_area:0 "Сарматский океан"
 mare_britannicum_area:0 "Британское море"
 mare_hibernicum_area:0 "Гибернийское море"
 oceanus_atlanticus_area:0 "Атлантический океан"
 mare_catabricum_area:0 "Кантабрийское море"
 mare_verginium_area:0 "Вергинийское море"
 pontus_euxinus_area:0 "Понт Эвксинский"
 helespontine_area:0 "Геллеспонт"
 mare_gangeticus_area:0 "Гангское море"
 mare_erythraeum_area:0 "Эритрейское море"
 sinus_persicus_area:0 "Персидский пролив"
 sinus_adenensis_area:0 "Аденский пролив"
 sinus_arabicus_area:0 "Арабский пролив"
 mare_aegyptum_area:0 "Египетское море"
 mare_aegaeum_area:0 "Эгейское море"
 mare_creticum_area:0 "Критское море"
 mare_lycium_area:0 "Ликийское море"
 mare_phoenicium_area:0 "Финикийское море"
 mare_adriaticum_area:0 "Адриатическое море"
 mare_ionium_area:0 "Ионическое море"
 mare_libycum_area:0 "Ливийское море"
 canalis_sicium_area:0 "Сицийский канал"
 mare_tyrrenum_area:0 "Тирренское море"
 mare_ligusticum_area:0 "Лигурийское море"
 mare_sardonium_area:0 "Сардонское море"
 sinus_gallicus_area:0 "Галльский пролив"
 mare_balearicum_area:0 "Балеарское море"
 mare_ibericum_area:0 "Иберийское море"
 palus_maeotis_area:0 "Меотийские болота"
 nile_river_area:0 "Нил"
 mesopotamia_river_area:0 "Месопотамские реки"
 indus_river_area:0 "Инд"
 ganges_river_area:0 "Ганг"
 rhine_river_area:0 "Рейн"
 gallikos_river_area:0 "Эхедор"
 atlantic_region:0 "Атлантический океан"
 baltic_sea_region:0 "Балтийское море"
 mediterranean_region:0 "Средиземное море"
 pontus_region:0 "Понтийское море"
 persian_gulf_region:0 "Персидский залив"
 red_sea_region:0 "Красное море"
 indian_ocean_region:0 "Индийский океан"
 nile_region:0 "Нил"
 mesopotamia_river_region:0 "Месопотамские реки"
 indo_gangetic_region:0 "Индийские реки"
 rhine_region:0 "Рейн"
 greek_river_region:0 "Греческие реки"
 chrononis_area:0 "Хронония"
 turuntia_area:0 "Турунтия"
 ossioia_area:0 "Оссия"
 biggeronia_area:0 "Бигерония"
 bithynia_area:0 "Вифиния"
 baetis_river_area:0 "Река Бетис"
 tagus_river_area:0 "Река Тагус"
 flumen_anas_river_area:0 "Река Анас"
 garumna_river_area:0 "Гарумна"
 liger_river_area:0 "Лигр"
 sequana_river_area:0 "Секвана"
 rhodanus_river_area:0 "Родан"
 albis_river_area:0 "Альбис"
 tyras_river_area:0 "Тира"
 borysthenes_river_area:0 "Борисфен"
 ister_river_area:0 "Истр"
 dyardanes_river_area:0 "Диардан"
