l_russian:
 dhe_dde_pyrrhus.1.t:0 "Молосський ультиматум"
 dhe_dde_pyrrhus.2.a:0 "Ми надамо йому свою підтримку."
 dhe_dde_pyrrhus.2.b:0 "Ми не займаємося добродійністю."
 dhe_dde_pyrrhus.2.yes.ct:0 "Пірр буде з нами до тих пір, поки не заручиться достатньою підтримкою, щоб повернутися до Епіру.\nСтавлення Епіру до нас зміниться на #R -50 #!."
 dhe_dde_pyrrhus.2.no.ct:0 "#R Пірр шукатиме підтримки в інших діадохів.#!"
 dhe_dde_pyrrhus.3.t:0 "Піррові справи"
 dhe_dde_pyrrhus.3.desc_1:0 "Прибувши до нас, Пірр вразив своєю доблестю в бою і гостротою розуму як аристократів, так і простих солдатів. Всім очевидні його здібності полководця, але справжню славу він здобував завдяки таланту завойовувати любов солдатів: цим він може посперечатися з самим Александром. Слід зазначити й ту обставину, що він оголосив себе нащадком героя Ахілла.\n\nМи можемо пишатися тим вихованням, що дали йому цар Главкій і Бероя, хоч він повернувся в Тавлантію не по своїй волі.\n\nКрім того, Пірр отримав можливість провести час зі старими друзями та завести нових. Зараз же він набирає послідовників для передбачуваного повернення до Епіру."
 dhe_dde_pyrrhus.3.desc_2:0 "Знаходячись при нашому дворі, Пірр приголомшує всіх своєю доблестю і звитягою. Він володіє природженим талантом причаровувати потрібних людей, і в столиці ним вже захоплюється немало жінок. Слід зазначити й ту обставину, що він оголосив себе нащадком героя Ахілла.\n\nМи можемо пишатися тим вихованням, що дали йому цар Главкій і Бероя, хоч він повернувся в Тавлантію не по своїй волі.\n\nТакож Пірр отримав можливість відновити колишні знайомства й завести нових друзів: зараз він набирає послідовників для запланованого повернення до Епіру, хоча воно, як здається, станеться ще нескоро."
 dhe_dde_pyrrhus.3.desc_3:0 "Прибувши до нас, Пірр вразив своєю доблестю в бою і гостротою розуму як аристократів, так і простих солдатів. Всім очевидний його талант полководця, але справжню славу йому здобувало вміння завоювати довіру бійців: цим він може посперечатися з самим Александром Македонським.\n\nПроте виконуючи умови мирного договору з державою [SCOPE.sC(''pyrrhus_second_country_scope'').GetName], Пірр погодився відправитися в ці землі, щоб показати нашу добру волю і гарантувати, що ми, зі свого боку, готові дотримувати перемир'я."
 dhe_dde_pyrrhus.3.desc_4:0 "Знаходячись при нашому дворі, Пірр приголомшує всіх своєю доблестю і звитягою. Він володіє природженим талантом причаровувати потрібних людей, і в столиці ним вже захоплюється немало жінок. Слід зазначити й ту обставину, що він оголосив себе нащадком героя Ахілла.\n\nПроте виконуючи умови мирного договору з державою [SCOPE.sC(''pyrrhus_second_country_scope'').GetName], Пірр погодився відправитися в ці землі, щоб показати нашу добру волю і гарантувати, що ми, зі свого боку, готові дотримуватися перемир'я."
 dhe_dde_pyrrhus.3.desc_5:0 "Прибувши до нас, Пірр вразив своєю доблестю в бою і гостротою розуму як аристократів, так і простих солдатів. Всім очевидні його здібності полководця, але справжню славу він здобував завдяки таланту завойовувати любов солдатів: цим він може посперечатися з самим Александром. Слід зазначитий ту обставину, що він оголосив себе нащадком героя Ахілла.\n\nТакож Пірр отримав можливість завести друз: зараз він набирає послідовників для запланованого повернення до Епір."
 dhe_dde_pyrrhus.3.desc_6:0 "Знаходячись при нашому дворі, Пірр приголомшує всіх бойовою доблестю і звитягою. Він володіє природженим талантом причаровати потрібних людей, і в столиці ним вже захоплюється немало жінок. Важко також не відмітити, що він оголосив себе нащадком героя Ахіллеса.\n\nТакож Пірр отримав можливість завести друзів: зараз він набирає послідовників для запланованого повернення до Епір."
 dhe_dde_pyrrhus.3.a:0 "За ним догляне Зевс."
 dhe_dde_pyrrhus.3.at:0 "Пірр переїде до двору держави [SCOPE.sC('pyrrhus_second_country_scope').GetName]."
 dhe_dde_pyrrhus.4.t:0 "Від'їзд Пірра"
 dhe_dde_pyrrhus.4.desc_1:0 "Пірр збирається покинути Тавлантію, відправитися на батьківщину і повернути собі трон Епіру. За ним сумуватимуть всі — від молодих солдатів, з якими він вправлявся, до прекрасних дів, яких він зачарував, і співтрапезників, яких він розважав на бенкетах своїм гострим розумом. На жаль, переконати його залишитися неможливо — Пірр знає, яка доля уготована йому.\n\nВін зміг привернути на свій бік воїнів, з якими здружився, і заручитися фінансовою підтримкою зацікавлених осіб.\n\nПідтримавши Пірра безпосередньо, ми могли б забезпечити собі хороші стосунки з Епіром, коли цар поверне собі трон і підсилить своє військо..."
 dhe_dde_pyrrhus.4.desc_2:0 "Пірру прийшла пора покинути Тавлантію, відправитися на батьківщину і повернути собі трон Епіру. За ним сумуватимуть всі — особливо солдати, якими він командував і з якими вправлявся, і співтрапезники, яких він розважав на бенкетах своїм гострим розумом. На жаль, переконати його залишитися неможливо — Пірр знає, яка доля уготована йому.\n\nВін зміг привернути на свій бік воїнів, з якими здружився, і заручитися фінансовою підтримкою зацікавлених осіб.\n\nПідтримавши Пірра безпосередньо, ми могли б забезпечити собі хороші стосунки з Епіром, коли цар поверне собі трон і підсилить своє військо..."
 dhe_dde_pyrrhus.4.desc_3:0 "Прибувши до нас, Пірр дивним чином зміг завоювати любов і підтримку майже всього двору. Неможливо не відмітити його доброту, розум і чарівливість, а також вплив, який він надає на всіх, — від молодих солдатів, з якими він вправлявся, до прекрасних дів, яких він зачарував.\n\nВраховуючи політичну ситуацію, що склалася, йому вже немає сенсу залишатися в державі [SCOPE.sC(''pyrrhus_second_country_scope'').GetName]: він заручився достатньою підтримкою, щоб повернутися додому і знову зайняти трон Епіру. Переконати його неможливо — Пірр знає, яка доля уготована йому.\n\nВін зміг привернути на свій бік воїнів, з якими здружився, і заручитися фінансовою підтримкою зацікавлених осіб. Підтримавши Пірра безпосередньо, ми могли б забезпечити собі хороші стосунки з Епіром, коли цар поверне собі трон і підсилить своє військо..."
 dhe_dde_pyrrhus.4.desc_4:0 "Пірру прийшла пора відправитися додому і повернути собі трон Епіру. За ним сумуватимуть всі — від молодих солдатів, з якими він вправлявся, до прекрасних дів, яких він зачарував, і співтрапезників, яких він розважав на бенкетах своїм гострим розумом. Переконати його залишитися неможливо — Пірр знає, яка доля уготована йому.\n\nВін зміг привернути на свій бік воїнів, з якими здружився, і заручитися фінансовою підтримкою зацікавлених осіб.\n\nПідтримавши Пірра безпосередньо, ми могли б забезпечити собі хороші стосунки з Епіром, коли цар поверне собі трон і підсилить своє військо..."
 dhe_dde_pyrrhus.4.desc_5:0 "Пірру прийшла пора відправитися додому і повернути собі трон Епіра. По ньому нудьгуватимуть все — особливо солдати, якими він командував і з якими вправлявся, і співтрапезники, яких він розважав на бенкетах своїм гострим розумом. На жаль, переконати його залишитися неможливо — Пірр знає, яка доля уготована йому.\n\nВін зміг привернути на свій бік воїнів, з якими здружився, і заручитися фінансовою підтримкою зацікавлених осіб.\n\nПоддержав Пірра безпосередньо, ми могли б забезпечити собі хороші стосунки з Епіром, коли цар поверне собі трон і підсилить своє військо..."
 dhe_dde_pyrrhus.4.a:0 "Він буде нам сильним союзником."
 dhe_dde_pyrrhus.4.at:0 "Пірр повернеться до Епіру з додатковими військами й грошима.\nЕпір додасть #G 100#! од. думки про державу [SCOPE.sC(''pyrrhus_second_country_scope'').GetName]\n[SCOPE.sC(''pyrrhus_second_country_scope'').GetName] додасть #G 100#! од. думки про Епір."
 dhe_dde_pyrrhus.4.b:0 "Надати йому повну підтримку."
 dhe_dde_pyrrhus.4.bt:0 "Пірр повернеться до Епіру з додатковими військами й грошима.\nЕпір додасть #G 100#! од. думки про державу [SCOPE.sC(''pyrrhus_second_country_scope'').GetName]\n[SCOPE.sC(''pyrrhus_second_country_scope'').GetName] додасть #G 100#! од. думки про Епір."
 dhe_dde_pyrrhus.4.c:0 "Його амбіції нас не стосуються."
 dhe_dde_pyrrhus.4.ct:0 "Пірр повернеться до Епіру без нашої підтримки, наші стосунки з новим царем Епіра погіршаться."
 dhe_dde_pyrrhus.5.t:0 "Повернення Пірра"
 dhe_dde_pyrrhus.5.desc_1:0 "Після довгих років, проведених за кордоном, вигнаний цар Пірр, син Еакіда, безславно повернувся до Епіру. Він відмовиться від трону, віднятого в нього молоссами, якщо йому дозволять повернутися до двору та обійняти там належну посаду.\n\nСхоже, Пірр не зміг заручитися підтримкою чужоземців і в кінці поневірянь опинився при дворі держави [SCOPE.sC(''pyrrhus_fallback_scope'').GetName], коли ж стало очевидно, що і там йому не знайти підтримки, він вирішив повернутися додому.\n\nУ його є всі підстави претендувати на владу, він, поза сумнівом, розумний. Можливо, буде вигідно привести його до влади..."
 dhe_dde_pyrrhus.5.desc_2:0 "Після довгих років, проведених за кордоном, вигнаний цар Пірр, син Еакіда, повернувся до Епіру. Він вимагає назад свій трон, що відняли у нього молосси.\n\nНе добившись підтримки в діадохів, Пірр знайшов притулок в Тавлантії й саме там знайшов послідовників та фінансування.\n\nНам залишається лише поступитися його вимогам — навіть молосси згодні, що під владою Пірра країні буде краще, та й армія підтримує його."
 dhe_dde_pyrrhus.5.desc_3:0 "Після довгих років, проведених за кордоном, вигнаний цар Пірр, син Еакіда, повернувся до Епіру. Він вимагає назад свій трон, що відняли у нього молосси.\n\nНезважаючи на відмову діадохів підтримати його, Пірр провів немало часу при різних правлячих дворах, всюди знаходячи послідовників і фінансову підтримку.\n\nНам залишається лише поступитися його вимогам — навіть молосси згодні, що під владою Пірра країні буде краще, та й армія підтримує його."
 dhe_dde_pyrrhus.5.desc_4:0 "Після довгих років, проведених за кордоном, вигнаний цар Пірр, син Еакіда, повернувся до Епіру. Він вимагає назад свій трон, що відняли у нього молосси.\n\nСхоже, що Пірр зміг заручитися прямою підтримкою діадоха на ім'я [SCOPE.sC(''pyrrhus_second_country_scope'').GetName], який дає гроші і війська для походу до Епіру.\n\nНам залишається лише поступитися вимогам Пірра — навіть молосси згодні, що під його владою нашій державі буде краще, та й армія підтримує його."
 dhe_dde_pyrrhus.5.a:0 "Слава царю Пірру!"
 dhe_dde_pyrrhus.5.b:0 "Слава царю Пірру!"
 dhe_dde_pyrrhus.5.c:0 "Йому не бути царем."
 dhe_dde_pyrrhus.5.at:0 "Епір і [SCOPE.sC(''pyrrhus_second_country_scope'').GetName] додадуть по #G 100#! од. думки один про одного.\nЕпір отримає декілька підрозділів #Y важкої піхоти#!."
 dhe_dde_pyrrhus.5.bt:0 "Епір і [SCOPE.sC(''pyrrhus_second_country_scope'').GetName] додадуть по #G 100#! од. думки один про одного.\nЕпір отримає декілька підрозділів #Y важкої піхоти#! і один підрозділ #Y бойових слонів#!."
 dhe_dde_pyrrhus.5.ct:0 "Епір отримає декілька підрозділів #Y важкої піхоти#! і –50 до думки про державу [SCOPE.sC('pyrrhus_second_country_scope').GetName]."
 dhe_dde_pyrrhus.6.t:0 "[SCOPE.sC('dhe_dde_pyrrhus_rome_scope').GetAdjective]а агресія"
 dhe_dde_pyrrhus.6.desc:0 "Ми завжди піддавалися великому тиску з боку італійських сусідів, але до недавнього часу нам, еллінам, вдавалося зберегти за собою Велику Грецію. В міру розширення [SCOPE.sC(''dhe_dde_pyrrhus_rome_scope'').GetName] проявляє все більше агресії, і в результаті ми, зрозуміло, опинилися на межі війни. Їхня держава куди сильніша за нашу, а їхня армія буде небезпечною для нас, навіть якщо нас підтримають союзники.\n\nБагато років тому Александр I Епірський відплив з військом до Великої Греції і мало не завоював бруттіїв і луканів, що розграбували Тарент, але загинув у битві. Його онучатий племінник Пірр, безумовно, хороший правитель, і нам, можливо, вдасться спокусити його піти по стопах предків..."
 dhe_dde_pyrrhus.6.a:0 "Пірр — єдиний, перед ким може схилитися [SCOPE.sC('dhe_dde_pyrrhus_rome_scope').GetName]."
 dhe_dde_pyrrhus.6.at:0 "[SCOPE.sC('dhe_dde_pyrrhus_epirus_scope').GetRuler.GetName] з держави [SCOPE.sC('dhe_dde_pyrrhus_epirus_scope').GetName] отримає наше прохання про допомогу."
 dhe_dde_pyrrhus.6.b:0 "Епірці прагнутимуть володарювати над нами..."
 dhe_dde_pyrrhus.7.t:0 "Можливості у Великій Греції"
 dhe_dde_pyrrhus.7.desc:0 "До нас прибув посланець з поліса [SCOPE.sC(''dhe_dde_pyrrhus_tarentum_scope'').GetName] у Великій Греції. Він просить нашої допомоги в боротьбі з [SCOPE.sC(''dhe_dde_pyrrhus_rome_scope'').GetAdjective]ними загарбниками, які агресивно розширюють свої кордони, вторгаючись в грецькі землі Південної Італії. Це унікальний шанс: підтримавши грецьких побратимів, ми отримаємо привід для поширення нашого впливу у Великій Греції — або навіть зможемо завоювати її повністю.\n\nЕпірський цар Александр I, двоюрідний дід Пірра, міркував так само, коли бажав повторити східні завоювання свого племінника Александра Македонського і пересік Іонічне море, щоб допомогти Таренту в боротьбі з бруттіями і луканами.\n\nСьогодні ситуація помітно змінилася: [SCOPE.sC(''dhe_dde_pyrrhus_rome_scope'').GetName] не користується любов'ю сусідів, і наше вторгнення, без сумніву, підтримають багато народів на півострові. Александр I ліг в битві з італіками, нам же, можливо, випаде шанс покрити себе славою."
 dhe_dde_pyrrhus.7.a:0 "Тюхе благоволить сміливим."
 dhe_dde_pyrrhus.7.at:0 "Всі країни в материковій Великій Греції, з якими [SCOPE.sC(''dhe_dde_pyrrhus_rome_scope'').GetName] не знаходиться в союзі, отримають #G 50#! до думки про Епір.\nЕпір стане #Y претендувати#! на всі провінції у Великій Греції, якими володіють [SCOPE.sC(''dhe_dde_pyrrhus_rome_scope'').GetName] і союзники."
 dhe_dde_pyrrhus.8.t:0 "Істинні амбіції Пірра"
 dhe_dde_pyrrhus.8.desc_1:0 "Нам повідомили, що епірський цар Пірр по намові еллінів у Великій Греції планує вторгнутися до Південної Італії, щоб захистити грецькі держави від нашої агресії. Нам вже відомий прецедент з епірським царем Александром I, двоюрідним дідом Пірра, що прийшов на допомогу грекам і мало не переміг бруттіїв і луканів, і це, м'яко кажучи, насторожує.\n\nНаша експансія сприймається сусідами все більш вороже, і Пірра напевно підтримають багато італійських народів. Поглянемо, як розвиватиметься ситуація."
 dhe_dde_pyrrhus.8.desc_2:0 "Нам повідомили, що епірський цар Пірр, послухавши наші прохання, збирається вторгнутися до Південної Італії, щоб захистити грецькі держави. Нам вже відомий прецедент з епірським царем Александром I, двоюрідним дідом Пірра, що прийшов на допомогу грекам і мало не переміг бруттіїв і луканів.\n\nРимська експансія сприймається все більш вороже, і Пірра напевно підтримають багато італійських народів. Сподіватимемося, що він нас не розчарує."
 dhe_dde_pyrrhus.8.desc_3:0 "Нам повідомили, що епірський цар Пірр по намові еллінів Великій Греції збирається вторгнутися до Південної Італії, щоб захистити грецькі держави. Нам вже відомий прецедент з епірським царем Александром I, двоюрідним дідом Пірра, що прийшов на допомогу грекам і мало не переміг бруттіїв і луканів.\n\nРимська експансія сприймається все більш вороже, і Пірра напевно підтримають багато італійських народів. Для нас це може стати унікальним шансом."
 dhe_dde_pyrrhus.8.a:0 "[SCOPE.sC('dhe_dde_pyrrhus_rome_scope').GetName] нікого не боїться."
 dhe_dde_pyrrhus.8.at:0 "#R Епір #Y претендує#! на всі [SCOPE.sC('dhe_dde_pyrrhus_rome_scope').GetAdjective]і землі в регіоні #YВелика Греція#!#!."
 dhe_dde_pyrrhus.8.b:0 "Сподіватимемося, що це була хороша ідея..."
 dhe_dde_pyrrhus.8.bt:0 "Епір #Y претендує#! на всі [SCOPE.sC('dhe_dde_pyrrhus_rome_scope').GetAdjective]і землі в регіоні #Y Велика Греція#!."
 dhe_dde_pyrrhus.10.t:0 "Смерть Пірра"
 dhe_dde_pyrrhus.10.desc:0 "До нас дійшли чутки, що вигнаний цар Пірр помер в якихось далеких землях за невідомих обставин. Нащадок Ахілла помер, і весь Епір оплакуватиме втраченого сина.\n\nОдному Зевсові відомо, чого він міг би досягти, коли б не заздрість і підступи негідників."
 dhe_dde_pyrrhus.10.a:0 "Почив високий дух..."
 dhe_dde_pyrrhus.11.t:0 "Дружба з Фракією"
 dhe_dde_pyrrhus.11.desc:0 "Царство Македонія вже давно втручається в справи Епіра, заважаючи нам розширювати свій вплив в Елладі. Фракійці, що живуть по іншу сторону від Македонії, знаходяться в аналогічній позиції і заздрять силі суперника, що гнобить їх довгі роки.\n\nФракійський діадох [SCOPE.sChar(''dhe_dde_pyrrhus_thrace_scope'').GetName] розділяє нашу нелюбов до македонців, і знаходячись по різні сторони від царства Александра, ми, можливо, зможемо домовитися."
 dhe_dde_pyrrhus.11.a:0 "Він побачить вигоду нашої пропозиції."
 dhe_dde_pyrrhus.11.at:0 "Фракия вирішить, чи прийняти наші умови дружби."
 dhe_dde_pyrrhus.11.b:0 "Ми можемо отримати з цього чималу вигоду."
 dhe_dde_pyrrhus.11.c:0 "Нас цікавлять інші справи..."
 dhe_dde_pyrrhus.12.t:0 "Дружба з Епіром"
 dhe_dde_pyrrhus.12.desc:0 "Епірське царство пропонує нам дружбу. Македонія вже давно втручається в справи Фракії та заважає нам зростати й розширювати свій вплив в Елладі. Епірцям, що живуть по іншу сторону від Македонії, близькі наші біди: Епір заздрить потужності суперника, що гнобить їх довгі роки.\n\nВраховуючи нашу загальну нелюбов до македонців і наше розташування по різні сторони царства Александра, такий союз може бути нам на благо."
 dhe_dde_pyrrhus.12.a:0 "Ми оточимо Македонію."
 dhe_dde_pyrrhus.12.at:0 "Епір отримає #G 75#! до думки про Фракії.\nФракія отримає #G 75#! до думки про Епір."
 dhe_dde_pyrrhus.12.b:0 "Нас цікавлять інші справи..."
 dhe_dde_pyrrhus.14.t:0 "Додонський оракул"
 dhe_dde_pyrrhus.14.desc:0 "Відновлення храмів Додони нарешті завершене, як і будівництво великого амфітеатру і підготовка майданчиків для щорічних ігор і свят. Святилища зевса Найоса, священний дуб і храми Геракла і Діони укріплені стіною. Їх тепер ледве можна впізнати: вони оброблені новим каменем і прикрашені рельєфами й фризами.\n\nВоістину, Додона знову зможе змагатися з іншими знаменитими релігійними місцями Греції, демонструючи багатство шану до богів у Епірі всьому світові."
 dhe_dde_pyrrhus.14.a:0 "Це чудово."
 dhe_dde_pyrrhus.15.t:0 "Вигода від Додони"
 dhe_dde_pyrrhus.15.desc:0 "Успішне відновлення оракула в Додоні та особливо кількість глядачів, що збираються на свята і ворожіння біля священного дуба, просто приголомшують.\n\nІгри, і театральні вистави не знають браку глядачів. Храмовий комплекс відвідують багато торговців та багатих гостей.\n\nЕпір знову став важливим релігійним центром Еллади. Немає сумніву, що зевс Найос посміхається нам."
 dhe_dde_pyrrhus.15.a:0 "Все це ради Епіру."
 dhe_dde_pyrrhus.15.b:0 "Ми влаштуємо свято, гідне богів-олімпійців."
 dhe_dde_pyrrhus.16.t:0 "Пропозиція для Епіру"
 dhe_dde_pyrrhus.16.desc:0 "Царство Епір займає стратегічно важливу позицію між центром грецьких земель і південно-східним краєм Італії. Епірський цар Пірр прославив своє ім'я, і Епір під його правлінням може бути корисним союзником, впливовим як в Елладі, так і у Великій Греції.\n\nЗараз нас тіснять з усіх боків, і Пірр, нащадок Ахілла, міг би схилити чаші терезів у нашу користь.\n\nЩоб заручитися довгою дружбою з Пірром, ми можемо запропонувати йому дружину і дати за неї багате придане. Нехай це буде [SCOPE.sChar('pyrrhus_betrothed_scope').GetName]."
 dhe_dde_pyrrhus.16.a:0 "Організовуйте церемонію."
 dhe_dde_pyrrhus.16.at_1:0 "Якщо Епір прийме пропозицію, Сіракузи віддадуть Епіру острів #Y Керкіра#! як придане."
 dhe_dde_pyrrhus.16.at_2:0 "Якщо Епір прийме пропозицію, Сіракузи віддадуть Епіру #R 100#! @gold! як придане."
 dhe_dde_pyrrhus.16.b:0 "Це не в наших інтересах..."
 dhe_dde_pyrrhus.17.t:0 "Сіракузи пропонують шлюбний союз"
 dhe_dde_pyrrhus.17.desc:0 "Ми отримали пропозицію з Сіракуз. Їхній правитель [SCOPE.sChar(''agathocles'').GetName] пропонує нам дружину для царя Пірра в обмін на дружбу. Цією дружиною стане [SCOPE.sChar(''pyrrhus_betrothed_scope'').GetName], і вона принесе з собою щедре придане.\n\nСіракузи займають стратегічно важливу позицію на острові Сицилія, між багатими землями Карфагену та Італійським півостровом. Їхні міста — важливі торгові центри. Сіракузи завжди відчували великий тиск з обох боків, і їм, безумовно, потрібен могутній союзник, щоб укріпити свої позиції.\n\nІснує також вірогідність, що з часом цей шлюб дасть нам законний привід розширитися на територію Сицилії..."
 dhe_dde_pyrrhus.17.a:0 "Не можна упускати таку можливість."
 dhe_dde_pyrrhus.17.at_1:0 "Слід скористатися цим успіхом."
 dhe_dde_pyrrhus.17.at_2:0 "Сіракузи дадуть #G 100#! @gold! як придане."
 dhe_dde_pyrrhus.17.b:0 "Пірр не кине свою дружину."
 dhe_dde_pyrrhus.17.c:0 "Нас це не цікавить."
 dhe_dde_pyrrhus.18.t:0 "Відчайдушне рішення"
 dhe_dde_pyrrhus.18.desc_1:0 "На нас напали підлі карфагенці. Вони, як і багато інших, давно жадали завоювати багатий острів Сицилію, але нам завжди вдавалося відтіснити їх. Зараз небезпека як ніколи велика: багато хто вважає, що ми приречені.\n\nНадійшла пропозиція вдатися до крайнього заходу — запропонувати епірському цареві Пірру, відомому своєю доблестю й інтересом до земель Великої Греції, очолити нас.\n\nЙого спорідненість з Ахіллом, високе положення на Італійському півострові й небайдужість до долі Сицилії забезпечать йому прихильність всього народу.\n\nЗ іншого боку, хто зна, що йому потрібно насправді..."
 dhe_dde_pyrrhus.18.desc_2:0 "На нас напали підлі карфагенці. Вони, як і багато інших, давно жадали завоювати багатий острів Сицилію, але нам завжди вдавалося відтіснити їх. Зараз небезпека як ніколи велика: багато хто вважає, що ми приречені.\n\nНадійшла пропозиція вдатися до крайнього заходу — запропонувати епірському цареві Пірру, відомому своєю доблестю й інтересом до земель Великої Греції, очолити нас.\n\nШлюб з жінкою з нашої правлячої династії дає йому всі підстави на таку владу. Можливо, він наш єдиний шанс зберегти владу греків у Сіракузах.\n\nЗ іншого боку, хто зна, що йому потрібно насправді..."
 dhe_dde_pyrrhus.18.a:0 "Ми повинні попросити допомоги в Пірра."
 dhe_dde_pyrrhus.18.at:0 "#R Якщо Епір прийме нашу пропозицію, ми станемо його клієнтською державою, а Епір претендуватиме на всю Сицилію й оголосить війну Карфагену."
 dhe_dde_pyrrhus.18.b:0 "Ми не потребуємо його допомоги."
 dhe_dde_pyrrhus.18.bt:0 "Епір буде #Y претендувати#! на всі провінції в Сицилії."
 dhe_dde_pyrrhus.19.t:0 "Можливості в Сицилії"
 dhe_dde_pyrrhus.19.desc_1:0 "До нас з'явився посланець з Сіракуз з пропозицією.\n\nНа Сіракузи напало потужне військо Карфагена: Карфаген бажає встановити свою владу на острові Сицилія. Переймаючись за свою незалежність у війні з настільки сильним ворогом, Сіракузи пропонують дати Пірру формальний статус царя Сицилії.\n\nСхоже, вони з великим інтересом стежили за нашими успіхами у Великій Греції і вважатимуть за краще запросити на царство того, кому важливі рідні землі, а не здатися загарбникам іноземців.\n\nНад цією пропозицією слід подумати ретельно, тому що, прийнявши її, ми відкрито оголосимо війну Карфагену."
 dhe_dde_pyrrhus.19.desc_2:0 "До нас з'явився посланець з Сіракуз з пропозицією.\n\nНа Сіракузи напало потужне військо Карфагена, Карфаген бажає встановити свою владу на острові Сицилія. Переймаючись за свою незалежність в боротьбі з настільки сильним ворогом, Сіракузи пропонують дати Пірру формальний статус царя Сицилії.\n\nСхоже, вони з великим інтересом стежили за успіхами Пірра, а крім того, шлюбні узи дають йому всі права на трон.\n\nНад цією пропозицією слід подумати ретельно, тому що, прийнявши її, ми відкрито оголосимо війну Карфагену."
 dhe_dde_pyrrhus.19.a:0 "Сицилія так і чекає, щоб її захопили"
