l_russian:
 archimedes_principle:0 "Закон Архимеда"
 corvus_invention_desc:0 "Сочетание лебёдки и моста использовали только в римском флоте, однако оно оказалось весьма эффективным. Благодаря «ворону» римские солдаты с завидной лёгкостью перебирались на вражеские суда."
 commerce_inv_1:0 "Стандартные меры"
 commerce_inv_1_desc:0 "«Капитолийской амфорой» называлась амфора, хранившаяся в храме Юпитера, по которой измерялся объём всех остальных амфор."
 commerce_inv_2:0 "Портовая пошлина"
 commerce_inv_2_desc:0 "Небольшая сумма, взимаемая за пользование нашими портами, вряд ли снизит поток товаров, но поможет нам заработать немного больше на торговле."
 commerce_inv_3:0 "Маяки"
 commerce_inv_3_desc:0 "Строительство маяков абсолютно необходимо для сохранения торговых потоков. Конструкция маяков со временем менялась, от простых костров на возвышенности до величественного Александрийского маяка."
 commerce_inv_4:0 "Регулирование ростовщичества"
 commerce_inv_4_desc:0 "Ростовщики вряд ли помогают облегчить жизнь бедноте, но мы можем признать их необходимым злом. При этом регулирование ростовщичества поможет нам получать от них прибыль."
 commerce_inv_5:0 "Обязательное ведение записей"
 commerce_inv_5_desc:0 "Купцы и менялы в Риме должны были обязательно вести записи. Возможность проследить потоки доходов необходима для слаженной работы бюрократической машины."
 state_trade_inv_1:0 "Морские патрули"
 state_trade_inv_1_desc:0 "Прежде чем Помпей в 66 году до н. э. искоренил сицилийских пиратов, пиратство в Средиземном море было серьёзной проблемой. Для обеспечения сохранности кораблей требовалось постоянное присутствие на море немалого военного флота."
 state_trade_inv_2:0 "Речные заставы"
 state_trade_inv_2_desc:0 "Говорят, что торговля зависит от морских приливов и отливов, но реки — это вены и артерии торговой сети. Учредив регулярные заставы вдоль рек, мы обезопасим торговцев и получим дополнительную прибыль."
 state_trade_inv_3:0 "Поощрение исследований"
 state_trade_inv_3_desc:0 "На востоке до сих пор лежат неисследованные земли; поощряя наших доблестных граждан отправляться в неизведанные края, мы заполним наши рынки различными экзотичными товарами."
 capital_trade_inv_1:0 "Речные баржи"
 capital_trade_inv_1_desc:0 "Потребности нашей столицы необходимо обслуживать. Баржи, перевозящие зерно с побережья к столице, облегчат бремя частных торговцев."
 capital_trade_inv_2:0 "Логистическое бюро"
 capital_trade_inv_2_desc:0 "Наше растущее государство начинает склоняться под собственным весом. Необходимо назначить особых чиновников для регулирования потока торговцев и купцов в нашу столицу."
 global_tax_modifier_inv_1:0 "Налог на собственность"
 global_tax_modifier_inv_1_desc:0 "Источник доходов любого государства — землевладельцы; оформив свод правил, мы сможем избежать трудных ситуаций при сборе налогов."
 global_tax_modifier_inv_2:0 "Эйсфора"
 global_tax_modifier_inv_2_desc:0 "У греков была не слишком развитая налоговая система, но практика взимания особого налога на богатства в трудные времена позволяла изрядно пополнять казну."
 global_tax_modifier_inv_3:0 "Литургии"
 global_tax_modifier_inv_3_desc:0 "Греки создали систему, согласно которой богатые граждане были обязаны финансировать различные общественные работы, от театральных постановок до содержания войск. Эта система нам несомненно окажется полезной."
 global_tax_modifier_inv_4:0 "Использование государственной земли"
 global_tax_modifier_inv_4_desc:0 "Империя Маурьев взимала налог на использование земли на территориях, считавшихся собственностью короны. Активное выделение таких земель может стать источником дохода."
 global_tax_modifier_inv_5:0 "Налог на импорт"
 global_tax_modifier_inv_5_desc:0 "Многие империи в древности облагали налогом импорт, а иногда и экспорт товаров. Если римляне считали, что такие налоги для них не особенно значимы, то в империи Маурьев они порой достигали 20% процентов на предметы импорта."
 research_points_modifier_inv_1:0 "Пифагорейская математика"
 research_points_modifier_inv_1_desc:0 "Древний грек Пифагор прославился как великий математик и философ. Мы можем с пользой применить многие его изыскания."
 research_points_modifier_inv_2:0 "Моральное образование"
 research_points_modifier_inv_2_desc:0 "Гораздо важнее математики умение вести себя и сохранять разум в любой ситуации. Обучая наших детей с раннего возраста, мы откроем новую эру философии."
 research_points_modifier_inv_3:0 "Педагогия"
 research_points_modifier_inv_3_desc:0 "Если поощрять состоятельные семьи нанимать прославленных педагогов, вступающая во взрослый возраст элита будет обладать по-настоящему глубокими знаниями."
 research_points_modifier_inv_4:0 "Отец геометрии"
 research_points_modifier_inv_4_desc:0 "Математик и учёный Евклид Александрийский первым оформил геометрию как последовательную науку. Описанные им основные постулаты следует преподавать среди всего нашего народа."
 research_points_modifier_inv_5:0 "Принятие философии"
 research_points_modifier_inv_5_desc:0 "Различные философские школы, возникшие в Греции и в других землях, объединяют в своём учении математику, теологию, космологию и другие дисциплины, помогающие сформировать мировоззрение. Споры и интеллектуальные дебаты между этими школами, а также активное освоение их наследия позволят достичь превосходства во многих сферах."
 global_citizen_output_inv_1:0 "Право на высказывание"
 global_citizen_output_inv_1_desc:0 "Если позволить представителям нашей знати высказывать своё мнение перед властями, то они гораздо охотнее будут действовать в системе, а не вне её."
 global_citizen_output_inv_2:0 "Гипокауст"
 global_citizen_output_inv_2_desc:0 "Римляне первыми придумали нагревать полы. Гипокауст, состоявший из сложной системы печей и дымоходов, встречался редко, но был престижным дополнением вилл и бань."
 global_citizen_output_inv_3:0 "Система удаления отходов"
 global_citizen_output_inv_3_desc:0 "Придуманная ещё в далёком прошлом объединённая система удаления отходов — очень нужная, хоть и сложная задача. Чистые улицы и общественные бани несомненно повысят качество жизни."
 global_citizen_output_inv_4:0 "Чистая вода"
 global_citizen_output_inv_4_desc:0 "Доступ к чистой воде, от простых колодцев до величественных акведуков — это право, которое требуют для себя наши высшие классы."
 global_citizen_output_inv_5:0 "Закрепощение"
 global_citizen_output_inv_5_desc:0 "Древнее право свободного человека поступать в услужение к представителю благородного сословия противоречиво, но совершенно точно улучшит жизнь элиты."
 global_freemen_output_inv_1:0 "Кодекс прав"
 global_freemen_output_inv_1_desc:0 "Установленный свод прав для всех членов нашего общества помимо землевладельцев несомненно понравится большинству."
 global_freemen_output_inv_2:0 "Ограничения для сборщиков налогов"
 global_freemen_output_inv_2_desc:0 "В разных государствах власть сборщиков налогов различна. Ограничив им возможность добиваться своих целей принуждением, мы сделаем ряд шагов к процветанию среднего класса."
 global_freemen_output_inv_3:0 "Водяные насосы"
 global_freemen_output_inv_3_desc:0 "Жители каждого крупного города делятся друг с другом своими опасениями об угрозе пожара. Водяные насосы, установленные в ключевых точках, позволят нашим горожанам бороться с таким риском."
 global_freemen_output_inv_4:0 "Пожарные бригады"
 global_freemen_output_inv_4_desc:0 "Первые известные в истории пожарные бригады учредил Марк Лициний Красс в 1-м веке до н. э. И хотя пожарных Красса скорее следовало бы назвать вымогателями, чем настоящими борцами с огнём, наличие таких бригад существенно увеличивает общественную безопасность."
 global_freemen_output_inv_5:0 "Тресвиры"
 global_freemen_output_inv_5_desc:0 "В Риме тресвиры заведовали тюрьмами, наказаниями и поддержанием спокойствия. Учреждение такого поста значительно увеличит общественный порядок и, как следствие, увеличит производительность."
 global_slaves_output_inv_1:0 "Права человека"
 global_slaves_output_inv_1_desc:0 "В разных государствах к рабам относятся по-разному, но мы считаем, что основной кодекс прав человека позволит нашим рабам работать усерднее."
 global_slaves_output_inv_2:0 "Надзиратели"
 global_slaves_output_inv_2_desc:0 "«Виликусом» в Древнем Риме называли раба, с которым хорошо обращались и который надзирал над другими рабами. Эта практика позволяла улучшить коммуникации с рабами в любом предприятии."
 global_slaves_output_inv_3:0 "Общественное рабство"
 global_slaves_output_inv_3_desc:0 "Государственных рабов использовали разные режимы. В Риме так называемый «сервус публикус» исполнял различные общественные обязанности, от простых поручений до бюрократической работы."
 global_slaves_output_inv_4:0 "Освобождение за заслуги"
 global_slaves_output_inv_4_desc:0 "Предоставив общественным рабам право заслужить свободу, мы дадим им стимул сохранять спокойствие и усерднее работать на протяжении всего срока трудоспособной жизни."
 global_slaves_output_inv_5:0 "Распятие"
 global_slaves_output_inv_5_desc:0 "Повсеместно распространённое в древности распятие было, в основном, способом наказания рабов. Преступление для такой казни должно быть серьёзным. Она оказывает значительный психологический эффект на наблюдателей."
 global_tribesmen_output_inv_1:0 "Племенное поселение"
 global_tribesmen_output_inv_1_desc:0 "Если официально признать некоторые территории за определенными племенами, такие племена будут охотнее сотрудничать с нашей державой."
 global_tribesmen_output_inv_2:0 "Делегирование полномочий"
 global_tribesmen_output_inv_2_desc:0 "Предоставленное этническим меньшинствам право на самоуправление снижает нагрузку на государство и увеличивает эффективность племенного общества."
 global_tribesmen_output_inv_3:0 "Земельная десятина"
 global_tribesmen_output_inv_3_desc:0 "Присутствие в нашей державе чужеземных племён порождает недовольство, но налог в виде десятины на занимаемую ими землю, может успокоить недовольных, а заодно позволит нам немного заработать."
 global_tribesmen_output_inv_4:0 "Племенные представители"
 global_tribesmen_output_inv_4_desc:0 "Учредив институт племенных представителей, которые будут говорить от имени племён на наших границах, мы предоставим им возможность участия в политическом процессе."
 global_tribesmen_output_inv_5:0 "Право на религиозные ритуалы"
 global_tribesmen_output_inv_5_desc:0 "В большинстве случаев нам нет дела до религий каждого конкретного племени. Поэтому предоставление им ограниченного права на отправление экзотических ритуалов — малая цена их послушанию."
 build_cost_inv:0 "«Об архитектуре»"
 build_cost_inv_desc:0 "Сочинение «Об архитектуре», написанное Марком Витрувием Поллионом в конце 1-го века до н. э., представляет собой ряд трактатов о римской архитектуре. В них описаны разработанные до мельчайших деталей методы и правила зодчества, свидетельствующие о поразительно высоких достижениях того времени."
 build_time_inv:0 "Римский бетон"
 build_time_inv_desc:0 "Римский бетон — эпохальное изобретение 3-го или 2-го веков до н. э. Он быстро стал популярным материалом и использовался при строительстве вилл, военных зданий, дорог и других многочисленных сооружений."
 move_pop_cost_modifier_inv:0 "Колонии"
 move_pop_cost_modifier_inv_desc:0 "Колонизируя Британию, римляне повторяли классическую тактику греков в их покорении Персии и Египта. Предоставлять земли солдатам и членам их семей — хороший способ содержать гарнизоны на недавно завоёванных территориях."
 convert_pop_cost_modifier_inv:0 "Религиозная ассимиляция"
 convert_pop_cost_modifier_inv_desc:0 "Благодаря включению чужеземных верований в свою пантеистическую религию, римляне быстрее привлекали иноземцев в свою республику."
 citizen_promotion_cost_modifier_inv:0 "Ступенчатое гражданство"
 citizen_promotion_cost_modifier_inv_desc:0 "Ряд «уровней», каждый со своими правами и привилегиями, которые можно даровать тем, кто не является гражданином нашего государства — это хороший стимул и цель, к которой можно постепенно стремиться."
 freemen_promotion_cost_modifier_inv:0 "Право на освобождение"
 freemen_promotion_cost_modifier_inv_desc:0 "Для поддержания порядка в отношениях между хозяевами и рабами крайне необходимо предоставить рабовладельцам право освобождать рабов на законных основаниях."
 enact_law_cost_modifier_inv:0 "Магистратское право"
 enact_law_cost_modifier_inv_desc:0 "Переданное магистратам право вносить поправки, дополнения и исправления в существующие законы снижает необходимость повторных заседаний правительства с целью обновления одних и тех же законов."
 stability_inv_1:0 "Договорные обязательства"
 stability_inv_1_desc:0 "Религия во многих древних культурах подразумевала личное поклонение на основе договора. Большое количество богов их воплощений давало каждому человеку право выбирать, как и кому молиться."
 stability_inv_2:0 "Терпимые культы"
 stability_inv_2_desc:0 "Религиозные мистерии, распространённые в многочисленных культурах и среди разных народах, представляли собой синкретическую идеологию, часто существующую наряду с государственной религией, и включавшую в себя ритуалы тайных обществ. В Индии при Маурьях малой религией, в конечном итоге одобренной государством, стал джайнизм. Его принял сам Чандрагупта, отказавшись от трона и продолжив жизнь в аскезе."
 stability_inv_3:0 "Похороны за счёт государства"
 stability_inv_3_desc:0 "Тем, кто слишком беден, чтобы похоронить усопших членов своей семьи, необходимо предоставить доступ к государственным услугам захоронения."
 stability_inv_4:0 "Семейные жрецы"
 stability_inv_4_desc:0 "Многие знатные семьи нанимают мелких жрецов для совершения ритуалов и наблюдения за духовной жизнью семьи. В Риме глава семейства официально заведовал всеми вопросами веры и поклонения богам в своём доме."
 stability_inv_5:0 "Стандартизированное богослужение"
 stability_inv_5_desc:0 "Каждый крупный религиозный праздник должен быть санкционирован, и во время его проведения необходимо наблюдать за порядком и за слаженностью всех церемоний — так мы упрочим стабильность в нашем государстве."
 omen_power_inv_1:0 "Формальные жертвоприношения"
 omen_power_inv_1_desc:0 "Жертвоприношения — стандартный способ сообщить богам о наших мольбах и пожеланиях. Письменный кодекс с подробным перечислением, каких животных следует приносить в жертву, будет полезен нашим жрецам и народу."
 omen_power_inv_2:0 "Легенды о происхождении"
 omen_power_inv_2_desc:0 "«Махабхарата», «Энеида» и великие произведения Гомера описывают сложные взаимоотношения между богами и людьми. Переложения таких сюжетов стали популярным средством пробуждения в народе культурной гордости."
 omen_power_inv_3:0 "Расширенные религиозные праздники"
 omen_power_inv_3_desc:0 "Рим славился многочисленностью своих малопонятных религиозных праздников. Государственные праздники — надёжный способ угодить как простолюдинам, так и знати."
 omen_power_inv_4:0 "Запрещённый канон"
 omen_power_inv_4_desc:0 "Веротерпимость — ключ к поглощению, но некоторые чужеземные религиозные практики слишком непривычны для наших людей. Для обеспечения духовного благосостояния нашего народа необходимо запретить варварские ритуалы."
 omen_power_inv_5:0 "Общепризнанный символизм"
 omen_power_inv_5_desc:0 "Широко известные религиозные знаки, используемые при изображении вождей, полководцев и общественных деятелей, помогают передать их превосходство. Так, например, корона с лучами символизировала Александра Македонского в произведениях искусства при его жизни, а после этим же символом пользовались его преемники."
 land_morale_recovery_inv_1:0 "Клятва братства"
 land_morale_recovery_inv_1_desc:0 "Формальное обещание сражаться вместе плечом к плечу с товарищем укрепляло тесные отношения, которые могли возникнуть только на военной службе. Римские новобранцы произносили так называемую «клятву клятв», в которой обещали пожертвовать своей жизнью ради товарищей."
 land_morale_recovery_inv_2:0 "Прорицатели"
 land_morale_recovery_inv_2_desc:0 "В древности к войскам часто приписывали жрецов-прорицателей. Жрецы повышали боевой дух, уверяя воинов, что боги одобряют любые действия, которые им предстоит совершить."
 land_morale_recovery_inv_3:0 "Штандарты"
 land_morale_recovery_inv_3_desc:0 "Если наделить каждый отряд, на которые поделены наши войска, особым символом или штандартом, то знакомые образы помогут солдатам испытывать чувство гордости за своих."
 land_morale_recovery_inv_4:0 "Военные награды"
 land_morale_recovery_inv_4_desc:0 "Награды за доблестные действия в бою — ценный инструмент поддержания дисциплины и стимул сражаться ещё отважнее. Изначально «серебряным копьём» награждались римские солдаты, впервые убившие неприятеля."
 land_morale_recovery_inv_5:0 "Строгие наказания"
 land_morale_recovery_inv_5_desc:0 "Децимации и другие подобные способы использовались в качестве последнего средства наказания отрядов, вовлечённых в бунт или проявивших трусость. Децимацией называлась казнь на глазах у своих товарищей каждого случайно выбранного десятого солдата в отряде. Постоянная угроза такого наказания способствовала тому, что проявления трусости были и в самом деле редки."
 naval_morale_recovery_inv_1:0 "Морские пехотинцы"
 naval_morale_recovery_inv_1_desc:0 "Единственным выбором новобранца, призванного на корабль, был выбор между экипажем матросов и отрядом солдат на борту. Солдаты предназначались для защиты во время абордажа или для захвата неприятельского корабля. Такие отряды были широко распространены в государственном флоте."
 naval_morale_recovery_inv_2:0 "Расширенная морская субординация"
 naval_morale_recovery_inv_2_desc:0 "Формальная субординация на борту наших кораблей необходима для поддержания порядка посреди хаоса боя."
 naval_morale_recovery_inv_3:0 "Субординация во флоте"
 naval_morale_recovery_inv_3_desc:0 "Благодаря командной структуре, созданной в дополнение к сложной субординации морских офицеров, ответственность всегда будет находиться в нужных руках."
 naval_morale_recovery_inv_4:0 "Список наказаний"
 naval_morale_recovery_inv_4_desc:0 "Составив подробный список наказаний, мы проследим за тем, чтобы все на кораблях — от командования до матросов — исполняли свои обязанности."
 naval_morale_recovery_inv_5:0 "Носовые украшения"
 naval_morale_recovery_inv_5_desc:0 "Зрелище гордой божественной фигуры на носу корабля внушает гордость и поднимает боевой дух наших моряков и может обратить в бегство неприятеля."
 ruler_popularity_gain_inv_1:0 "Надлежащее судопроизводство"
 ruler_popularity_gain_inv_1_desc:0 "Следя за тем, чтобы каждый имел возможность добиваться надлежащего разрешения своего вопроса, мы защитим людей и обеспечим себе репутацию справедливой власти."
 ruler_popularity_gain_inv_2:0 "Финансирование игр"
 ruler_popularity_gain_inv_2_desc:0 "Государственная поддержка спортивных мероприятий — стандартный способ порадовать народ и расширить базу политического влияния."
 ruler_popularity_gain_inv_3:0 "Коллегиальность"
 ruler_popularity_gain_inv_3_desc:0 "Практика назначения дополнительных людей на «теневые» должности, а также в качестве заместителей или коллег, поможет нам разделить ответственность и лучше контролировать административные вопросы."
 ruler_popularity_gain_inv_4:0 "Надзор за общественными работами"
 ruler_popularity_gain_inv_4_desc:0 "Надзор за общественными работами — задача, требующая изрядного бюрократического усердия. Более того, с помощью такого ведомства нашему правителю будет легче заручиться народной поддержкой."
 ruler_popularity_gain_inv_5:0 "Конституция"
 ruler_popularity_gain_inv_5_desc:0 "Любому государству будет на пользу конституция, которая защищает обиженных и на которой можно приносить клятву верности государству и правителю."
 global_population_growth_inv_1:0 "Раздача зерна"
 global_population_growth_inv_1_desc:0 "Раздача зерна нуждающимся в установленном объёме — это масло, благодаря которому вращаются колёса нашей цивилизации."
 global_population_growth_inv_2:0 "Печать для хлеба"
 global_population_growth_inv_2_desc:0 "Печати для хлеба использовали, чтобы определять, в какой пекарне произвели ту или иную буханку. Так можно контролировать качество хлеба и сдерживать распространение передаваемых через пищу болезней."
 global_population_growth_inv_3:0 "Акушерство"
 global_population_growth_inv_3_desc:0 "Попытка развития особого направления медицины для женщин может оказаться опасным и рискованным делом. Тем не менее, это будет бесценно для спасения многочисленных детских жизней."
 global_population_growth_inv_4:0 "Поощрение переселения"
 global_population_growth_inv_4_desc:0 "На территориях, подверженных численному колебанию населения, поощрение переселения — как внутреннего так и внешнего — может служить средством контроля за численностью населения."
 global_population_growth_inv_5:0 "Водяная мельница"
 global_population_growth_inv_5_desc:0 "Изобретение водяной мельницы революционным образом изменило производство муки и хлеба, которого теперь хватало, чтобы накормить широкие массы."
 global_unrest_inv_1:0 "F.U.G."
 global_unrest_inv_1_desc:0 "В Риме на сбежавших и пойманных рабов ставили клеймо в виде букв FUG, что означало «сбежавший» (fugitivus); так любой увидевший этого раба понимал, что от него следует ожидать неприятностей."
 global_unrest_inv_2:0 "Открытая религия"
 global_unrest_inv_2_desc:0 "Многие религии проповедуют всеобщее равенство и открыты для всех независимо от класса."
 global_unrest_inv_3:0 "Стоицизм"
 global_unrest_inv_3_desc:0 "Распространение стоицизма в качестве философского движения поощряет веру в универсальный дух и всеобщее равенство."
 global_unrest_inv_4:0 "Импорт драмы"
 global_unrest_inv_4_desc:0 "Древнегреческие трагедии и комедии, известные во всем мире, на протяжении многих веков служили развлечением для широких масс. Было бы нечестно оставлять их только грекам."
 global_unrest_inv_5:0 "Собрания"
 global_unrest_inv_5_desc:0 "Предоставив меньшинствам право на собрания, мы внушим им чувство собственного достоинства, а заодно сможем легче держать их в повиновении."
 omen_duration_inv_1:0 "Великие храмы"
 omen_duration_inv_1_desc:0 "Величественные сооружения, которые можно построить в местах религиозных поклонений, возвысят статус жрецов в нашем государстве."
 omen_duration_inv_2:0 "Частные культы"
 omen_duration_inv_2_desc:0 "Разрешив создание частных культов, мы снизим своё влияние на граждан, но увеличим их набожность."
 omen_duration_inv_3:0 "Запрет колдовства"
 omen_duration_inv_3_desc:0 "Языческие ритуалы и магические заклинания, заимствованные у чужеземцев, вредят нашему культурному наследию. Запретив их, мы повысим наше благосостояние."
 omen_duration_inv_4:0 "Семейные боги"
 omen_duration_inv_4_desc:0 "Нужно поощрять землевладельцев, которые отводят места для поклонения богу-хранителю домашнего очага."
 omen_duration_inv_5:0 "Военное посвящение"
 omen_duration_inv_5_desc:0 "Посвятив наши войска какому-либо определённому божеству или его проявлению, мы поведём их на завоевания под знамёнами одной идеологии."
 global_manpower_modifier_inv_1:0 "Дополнительный набор"
 global_manpower_modifier_inv_1_desc:0 "Если набрать в войска чужеземцев и бродяг, которые будут выполнять всю черную работу, то наши доблестные граждане смогут уделить время более значимым задачам."
 global_manpower_modifier_inv_2:0 "Двойное жалование"
 global_manpower_modifier_inv_2_desc:0 "Благодаря установлению в нашей армии карьерной лестницы, у каждого простого солдата появится цель, а военная служба станет более привлекательной."
 global_manpower_modifier_inv_3:0 "Медицинские подразделения"
 global_manpower_modifier_inv_3_desc:0 "Здоровье наших солдат крайне важно. Качественная медицинская помощь позволит им быстрее возвращаться в строй."
 global_manpower_modifier_inv_4:0 "Религиозный совет"
 global_manpower_modifier_inv_4_desc:0 "Отдельный совет религиозных деятелей должен решать, каким богам, иноземным или нашим, должны поклоняться солдаты. Это не только позволит нам контролировать религиозные настроения в наших войсках, но и привлекать на нашу сторону приверженцев малых культов."
 global_manpower_modifier_inv_5:0 "Пожизненная служба"
 global_manpower_modifier_inv_5_desc:0 "Раненые, покалеченные и иные непригодные для войны солдаты, могут приносить пользу в резерве и в охране границ. Так мы проследим за тем, чтобы на передовой всегда были самые лучшие."
 technology_cost_inv_1:0 "Травничество"
 technology_cost_inv_1_desc:0 "Знание свойств окружающих нас трав и растений полезно для самых разных надобностей, от контроля за рождаемостью до лечения. Не стоит недооценивать роль ботаники."
 technology_cost_inv_2:0 "Квасцы"
 technology_cost_inv_2_desc:0 "Квасцы служили источником калия для самых разных целей: от изготовления лекарств и косметики до пищевых приправ."
 technology_cost_inv_3:0 "Массовое производство пьютера"
 technology_cost_inv_3_desc:0 "Пьютер — мягкий сплав олова и свинца, широко применявшийся как прочный материал для изготовления повседневных вещей."
 technology_cost_inv_4:0 "Скоропись"
 technology_cost_inv_4_desc:0 "Стенография, или искусство краткой передачи текстов, на которые обычно требовалось много времени и материала, зародилась в Греции и быстро распространилась как средство записи речей или мыслей."
 technology_cost_inv_5:0 "Ноль"
 technology_cost_inv_5_desc:0 "В стандартной римской системе чисел не существовало понятия «ноль». Эта концепция позволила бы древнегреческим математикам осуществлять более сложные вычисления."
 global_citizen_happyness_inv:0 "Выдувка стекла"
 global_citizen_happyness_inv_desc:0 "Выдувка стекла, новая технология придания стеклу формы, полностью изменила производство дорогих вещей."
 global_freemen_happyness_inv:0 "Ручной абак"
 global_freemen_happyness_inv_desc:0 "Абак, популярный среди купцов и изобретателей, служил средством быстрого подсчета расходов и прибыли, что серьезно стимулировало внутреннюю торговлю."
 global_slaves_happyness_inv:0 "Либертины"
 global_slaves_happyness_inv_desc:0 "Наши освобождённые рабы со временем образуют отдельный класс. Пусть им будет к чему стремиться, так они станут более послушными."
 global_tribesmen_happyness_inv:0 "Районы кожевников"
 global_tribesmen_happyness_inv_desc:0 "Из-за несносной вони от выделываемых кож жить рядом с таким производством совершенно невозможно. По мере роста городских поселений приходилось принимать какие-то меры."
 call_omen_cost_modifier_inv:0 "Повторное толкование знамений"
 call_omen_cost_modifier_inv_desc:0 "В Риме грозные знамения и знаки грядущих бедствий рассматривались сенатом. В некоторых случаях сенат мог пересмотреть толкование и решить, что знамения не такие уж и плохие."
 monthly_corruption_inv:0 "Виновность в соучастии"
 monthly_corruption_inv_desc:0 "Концепция виновности в соучастии — сложная система законов против взяток — положила конец многим коррупционным схемам как в римском государстве, так и за его пределами."
 relation_inv_1:0 "Проксены"
 relation_inv_1_desc:0 "Проксены избирались греческими городами-государствами в качестве представителей в соседних городах — позже эта концепция развилась в институт постоянных послов."
 relation_inv_2:0 "Государственная печать"
 relation_inv_2_desc:0 "Передав нашу печать тем, кто говорит от нашего имени, мы убедительно докажем, что они не самозванцы."
 relation_inv_3:0 "Постоянные послы"
 relation_inv_3_desc:0 "Наняв на постоянную службу тех, у кого хорошо подвешен язык, мы сможем договариваться с соседями гораздо легче, чем раньше."
 relation_inv_4:0 "Наследственные послы"
 relation_inv_4_desc:0 "Назначать каждый раз нового посла на место скончавшегося — ненужная трата драгоценного времени. Мы можем предложить им отправляться на службу вместе с семьей, чтобы при неблагоприятном случае их статус передавался сыновьям."
 relation_inv_5:0 "Законные договоры"
 relation_inv_5_desc:0 "Для заключения честных сделок между государствами необходимо, чтобы обе стороны дипломатического соглашения полностью понимали его содержание."
 diplomatic_reputation_inv_1:0 "Гуманное поведение"
 diplomatic_reputation_inv_1_desc:0 "Понятие военной чести существует тысячелетиями, однако мы должны разработать кодекс обращения с противниками. Будем надеяться, что если мы сами потерпим поражение, с нами будут обращаться так же."
 diplomatic_reputation_inv_2:0 "Открытые переговоры"
 diplomatic_reputation_inv_2_desc:0 "Проводя публичные дипломатические переговоры, мы проследим за тем, чтобы обе стороны держали свое слово."
 diplomatic_reputation_inv_3:0 "Дипломатический иммунитет"
 diplomatic_reputation_inv_3_desc:0 "Отдаленность от органов власти подразумевает, что безопасность посла священна — нам всем следует говорить с одинаковых позиций."
 diplomatic_reputation_inv_4:0 "Благородные послы"
 diplomatic_reputation_inv_4_desc:0 "Наши подданные, враги и союзники поймут, что им оказывают честь, если мы будем посылать к ним на переговоры самых выдающихся представителей нашего общества."
 diplomatic_reputation_inv_5:0 "Профессиональные переговорщики"
 diplomatic_reputation_inv_5_desc:0 "На подписание соглашений мы должны отправлять наших лучших переговорщиков. Когда дело касается юридического языка, пара ошибок могут очень дорого стоить..."
 agressive_expansion_impact_inv_1:0 "Фециалы"
 agressive_expansion_impact_inv_1_desc:0 "Жрецы-фециалы — это группа древнелатинских священников, совершавших необычные ритуалы при объявлении войны."
 agressive_expansion_impact_inv_2:0 "Rerum Repetitio"
 agressive_expansion_impact_inv_2_desc:0 "Этот ритуал жрецов-фециалов подразумевал доведение требований Рима до вражеского государства и сопровождался ритуальным броском окровавленного копья во вражескую землю, если требования не удовлетворялись."
 agressive_expansion_impact_inv_3:0 "Защита свободы"
